x_g,y_g,z_g,x_dps,y_dps,z_dps,orientation
1,-0.0353,0.0351,0.9938,0.2275,0.0613,0.2887,stationary_z_up
2,-0.0346,0.0341,0.9933,0.21,0.0175,0.2275,stationary_z_up
3,-0.0365,0.0344,0.995,0.21,0.0875,0.245,stationary_z_up
4,-0.0354,0.0351,0.9928,0.0437,0.0262,0.315,stationary_z_up
5,-0.0359,0.035,0.9943,0.1663,0.0088,0.21,stationary_z_up
6,-0.0351,0.0354,0.9942,0.175,0.1138,0.2713,stationary_z_up
7,-0.0356,0.0344,0.993,0.14,0.0875,0.0962,stationary_z_up
8,-0.0344,0.0346,0.9943,0.2713,0.0787,0.2188,stationary_z_up
9,-0.0347,0.0359,0.9933,0.1575,0,0.2362,stationary_z_up
10,-0.0356,0.0342,0.9934,0.2188,0.0262,0.2188,stationary_z_up
11,-0.0357,0.0353,0.9945,0.2275,-0.0175,0.2275,stationary_z_up
12,-0.0367,0.034,0.9938,0.1312,0.0175,0.1488,stationary_z_up
13,-0.0353,0.0349,0.9941,0.1838,0.0875,0.2275,stationary_z_up
14,-0.0351,0.0351,0.9939,0.1838,0.0613,0.21,stationary_z_up
15,-0.0362,0.0342,0.9944,0.2275,0.0525,0.245,stationary_z_up
16,-0.0354,0.0346,0.9936,0.1575,0.0787,0.245,stationary_z_up
17,-0.0366,0.0334,0.9946,0.2188,-0.0175,0.2975,stationary_z_up
18,-0.0358,0.0343,0.9936,0.1575,0.035,0.245,stationary_z_up
19,-0.0354,0.0336,0.9953,0.1575,0.035,0.2625,stationary_z_up
20,-0.0352,0.0345,0.9929,0.1925,-0.07,0.21,stationary_z_up
21,-0.0359,0.0352,0.9936,0.07,0.0262,0.245,stationary_z_up
22,-0.0357,0.0349,0.9943,0.2537,0.0262,0.2188,stationary_z_up
23,-0.0346,0.0342,0.9926,0.1225,0.0525,0.2188,stationary_z_up
24,-0.0344,0.0344,0.9926,0.14,0.0525,0.2887,stationary_z_up
25,-0.0356,0.0342,0.9945,0.1575,0.0962,0.175,stationary_z_up
26,-0.0356,0.0353,0.9934,0.1312,0.0787,0.2362,stationary_z_up
27,-0.0356,0.0344,0.993,0.1925,0.07,0.245,stationary_z_up
28,-0.0349,0.0339,0.9933,0.21,0.1312,0.1838,stationary_z_up
29,-0.0353,0.0336,0.9928,0.2362,0.0175,0.2625,stationary_z_up
30,-0.0362,0.0344,0.9931,0.1838,0.1575,0.2013,stationary_z_up
31,-0.0368,0.033,0.9945,0.1663,0.0613,0.28,stationary_z_up
32,-0.0354,0.032,0.9939,0.1575,0.0875,0.2188,stationary_z_up
33,-0.0359,0.0344,0.9934,0.0962,0.0262,0.21,stationary_z_up
34,-0.0346,0.0335,0.9943,0.2013,0.0437,0.245,stationary_z_up
35,-0.0348,0.0334,0.9945,0.07,0.0525,0.3413,stationary_z_up
36,-0.0351,0.0346,0.9938,0.1663,0.07,0.2013,stationary_z_up
37,-0.0359,0.035,0.9936,0.21,0.0525,0.2537,stationary_z_up
38,-0.0358,0.0342,0.9947,0.1925,0.1312,0.2537,stationary_z_up
39,-0.0347,0.0329,0.9955,0.21,0.105,0.2625,stationary_z_up
40,-0.0361,0.0341,0.9944,0.2713,0.0787,0.2275,stationary_z_up
41,-0.0368,0.0334,0.9947,0.1575,0.0962,0.1488,stationary_z_up
42,-0.0361,0.0345,0.9939,0.105,-0.0088,0.1925,stationary_z_up
43,-0.0356,0.0346,0.9945,0.2275,0.0175,0.2013,stationary_z_up
44,-0.0352,0.0339,0.9948,0.0525,0.0262,0.2537,stationary_z_up
45,-0.0342,0.0346,0.9955,0.0875,0.07,0.1838,stationary_z_up
46,-0.0359,0.0337,0.9928,0.1575,0.14,0.2188,stationary_z_up
47,-0.0342,0.0344,0.9917,0.175,-0.0088,0.2713,stationary_z_up
48,-0.0349,0.0346,0.9936,0.2537,0.035,0.245,stationary_z_up
49,-0.0364,0.0352,0.9933,0.1838,0.0875,0.2975,stationary_z_up
50,-0.0356,0.0329,0.9948,0.1225,0.0262,0.2975,stationary_z_up
51,-0.0362,0.0348,0.9945,0.1663,0.1225,0.2362,stationary_z_up
52,-0.0346,0.0342,0.9933,0.14,0.0525,0.21,stationary_z_up
53,-0.0346,0.0332,0.9939,0.175,0.1138,0.21,stationary_z_up
54,-0.0364,0.035,0.9931,0.2013,0,0.2013,stationary_z_up
55,-0.0354,0.0343,0.9944,0.2275,0.035,0.2713,stationary_z_up
56,-0.0359,0.0352,0.9938,0.1575,0.0525,0.2188,stationary_z_up
57,-0.0342,0.034,0.9946,0.2537,0.14,0.2625,stationary_z_up
58,-0.0356,0.0346,0.995,0.1663,0.035,0.2275,stationary_z_up
59,-0.0353,0.0354,0.9942,0.21,-0.0437,0.2188,stationary_z_up
60,-0.0346,0.0353,0.9943,0.1225,-0.0175,0.2275,stationary_z_up
61,-0.0356,0.0342,0.9939,0.245,0.035,0.2362,stationary_z_up
62,-0.0351,0.0352,0.9944,0.1225,0.1138,0.2013,stationary_z_up
63,-0.0356,0.0351,0.9943,0.2013,0.1225,0.245,stationary_z_up
64,-0.0346,0.0356,0.9941,0.1488,0.0613,0.2625,stationary_z_up
65,-0.035,0.0342,0.9943,0.21,0.0437,0.2188,stationary_z_up
66,-0.0361,0.034,0.995,0.1838,0.1138,0.2537,stationary_z_up
67,-0.0351,0.0342,0.9926,0.14,0.0787,0.2013,stationary_z_up
68,-0.0362,0.0346,0.9931,0.14,0.0613,0.2537,stationary_z_up
69,-0.0351,0.0346,0.9936,0.2013,0,0.2188,stationary_z_up
70,-0.0346,0.0331,0.9953,0.1838,0.035,0.2625,stationary_z_up
71,-0.0358,0.0337,0.9953,0.2188,0.035,0.3063,stationary_z_up
72,-0.0366,0.0342,0.9936,0.2275,0.0875,0.2625,stationary_z_up
73,-0.0348,0.0352,0.9934,0.1138,0.07,0.21,stationary_z_up
74,-0.0356,0.0345,0.9941,0.2188,0.0437,0.245,stationary_z_up
75,-0.0358,0.034,0.994,0.1838,0.1575,0.21,stationary_z_up
76,-0.0353,0.0332,0.9929,0.175,0.105,0.2188,stationary_z_up
77,-0.0357,0.0347,0.9935,0.1925,0.035,0.2188,stationary_z_up
78,-0.0343,0.0349,0.9945,0.2275,0.1312,0.1925,stationary_z_up
79,-0.0349,0.0346,0.9945,0.1488,0,0.2975,stationary_z_up
80,-0.0361,0.0334,0.9943,0.2013,0.0437,0.2537,stationary_z_up
81,-0.0358,0.034,0.9936,0.1138,0.175,0.2013,stationary_z_up
82,-0.0353,0.0344,0.994,0.1575,0.07,0.2362,stationary_z_up
83,-0.0342,0.0337,0.9943,0.1925,0.1488,0.28,stationary_z_up
84,-0.0348,0.0332,0.995,0.1663,0.035,0.245,stationary_z_up
85,-0.0351,0.0348,0.9919,0.07,0.0875,0.2362,stationary_z_up
86,-0.0367,0.0336,0.9948,0.14,0.035,0.2188,stationary_z_up
87,-0.0348,0.0337,0.995,0.2013,0.105,0.2188,stationary_z_up
88,-0.0347,0.0337,0.9933,0.175,0.0613,0.2537,stationary_z_up
