,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,bump_id,segment_time_sec
0,2728562,-0.0849,0.0146,0.9378,1.365,-6.3525,0.1225,1000.3811,bumps,16.68,0,0.0
1,2728622,0.0002,-0.0093,1.0179,2.6425,-6.4313,-0.4288,1000.4033,bumps,16.74,0,0.06
2,2728682,0.0002,-0.009,1.0639,1.6712,-5.635,-0.0175,1000.4094,bumps,16.8,0,0.12
3,2728742,0.0356,0.0307,1.146,0.49,-3.2812,0.35,1000.4065,bumps,16.86,0,0.18
4,2728802,0.0422,0.0312,1.1573,-0.2975,0.7088,0.63,1000.4104,bumps,16.92,0,0.24
5,2728862,0.0252,0.0288,1.076,-1.225,3.2113,0.385,1000.4182,bumps,16.98,0,0.3
6,2728922,0.0167,0.0093,1.0239,-1.6275,3.8412,-0.3587,1000.4102,bumps,17.04,0,0.36
7,2728982,0.1418,-0.0291,1.039,-1.5312,3.78,-0.665,1000.4099,bumps,17.1,0,0.42
8,2729042,0.1416,-0.0095,1.0959,-1.4438,6.4837,0.0262,1000.4072,bumps,17.16,0,0.48
9,2729102,0.0593,-0.0178,1.0138,-1.0063,8.3912,0.21,1000.4045,bumps,17.22,0,0.54
10,2729162,-0.0144,-0.01,0.8879,-0.6212,7.07,0.0262,1000.394,bumps,17.28,0,0.6
11,2729222,-0.0469,-0.0209,0.8567,1.015,4.3575,-0.3413,1000.3877,bumps,17.34,0,0.66
12,2729282,-0.0407,-0.0313,0.8777,1.7763,1.8288,-0.42,1000.3813,bumps,17.4,0,0.72
13,2729342,-0.0927,-0.0178,0.8603,2.4938,-0.9712,-0.1663,1000.3784,bumps,17.46,0,0.78
14,2729402,-0.0742,-0.0188,0.9028,3.815,-3.745,0.21,1000.3896,bumps,17.52,0,0.84
15,2729462,-0.0929,-0.0104,0.9328,4.2962,-4.935,0.3675,1000.3787,bumps,17.58,0,0.9
16,2729522,-0.1089,0.0307,0.937,4.2438,-6.37,0.2975,1000.387,bumps,17.64,0,0.96
17,2729582,-0.1044,0.0626,0.9423,2.6163,-7.9538,0.1225,1000.3938,bumps,17.7,0,1.02
18,2729642,-0.0624,0.1405,0.9684,-1.8725,-8.3912,0.3587,1000.3901,bumps,17.76,0,1.08
19,2729702,0.0193,0.0589,1.0809,-6.7725,-7.63,0.2975,1000.3997,bumps,17.82,0,1.14
20,2729762,0.1213,0.03,1.3062,-7.6912,-6.5975,-0.42,1000.4126,bumps,17.88,0,1.2
21,2729822,0.1471,-0.0815,1.3735,-4.4975,-4.7512,-0.9625,1000.4263,bumps,17.94,0,1.26
22,2729882,0.047,-0.131,1.136,-1.9512,-3.5612,-0.7875,1000.4243,bumps,18.0,0,1.32
23,2729942,0.0347,-0.0764,0.9355,-0.4462,-1.925,0.1312,1000.3848,bumps,18.06,0,1.38
24,2730002,0.0329,-0.0288,0.8382,2.1525,-0.4638,0.945,1000.385,bumps,18.12,0,1.44
25,2730062,-0.0059,-0.0007,0.7991,3.8325,0.5688,0.5688,1000.3804,bumps,18.18,0,1.5
26,2730122,0.0102,0.024,0.8303,2.8875,2.1,-0.595,1000.3708,bumps,18.24,0,1.56
27,2730182,0.0057,0.0357,0.8767,1.5662,3.1675,-1.0412,1000.3687,bumps,18.3,0,1.62
28,2730242,-0.0344,0.0218,0.8825,0.8225,5.0925,-0.8838,1000.3755,bumps,18.36,0,1.68
29,2730302,-0.0336,0.0337,0.9196,-0.1663,7.2275,-0.9362,1000.3789,bumps,18.42,0,1.74
30,2730362,0.0002,-0.0087,1.0394,0.2625,7.21,-1.61,1000.3999,bumps,18.48,0,1.8
31,2730422,-0.0141,0.0511,1.1361,1.5838,5.5563,-2.17,1000.4158,bumps,18.54,0,1.86
32,2730482,-0.0404,0.0334,1.2026,2.0825,2.065,-2.6512,1000.415,bumps,18.6,0,1.92
33,2730542,-0.039,0.0369,1.1261,0.8662,-2.2925,-3.2462,1000.4236,bumps,18.66,0,1.98
34,2730602,-0.0344,0.0608,1.0485,0.35,-4.5413,-3.7625,1000.4163,bumps,18.72,0,2.04
35,2730662,-0.0117,0.0591,0.9809,0.3237,-3.3863,-4.515,1000.4019,bumps,18.78,0,2.1
36,2730722,0.0864,0.0911,1.1355,-2.3888,-4.55,-4.7075,1000.4148,bumps,18.84,0,2.16
37,2730782,0.0496,0.0378,1.0454,-2.0738,-8.5312,-5.39,1000.4177,bumps,18.9,0,2.22
38,2730842,-0.0064,0.0021,0.9634,-1.4963,-7.8137,-6.44,1000.4033,bumps,18.96,0,2.28
39,2730902,-0.0422,0.0054,0.8616,0.2275,-4.06,-7.2013,1000.3894,bumps,19.02,0,2.34
40,2730962,-0.0347,-0.0027,0.824,3.0625,-0.9013,-7.2537,1000.3757,bumps,19.08,0,2.4
41,2746982,0.0459,0.022,0.9902,3.5525,3.3688,1.225,1000.3547,bumps,35.1,1,0.0
