index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec
0,2446442,-0.1479,0.0456,0.9944,0.6825,0.3587,-2.87,1000.4626,clockwise_loop,2.04
1,2446502,-0.1418,0.0481,0.9953,0.245,0.2713,-3.2812,1000.4624,clockwise_loop,2.1
2,2446562,-0.1347,0.0519,0.9987,0.3938,0.0437,-3.6575,1000.4666,clockwise_loop,2.16
3,2446622,-0.1434,0.0578,0.9836,0.455,-0.28,-4.1038,1000.4656,clockwise_loop,2.22
4,2446682,-0.1354,0.0666,0.9784,0.28,-0.2975,-4.8212,1000.4663,clockwise_loop,2.28
5,2446742,-0.1183,0.0763,1.0003,0.7262,0.1225,-5.46,1000.4543,clockwise_loop,2.34
6,2446802,-0.1096,0.0483,1.0057,0.2362,0.1488,-5.635,1000.4709,clockwise_loop,2.4
7,2446862,-0.1332,0.0623,0.9821,-0.2975,-0.3325,-6.3088,1000.4622,clockwise_loop,2.46
8,2446922,-0.1264,0.0853,0.9781,0.6737,-0.07,-6.9825,1000.4685,clockwise_loop,2.52
9,2446982,-0.1006,0.0791,0.9977,0.6212,-0.35,-7.8663,1000.4612,clockwise_loop,2.58
10,2447042,-0.0917,0.0963,0.9829,1.0325,-0.2625,-8.575,1000.4578,clockwise_loop,2.64
11,2447102,-0.0749,0.0861,1.0187,1.1113,0.3063,-9.2837,1000.4639,clockwise_loop,2.7
12,2447162,-0.0849,0.0969,0.9692,1.3563,-1.1463,-10.22,1000.4768,clockwise_loop,2.76
13,2447222,-0.0781,0.0838,1.0268,1.085,-0.3587,-10.7712,1000.4695,clockwise_loop,2.82
14,2447282,-0.0928,0.1032,0.9661,1.6187,-0.0088,-11.7863,1000.4697,clockwise_loop,2.88
15,2447342,-0.0681,0.1074,0.9909,0.8138,-0.84,-12.7137,1000.469,clockwise_loop,2.94
16,2447402,-0.0622,0.1196,0.9851,0.2188,-0.2625,-13.5712,1000.4692,clockwise_loop,3.0
17,2447462,-0.07,0.113,1.011,-0.2013,0.1575,-14.2013,1000.4702,clockwise_loop,3.06
18,2447522,-0.0315,0.115,1.0077,-0.2362,-0.7788,-14.8488,1000.4744,clockwise_loop,3.12
19,2447582,-0.0788,0.103,1.0006,0.1488,0.14,-15.085,1000.4626,clockwise_loop,3.18
20,2447642,-0.0471,0.0802,0.986,-0.0875,-0.6212,-15.5487,1000.4702,clockwise_loop,3.24
21,2447702,-0.0832,0.1003,1.008,0.8662,-0.0262,-16.0562,1000.4714,clockwise_loop,3.3
22,2447762,-0.0409,0.1325,0.9914,0.1488,-0.5688,-16.94,1000.4636,clockwise_loop,3.36
