,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec
50,2325002,-0.0691,0.0401,1.0174,0.1925,0.0,0.6562,1000.4849,ctr_clock_loop,3.0
51,2325062,-0.0671,-0.0198,0.9979,-0.3237,0.3325,1.3388,1000.4949,ctr_clock_loop,3.06
52,2325122,-0.0703,0.0034,0.974,-0.7,-1.1463,1.6187,1000.5088,ctr_clock_loop,3.12
53,2325182,-0.0378,0.0062,0.9836,-0.77,-1.2862,2.205,1000.4851,ctr_clock_loop,3.18
54,2325242,-0.0464,0.0178,0.9884,-0.2275,-0.0787,3.0975,1000.4856,ctr_clock_loop,3.24
55,2325302,-0.0463,0.0401,0.9673,-0.5163,-0.7175,3.4825,1000.4707,ctr_clock_loop,3.3
56,2325362,-0.0307,0.0049,0.977,-0.1138,-0.105,4.1475,1000.4834,ctr_clock_loop,3.36
57,2325422,-0.0229,-0.0273,0.9961,0.3237,-0.175,4.795,1000.4639,ctr_clock_loop,3.42
58,2325482,0.011,-0.0471,1.0222,1.085,0.1138,6.0637,1000.4656,ctr_clock_loop,3.48
59,2325542,-0.0143,-0.058,0.9579,-0.105,-0.315,7.175,1000.4727,ctr_clock_loop,3.54
60,2325602,-0.0182,-0.0032,0.9918,0.3325,0.84,7.9713,1000.4727,ctr_clock_loop,3.6
61,2325662,-0.0152,-0.0539,0.9896,-0.1663,-0.1488,8.3212,1000.4697,ctr_clock_loop,3.66
62,2325722,-0.0082,-0.0508,0.9768,0.8662,0.4812,9.38,1000.4744,ctr_clock_loop,3.72
63,2325782,-0.0187,-0.064,0.9902,0.0875,-0.5163,9.7125,1000.4739,ctr_clock_loop,3.78
64,2325842,0.0014,-0.0375,0.992,0.875,0.35,11.06,1000.4802,ctr_clock_loop,3.84
65,2325902,-0.0082,-0.0551,0.9452,0.0962,0.105,11.1475,1000.457,ctr_clock_loop,3.9
66,2325962,0.0505,-0.0398,1.0223,0.6475,-1.3388,11.9613,1000.4658,ctr_clock_loop,3.96
67,2326022,-0.0146,-0.0422,0.9969,0.5863,1.8288,12.915,1000.4834,ctr_clock_loop,4.02
68,2326082,-0.0365,-0.1071,0.9473,0.8138,-0.3413,13.6587,1000.4734,ctr_clock_loop,4.08
69,2326142,-0.0248,-0.0808,1.0385,-0.7962,0.6388,14.5425,1000.4585,ctr_clock_loop,4.14
70,2326202,0.0029,-0.0847,0.9116,0.455,0.385,14.6475,1000.4534,ctr_clock_loop,4.2
71,2326262,0.0254,-0.063,1.0146,-0.175,-0.0787,15.26,1000.4744,ctr_clock_loop,4.26
72,2326322,-0.017,-0.0615,0.9829,-0.8662,0.2362,15.715,1000.4729,ctr_clock_loop,4.32
73,2326382,-0.0159,-0.0554,0.9968,0.5512,0.1838,16.6338,1000.4507,ctr_clock_loop,4.38
74,2326442,0.0078,-0.0581,0.996,-0.1663,-0.7437,16.7825,1000.4648,ctr_clock_loop,4.44
75,2326502,0.0066,-0.1112,1.0097,-0.1838,0.7962,17.5438,1000.4783,ctr_clock_loop,4.5
76,2326562,-0.0002,-0.0631,1.0204,0.2887,0.9625,17.9375,1000.4646,ctr_clock_loop,4.56
77,2326622,-0.0039,-0.0809,0.966,0.035,-0.4025,17.7275,1000.457,ctr_clock_loop,4.62
78,2326682,0.0203,-0.0629,1.0174,1.33,1.6187,18.41,1000.4609,ctr_clock_loop,4.68
79,2326742,0.0179,-0.0517,0.9789,0.4812,-0.5863,18.8125,1000.4634,ctr_clock_loop,4.74
80,2326802,-0.0093,-0.1066,0.9959,-1.05,0.5775,18.6812,1000.4524,ctr_clock_loop,4.8
81,2326862,-0.0088,-0.1084,0.9939,-0.4812,-0.21,19.0575,1000.4543,ctr_clock_loop,4.86
82,2326922,-0.0107,-0.1125,0.9931,-0.07,0.385,18.6287,1000.4319,ctr_clock_loop,4.92
83,2326982,0.0003,-0.0914,0.9919,-0.07,1.3825,19.0487,1000.4573,ctr_clock_loop,4.98
84,2327042,-0.0068,-0.0922,1.0094,-0.56,0.1225,19.3463,1000.4238,ctr_clock_loop,5.04
85,2327102,0.03,-0.0688,1.0484,0.7875,0.63,19.5125,1000.446,ctr_clock_loop,5.1
86,2327162,-0.0546,-0.164,0.8348,0.8575,0.07,19.39,1000.4348,ctr_clock_loop,5.16
87,2327222,0.0459,-0.0647,1.0465,0.3675,-0.1138,19.6437,1000.446,ctr_clock_loop,5.22
88,2327282,0.0357,-0.0698,1.0055,0.0613,-0.0437,19.8275,1000.4333,ctr_clock_loop,5.28
89,2327342,-0.0341,-0.0834,0.9658,1.7413,-0.1312,19.5475,1000.4514,ctr_clock_loop,5.34
90,2327402,0.0522,-0.099,1.0318,0.6125,-0.9013,19.6087,1000.4507,ctr_clock_loop,5.4
91,2327462,-0.0088,-0.0817,0.9706,0.1575,1.4262,20.0025,1000.3979,ctr_clock_loop,5.46
92,2327522,-0.0163,-0.0849,0.9783,0.6913,1.5312,20.4487,1000.4504,ctr_clock_loop,5.52
93,2327582,0.035,-0.0654,1.013,-0.9275,1.3125,20.2388,1000.4521,ctr_clock_loop,5.58
94,2327642,0.0365,-0.106,1.0004,-1.4438,0.5337,20.3263,1000.4568,ctr_clock_loop,5.64
95,2327702,0.0009,-0.0891,1.0155,-1.5662,2.1962,20.4837,1000.449,ctr_clock_loop,5.7
96,2327762,0.0167,-0.096,0.9804,-0.8925,0.0437,20.1863,1000.4482,ctr_clock_loop,5.76
97,2327822,0.059,-0.0542,1.0892,-0.5512,-0.3413,20.72,1000.4282,ctr_clock_loop,5.82
98,2327882,0.0084,-0.1501,1.0136,-0.2975,-0.4812,20.7638,1000.4346,ctr_clock_loop,5.88
99,2327942,0.02,-0.1883,0.9717,-0.4375,0.315,20.895,1000.4331,ctr_clock_loop,5.94
100,2328002,0.0336,-0.1171,0.9063,0.07,0.245,20.93,1000.4463,ctr_clock_loop,6.0
101,2328062,0.0093,-0.1516,0.9943,-0.4112,2.2662,21.7,1000.4314,ctr_clock_loop,6.06
102,2328122,0.0504,-0.1157,1.1223,0.3762,0.7875,22.1375,1000.4368,ctr_clock_loop,6.12
103,2328182,0.0437,-0.0856,1.0699,1.1463,3.4125,22.4613,1000.4324,ctr_clock_loop,6.18
