index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_id,time_sec_segment
0,3870962,-0.0771,0.0495,0.975,0.7525,0.945,-4.8387,1000.3528,hard_accel_decel,7.26,0,0.0
1,3871022,-0.0954,0.0207,1.0185,0.1663,-0.1138,-3.7013,1000.3574,hard_accel_decel,7.32,0,0.06
2,3871082,-0.1713,-0.0319,0.964,-0.665,0.2713,-2.6337,1000.354,hard_accel_decel,7.38,0,0.12
3,3871142,-0.1465,-0.0214,1.0133,-0.1925,0.7613,-1.8813,1000.3462,hard_accel_decel,7.44,0,0.18
4,3871202,-0.1659,-0.0127,0.9825,-1.19,1.365,-1.6275,1000.355,hard_accel_decel,7.5,0,0.24
5,3871262,-0.1646,-0.0512,0.9601,-1.3563,-0.4288,-0.8925,1000.3469,hard_accel_decel,7.56,0,0.3
6,3871322,-0.1903,-0.0356,1.0582,2.0475,1.2513,-0.4112,1000.3557,hard_accel_decel,7.62,0,0.36
7,3871382,-0.2093,-0.0339,1.0573,3.0013,0.6825,-0.42,1000.3557,hard_accel_decel,7.68,0,0.42
8,3871442,-0.2487,0.0875,0.9977,0.595,0.6475,-1.2337,1000.3438,hard_accel_decel,7.74,0,0.48
9,3871502,-0.2666,0.0232,0.9414,2.94,1.5925,-0.9013,1000.3372,hard_accel_decel,7.8,0,0.54
10,3871562,-0.2406,0.0769,1.0863,0.525,-0.8838,-1.0237,1000.3525,hard_accel_decel,7.86,0,0.6
11,3871622,-0.3245,0.1571,0.985,-2.3187,0.8575,-1.4525,1000.3484,hard_accel_decel,7.92,0,0.66
12,3871682,-0.3572,0.0093,0.9126,2.5638,-1.05,-1.3125,1000.3491,hard_accel_decel,7.98,0,0.72
13,3871742,-0.2518,0.0718,0.9823,-2.485,1.3475,-1.54,1000.3254,hard_accel_decel,8.04,0,0.78
14,3871802,-0.2967,0.0531,1.0995,-1.2862,1.3212,-1.0325,1000.3191,hard_accel_decel,8.1,0,0.84
15,3871862,-0.343,0.0195,0.8943,4.2962,-2.4762,-1.3125,1000.3157,hard_accel_decel,8.16,0,0.9
16,3871922,-0.2494,0.1047,1.0106,-5.6962,-2.415,-2.2313,1000.3284,hard_accel_decel,8.22,0,0.96
17,3871982,-0.3036,0.0727,0.9096,-0.0787,0.91,-1.9512,1000.3081,hard_accel_decel,8.28,0,1.02
18,3872042,-0.2333,0.0373,1.0026,2.0563,-0.7,-1.7587,1000.3079,hard_accel_decel,8.34,0,1.08
19,3872102,-0.3636,0.0051,0.998,1.4963,1.5488,-1.2775,1000.2966,hard_accel_decel,8.4,0,1.14
20,3872162,-0.3251,0.1698,1.0297,4.7688,0.0262,-1.6013,1000.2959,hard_accel_decel,8.46,0,1.2
21,3872222,-0.343,0.0363,1.0858,2.0038,-1.3913,-1.33,1000.291,hard_accel_decel,8.52,0,1.26
22,3872282,-0.296,-0.0429,0.9299,-4.0862,2.0825,-1.505,1000.2808,hard_accel_decel,8.58,0,1.32
23,3872342,-0.2225,-0.0127,0.9525,-0.4375,-1.155,-1.8375,1000.2761,hard_accel_decel,8.64,0,1.38
24,3872402,-0.1267,-0.1582,1.0662,-4.06,-2.205,-1.3563,1000.27,hard_accel_decel,8.7,0,1.44
25,3872462,-0.3453,-0.1286,1.0643,1.2075,5.04,-1.3125,1000.2788,hard_accel_decel,8.76,0,1.5
26,3872522,-0.2302,-0.1387,1.2093,-0.3413,-0.8575,-0.9362,1000.27,hard_accel_decel,8.82,0,1.56
27,3872582,-0.3151,0.0132,0.8796,5.4338,-3.4213,-0.8487,1000.2493,hard_accel_decel,8.88,0,1.62
28,3872642,-0.367,-0.1251,0.6449,2.1263,3.1675,-0.8925,1000.2529,hard_accel_decel,8.94,0,1.68
29,3872702,-0.2333,0.3382,1.3452,2.5287,2.625,-0.8138,1000.2678,hard_accel_decel,9.0,0,1.74
30,3872762,-0.5446,0.2228,0.5566,-0.2975,3.4213,0.5425,1000.23,hard_accel_decel,9.06,0,1.8
31,3872822,-0.3279,0.0183,0.708,-4.5237,-1.4088,-1.1463,1000.2188,hard_accel_decel,9.12,0,1.86
32,3872882,-0.2059,-0.022,1.0217,-5.6438,0.0613,-1.1988,1000.2361,hard_accel_decel,9.18,0,1.92
33,3872942,-0.3458,0.1426,1.1234,-1.12,2.6163,-1.2862,1000.2075,hard_accel_decel,9.24,0,1.98
34,3873002,-0.4172,-0.0547,0.8862,1.33,5.0837,-1.575,1000.1887,hard_accel_decel,9.3,0,2.04
35,3873062,-0.3572,-0.011,1.0987,1.4787,3.5612,-1.575,1000.1902,hard_accel_decel,9.36,0,2.1
36,3873122,-0.3313,0.1037,0.8927,-1.8813,1.9338,-0.6737,1000.1931,hard_accel_decel,9.42,0,2.16
37,3873182,-0.3184,0.0872,0.9002,1.3563,0.4725,-0.2975,1000.1931,hard_accel_decel,9.48,0,2.22
38,3873242,-0.2394,-0.0526,0.9899,0.7788,-1.7237,-1.0325,1000.1826,hard_accel_decel,9.54,0,2.28
39,3873302,-0.3148,0.0342,0.9002,0.5075,-1.7413,-1.1287,1000.1672,hard_accel_decel,9.6,0,2.34
40,3873362,-0.266,0.0539,1.0773,-0.35,0.14,-0.6037,1000.1748,hard_accel_decel,9.66,0,2.4
41,3873422,-0.1954,-0.022,1.1239,-0.3675,0.56,-0.175,1000.1724,hard_accel_decel,9.72,0,2.46
42,3873482,-0.235,0.0603,0.9206,-1.3563,-1.855,-0.4725,1000.1741,hard_accel_decel,9.78,0,2.52
43,3873542,-0.2547,0.0842,0.9892,0.3762,0.56,-0.5337,1000.1606,hard_accel_decel,9.84,0,2.58
44,3873602,-0.2042,0.1125,1.0634,1.855,-1.89,-0.4725,1000.1414,hard_accel_decel,9.9,0,2.64
45,3873662,-0.2689,-0.0559,1.0062,1.3825,0.7613,-0.3587,1000.1379,hard_accel_decel,9.96,0,2.7
46,3873722,-0.1674,0.1256,1.0904,-0.6562,-1.0938,-0.6913,1000.1489,hard_accel_decel,10.02,0,2.76
47,3873782,-0.3048,-0.0354,0.722,-1.785,2.24,-0.455,1000.1226,hard_accel_decel,10.08,0,2.82
48,3873842,-0.1908,0.002,1.0904,-0.8138,-2.3888,-0.175,1000.106,hard_accel_decel,10.14,0,2.88
49,3873902,-0.2848,-0.0135,1.0326,0.0962,-0.1663,-0.665,1000.1143,hard_accel_decel,10.2,0,2.94
50,3873962,-0.2537,0.0093,0.9401,1.0588,0.385,-0.8662,1000.0986,hard_accel_decel,10.26,0,3.0
51,3874022,-0.1411,0.0868,1.0901,0.1488,-0.14,-0.2013,1000.0867,hard_accel_decel,10.32,0,3.06
52,3874082,-0.2804,0.0709,0.8933,-1.2862,-1.4787,-0.63,1000.0896,hard_accel_decel,10.38,0,3.12
53,3874142,-0.209,-0.0701,1.1112,0.105,-0.4988,-0.49,1000.0754,hard_accel_decel,10.44,0,3.18
54,3874202,-0.1823,0.1383,1.0617,0.14,0.2013,-0.245,1000.0613,hard_accel_decel,10.5,0,3.24
55,3874262,-0.2091,-0.0378,1.006,1.4963,1.0325,-0.2537,1000.051,hard_accel_decel,10.56,0,3.3
56,3874322,-0.2294,0.0167,0.927,-1.0412,-1.1725,-0.3938,1000.0449,hard_accel_decel,10.62,0,3.36
57,3874382,-0.2442,0.007,1.076,1.2687,-1.155,0.3938,1000.0056,hard_accel_decel,10.68,0,3.42
58,3874442,-0.2779,0.0359,0.8484,1.6625,0.7525,-0.7262,1000.0007,hard_accel_decel,10.74,0,3.48
59,3874502,-0.2325,-0.0087,1.0507,0.28,-0.1312,0.1575,999.9854,hard_accel_decel,10.8,0,3.54
60,3874562,-0.132,0.0166,0.976,1.5662,2.1525,0.665,999.9866,hard_accel_decel,10.86,0,3.6
61,3874622,-0.1784,0.1415,1.1586,1.9162,1.4,-0.0088,999.9668,hard_accel_decel,10.92,0,3.66
62,3874682,-0.2979,-0.0192,0.8542,-0.3413,1.9162,0.1925,999.9587,hard_accel_decel,10.98,0,3.72
63,3874742,-0.2164,-0.0318,0.9669,-2.0387,2.45,0.0525,999.9583,hard_accel_decel,11.04,0,3.78
64,3874802,-0.1557,0.0286,1.4264,1.3913,1.8813,-0.2013,999.9253,hard_accel_decel,11.1,0,3.84
65,3874862,-0.308,-0.0232,1.0004,2.1788,0.5688,-0.0787,999.9282,hard_accel_decel,11.16,0,3.9
66,3874922,-0.2997,-0.0462,0.9716,0.5688,0.4112,-0.6212,999.895,hard_accel_decel,11.22,0,3.96
67,3874982,-0.1821,0.0349,1.1769,1.3212,-0.2537,-0.6125,999.9058,hard_accel_decel,11.28,0,4.02
68,3875042,-0.2325,0.0537,1.0774,1.0675,-1.4262,-0.525,999.8621,hard_accel_decel,11.34,0,4.08
69,3875102,-0.2425,0.0198,1.0167,-0.8225,-2.2838,-0.91,999.8772,hard_accel_decel,11.4,0,4.14
70,3875162,-0.2619,-0.0261,1.0294,-1.6975,1.9512,-0.28,999.855,hard_accel_decel,11.46,0,4.2
71,3875222,-0.27,0.0278,1.0605,-1.6187,1.3125,-0.9275,999.8403,hard_accel_decel,11.52,0,4.26
72,3875282,-0.1422,0.059,1.1127,-3.1588,-0.14,-0.0262,999.824,hard_accel_decel,11.58,0,4.32
73,3875342,-0.2016,0.0166,1.0202,2.6512,1.5312,0.49,999.8171,hard_accel_decel,11.64,0,4.38
74,3875402,-0.3138,-0.0016,0.8652,0.1838,2.24,-0.1925,999.8271,hard_accel_decel,11.7,0,4.44
75,3875462,-0.1718,-0.0613,1.1034,-2.275,-1.3212,-0.1488,999.8093,hard_accel_decel,11.76,0,4.5
