,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_id,segment_time_sec
0,10262,-0.0964,0.0156,1.0036,0.2013,0.035,0.8838,1001.0974,left_turn,4.26,0,0.0
1,10322,-0.1057,0.0071,1.007,0.4638,0.7088,1.0588,1001.1135,left_turn,4.32,0,0.06
2,10382,-0.0959,0.0016,0.9923,-0.4462,-0.1838,1.1025,1001.1052,left_turn,4.38,0,0.12
3,10442,-0.0849,0.0046,0.9889,-0.1663,0.1663,1.3212,1001.1101,left_turn,4.44,0,0.18
4,10502,-0.099,-0.0026,0.9911,0.07,0.2537,1.5838,1001.1072,left_turn,4.5,0,0.24
5,10562,-0.0868,-0.0059,1.0083,-0.2713,0.245,1.8987,1001.1021,left_turn,4.56,0,0.3
6,10622,-0.1003,-0.0244,0.974,-0.035,0.245,2.065,1001.1077,left_turn,4.62,0,0.36
7,10682,-0.0756,0.0048,1.0312,0.4988,-0.0787,2.52,1001.103,left_turn,4.68,0,0.42
8,10742,-0.0859,0.0037,0.9833,0.1488,-0.3063,3.0187,1001.1069,left_turn,4.74,0,0.48
9,10802,-0.0798,-0.0306,0.9874,0.0175,0.175,3.3688,1001.1089,left_turn,4.8,0,0.54
10,10862,-0.0609,-0.0257,1.0163,-0.0962,-0.14,4.025,1001.0986,left_turn,4.86,0,0.6
11,10922,-0.0654,-0.0605,0.9864,-0.6125,0.2713,4.515,1001.0962,left_turn,4.92,0,0.66
12,10982,-0.067,-0.0266,0.9563,-0.6913,-0.9887,5.145,1001.1008,left_turn,4.98,0,0.72
13,11042,-0.0664,-0.0375,0.9917,-0.455,-0.175,6.02,1001.092,left_turn,5.04,0,0.78
14,11102,-0.0687,-0.0495,0.9858,-0.2362,-0.1663,6.545,1001.0923,left_turn,5.1,0,0.84
15,11162,-0.0639,-0.0178,1.0175,-0.5512,-0.1925,7.3762,1001.103,left_turn,5.16,0,0.9
16,11222,-0.0532,-0.088,0.9909,-0.1925,-0.0875,8.015,1001.0952,left_turn,5.22,0,0.96
17,11282,-0.0585,-0.0698,0.9758,1.225,0.0525,8.8638,1001.1057,left_turn,5.28,0,1.02
18,11342,-0.0586,-0.0864,1.0011,0.07,-0.2537,9.6337,1001.1111,left_turn,5.34,0,1.08
19,11402,-0.0583,-0.0737,0.9801,0.5512,-0.3762,10.5962,1001.1033,left_turn,5.4,0,1.14
20,11462,-0.0473,-0.0519,0.9955,0.6212,0.2887,11.0863,1001.0986,left_turn,5.46,0,1.2
21,11522,-0.0378,-0.0653,0.9982,0.0962,-0.3587,11.5413,1001.0947,left_turn,5.52,0,1.26
22,11582,-0.0451,-0.0461,1.015,0.3063,-0.2713,12.2238,1001.1077,left_turn,5.58,0,1.32
23,11642,-0.0568,-0.0703,0.9821,0.07,0.6037,12.9762,1001.1033,left_turn,5.64,0,1.38
24,11702,-0.0454,-0.0938,0.9884,-0.6037,-0.0088,13.72,1001.1016,left_turn,5.7,0,1.44
25,11762,-0.0342,-0.0871,1.0597,-0.0875,0.5863,14.455,1001.0947,left_turn,5.76,0,1.5
26,11822,-0.031,-0.0951,0.9938,-0.1925,-0.6037,15.0325,1001.1057,left_turn,5.82,0,1.56
27,11882,-0.0163,-0.1203,0.9972,0.1488,0.0262,15.715,1001.0999,left_turn,5.88,0,1.62
28,11942,-0.0647,-0.1218,0.984,1.4525,0.7262,16.3188,1001.1042,left_turn,5.94,0,1.68
29,12002,-0.0317,-0.0938,1.0086,0.7962,0.35,17.3162,1001.0994,left_turn,6.0,0,1.74
30,12062,-0.019,-0.0766,1.0258,0.875,0.455,18.0688,1001.0933,left_turn,6.06,0,1.8
31,12122,-0.017,-0.1045,1.0055,0.3325,1.4612,19.0575,1001.1035,left_turn,6.12,0,1.86
