,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_id,segment_time_sec
0,971822,-0.0002,0.0335,0.9484,-0.4288,0.91,-0.0875,1000.9736,left_u_turn,6.24,0,0.0
1,971882,0.0115,-0.0667,1.0153,0.9538,-1.9162,0.525,1000.9692,left_u_turn,6.3,0,0.06
2,971942,0.0459,0.0597,0.9902,0.2537,-0.6913,0.665,1000.9731,left_u_turn,6.36,0,0.12
3,972002,0.0663,-0.002,1.0236,-1.4525,-1.2687,1.5137,1000.9829,left_u_turn,6.42,0,0.18
4,972062,0.0422,0.0512,1.038,1.3388,0.2887,2.0475,1000.9758,left_u_turn,6.48,0,0.24
5,972122,0.176,0.0264,1.096,-2.4588,-0.7875,2.4062,1000.9819,left_u_turn,6.54,0,0.3
6,972182,0.0905,-0.0464,1.0371,-0.0437,0.49,3.0625,1000.9963,left_u_turn,6.6,0,0.36
7,972242,0.0469,-0.0249,0.9731,-1.4088,-0.8487,3.9375,1000.9714,left_u_turn,6.66,0,0.42
8,972302,0.0332,-0.0588,1.0693,-2.4325,0.7,5.0138,1000.9856,left_u_turn,6.72,0,0.48
9,972362,0.0447,-0.0508,0.9629,-0.6913,0.1663,5.88,1000.98,left_u_turn,6.78,0,0.54
10,972422,0.0922,-0.0654,1.0219,0.14,-2.9662,7.1838,1000.9814,left_u_turn,6.84,0,0.6
11,972482,0.0637,-0.1158,1.0295,0.98,-0.2625,7.8575,1000.98,left_u_turn,6.9,0,0.66
12,972542,0.0057,-0.0644,0.9338,2.3537,0.035,8.05,1000.9807,left_u_turn,6.96,0,0.72
13,972602,0.1028,-0.0419,1.0273,1.5488,0.07,9.31,1000.9824,left_u_turn,7.02,0,0.78
14,972662,0.0256,-0.0937,0.9806,-0.4462,0.6388,10.6488,1000.9822,left_u_turn,7.08,0,0.84
15,972722,0.002,-0.0596,0.9584,-0.945,1.3038,11.6025,1000.9966,left_u_turn,7.14,0,0.9
16,972782,0.0073,-0.0775,0.9391,-2.8525,0.035,12.2413,1000.9846,left_u_turn,7.2,0,0.96
17,972842,0.0839,-0.1367,1.0507,-0.5512,1.5662,13.265,1000.9949,left_u_turn,7.26,0,1.02
18,972902,0.0776,-0.1193,1.0139,-0.805,0.0088,13.5275,1000.9905,left_u_turn,7.32,0,1.08
19,972962,0.0495,-0.1413,0.9633,-0.245,-0.8313,14.4725,1001.0,left_u_turn,7.38,0,1.14
20,973022,0.0415,-0.1379,1.0621,-0.0175,0.63,14.9537,1000.9966,left_u_turn,7.44,0,1.2
21,973082,0.0739,-0.0646,1.0022,-1.5488,-1.1988,16.6075,1000.9944,left_u_turn,7.5,0,1.26
22,973142,-0.0062,-0.1282,0.9862,-0.6125,0.7962,16.6775,1001.0034,left_u_turn,7.56,0,1.32
23,973202,0.0356,-0.1547,1.0203,-1.715,2.9838,17.3687,1000.988,left_u_turn,7.62,0,1.38
24,973262,0.0176,-0.237,0.9784,-1.1375,0.3237,17.3512,1000.9946,left_u_turn,7.68,0,1.44
25,973322,0.058,-0.1258,1.039,0.1488,0.7437,18.6725,1000.9929,left_u_turn,7.74,0,1.5
26,973382,0.0037,-0.1659,0.9192,0.28,-0.4112,19.705,1000.9902,left_u_turn,7.8,0,1.56
27,973442,0.0722,-0.131,1.0168,0.385,-0.3325,20.4137,1000.9939,left_u_turn,7.86,0,1.62
28,973502,0.0342,-0.1513,0.9745,0.5075,0.2713,21.0525,1000.9919,left_u_turn,7.92,0,1.68
