,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_id,segment_time_sec
0,684842,0.0144,0.0071,0.9947,0.3325,0.0525,0.2188,1000.8611,right_turn,0.0,0,0.0
1,684902,0.0136,0.009,0.997,0.2713,-0.0262,0.2188,1000.855,right_turn,0.06,0,0.06
2,684962,0.0119,0.0092,0.9925,0.1838,0.0525,0.1663,1000.8589,right_turn,0.12,0,0.12
3,685022,0.0146,0.0112,1.0045,0.1312,0.0437,0.2625,1000.8613,right_turn,0.18,0,0.18
4,685082,0.0082,-0.0041,0.9843,0.035,0.1663,0.1838,1000.8596,right_turn,0.24,0,0.24
5,685142,0.0112,0.0068,0.9953,0.1575,0.0875,0.2275,1000.8667,right_turn,0.3,0,0.3
6,685202,0.0165,0.007,0.9992,0.2275,0.0,0.2362,1000.8655,right_turn,0.36,0,0.36
7,685262,0.0159,0.0137,1.0172,0.2975,0.4288,0.175,1000.8621,right_turn,0.42,0,0.42
8,685322,0.0178,0.0075,0.9987,0.14,0.1138,0.175,1000.8616,right_turn,0.48,0,0.48
9,685382,0.0193,0.0078,0.996,0.1488,-0.035,0.2362,1000.8589,right_turn,0.54,0,0.54
10,685442,0.0073,0.0079,0.9923,0.2013,0.07,0.2013,1000.865,right_turn,0.6,0,0.6
11,685502,0.0076,0.0063,0.995,0.1575,0.2362,0.2013,1000.8574,right_turn,0.66,0,0.66
12,685562,0.0051,0.0098,0.9936,0.1838,0.4288,0.14,1000.8584,right_turn,0.72,0,0.72
13,685622,-0.0283,0.0134,0.9878,0.2188,0.4638,0.175,1000.8604,right_turn,0.78,0,0.78
14,685682,-0.059,0.0101,0.9984,0.2625,0.91,0.1925,1000.8628,right_turn,0.84,0,0.84
15,685742,-0.0959,0.0118,0.9999,0.3413,1.0237,0.21,1000.8635,right_turn,0.9,0,0.9
16,685802,-0.1179,0.0142,0.9958,0.3938,1.1375,0.21,1000.8616,right_turn,0.96,0,0.96
17,685862,-0.1217,0.0134,0.9997,0.2713,1.1375,0.1575,1000.8679,right_turn,1.02,0,1.02
18,685922,-0.1269,0.0149,1.0018,0.21,0.8575,0.175,1000.866,right_turn,1.08,0,1.08
19,685982,-0.1291,0.0165,0.9987,0.2275,0.35,0.2537,1000.8677,right_turn,1.14,0,1.14
