,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_time_sec,segment_id
0,205802,0.0134,0.0214,0.9943,0.2275,0.1138,0.2013,1001.2656,smooth_accel,0.0,0.0,0
1,205862,0.011,0.0197,0.9909,0.2537,0.0613,0.2362,1001.272,smooth_accel,0.06,0.06,0
2,205922,0.0123,0.0193,0.997,0.245,0.0787,0.1838,1001.2627,smooth_accel,0.12,0.12,0
3,205982,0.0104,0.0202,0.9963,0.105,0.035,0.1838,1001.2727,smooth_accel,0.18,0.18,0
4,206042,0.01,0.0188,0.9941,0.1663,0.14,0.2713,1001.2771,smooth_accel,0.24,0.24,0
5,206102,0.012,0.0201,0.9945,0.2625,0.0437,0.2362,1001.27,smooth_accel,0.3,0.3,0
6,206162,0.0139,0.0229,0.9967,0.21,-0.0175,0.1838,1001.2661,smooth_accel,0.36,0.36,0
7,206222,0.0073,0.0217,0.9838,0.1138,-0.1838,0.1663,1001.2729,smooth_accel,0.42,0.42,0
8,206282,0.0085,0.0193,0.9916,0.175,-0.1225,0.2275,1001.2705,smooth_accel,0.48,0.48,0
9,206342,0.012,0.0212,0.9945,-0.14,-0.1663,0.2887,1001.2681,smooth_accel,0.54,0.54,0
10,206402,0.0224,0.021,1.0068,0.3063,-0.3063,0.2275,1001.2729,smooth_accel,0.6,0.6,0
11,206462,0.0104,0.0222,0.9936,0.175,0.0088,0.1663,1001.2625,smooth_accel,0.66,0.66,0
12,206522,0.0154,0.0169,0.9928,0.14,-0.0088,0.2188,1001.2681,smooth_accel,0.72,0.72,0
13,206582,0.0115,0.0217,1.0024,0.1312,0.2013,0.2625,1001.2712,smooth_accel,0.78,0.78,0
14,206642,0.0117,0.017,0.9973,0.2362,0.1838,0.2013,1001.2612,smooth_accel,0.84,0.84,0
15,206702,0.0112,0.0244,0.9931,0.14,0.175,0.2275,1001.2729,smooth_accel,0.9,0.9,0
16,206762,0.0141,0.0159,0.9975,0.1488,0.14,0.2362,1001.2698,smooth_accel,0.96,0.96,0
17,206822,0.01,0.0256,0.9933,0.2013,0.0787,0.1663,1001.2725,smooth_accel,1.02,1.02,0
18,206882,0.011,0.0162,0.9963,0.2188,0.1312,0.21,1001.2688,smooth_accel,1.08,1.08,0
19,206942,0.0102,0.0251,0.995,0.0088,0.0525,0.2537,1001.2654,smooth_accel,1.14,1.14,0
20,207002,0.012,0.0127,0.9923,0.2713,0.175,0.2188,1001.2583,smooth_accel,1.2,1.2,0
21,207062,0.0082,0.0288,0.9922,0.2013,0.0437,0.2188,1001.2654,smooth_accel,1.26,1.26,0
22,207122,0.0115,0.0139,0.9956,0.1312,0.1138,0.2362,1001.2747,smooth_accel,1.32,1.32,0
23,207182,0.0121,0.0273,0.9987,0.2537,0.0962,0.2013,1001.2739,smooth_accel,1.38,1.38,0
24,207242,0.0112,0.0178,0.9958,0.1838,-0.0175,0.2625,1001.2715,smooth_accel,1.44,1.44,0
25,207302,0.0114,0.0188,0.9926,0.3325,0.0613,0.2537,1001.2659,smooth_accel,1.5,1.5,0
26,207362,0.0119,0.0166,0.9945,0.1838,0.07,0.2625,1001.272,smooth_accel,1.56,1.56,0
27,207422,0.011,0.0222,0.9951,0.175,0.175,0.21,1001.2693,smooth_accel,1.62,1.62,0
28,207482,0.0115,0.021,0.9917,0.1138,0.1312,0.2188,1001.2688,smooth_accel,1.68,1.68,0
29,207542,0.0106,0.0178,0.993,0.1925,0.1925,0.1488,1001.2695,smooth_accel,1.74,1.74,0
30,207602,0.0101,0.0232,0.9972,0.2625,0.0875,0.245,1001.2747,smooth_accel,1.8,1.8,0
31,207662,0.0132,0.016,0.9948,0.1575,0.07,0.1488,1001.2742,smooth_accel,1.86,1.86,0
32,207722,0.0118,0.0235,0.9928,0.1138,0.1838,0.245,1001.2754,smooth_accel,1.92,1.92,0
33,207782,0.0112,0.0168,0.9955,0.2625,-0.0175,0.2625,1001.2683,smooth_accel,1.98,1.98,0
34,207842,0.0123,0.0251,0.9955,0.2713,0.1488,0.2013,1001.2664,smooth_accel,2.04,2.04,0
35,207902,0.0132,0.0187,0.9948,0.1312,0.07,0.2013,1001.2683,smooth_accel,2.1,2.1,0
36,207962,0.0115,0.0217,0.9961,0.175,0.14,0.3063,1001.2573,smooth_accel,2.16,2.16,0
37,208022,0.0132,0.0181,0.9967,0.1838,0.14,0.2362,1001.269,smooth_accel,2.22,2.22,0
38,208082,0.0121,0.0197,0.9943,0.14,0.035,0.2362,1001.2678,smooth_accel,2.28,2.28,0
39,208142,0.0115,0.0199,0.9958,0.2362,0.1138,0.1838,1001.2754,smooth_accel,2.34,2.34,0
40,208202,0.0119,0.022,0.9975,0.2275,0.0787,0.2625,1001.2666,smooth_accel,2.4,2.4,0
41,208262,0.0112,0.0215,0.995,0.14,0.0613,0.1925,1001.2739,smooth_accel,2.46,2.46,0
42,208322,0.012,0.0207,0.9947,0.1138,0.035,0.2013,1001.2732,smooth_accel,2.52,2.52,0
43,208382,0.0132,0.0215,0.9989,0.3063,0.0875,0.2713,1001.269,smooth_accel,2.58,2.58,0
44,208442,0.0096,0.0215,0.9961,0.1925,0.1225,0.2362,1001.2708,smooth_accel,2.64,2.64,0
45,208502,0.0115,0.0195,0.9931,0.21,0.1312,0.28,1001.2688,smooth_accel,2.7,2.7,0
46,208562,0.0098,0.0226,0.9944,0.2188,0.1225,0.28,1001.2607,smooth_accel,2.76,2.76,0
47,208622,0.0137,0.0193,0.9957,0.1138,0.1838,0.21,1001.2649,smooth_accel,2.82,2.82,0
48,208682,0.0126,0.0223,0.998,0.1663,0.105,0.1925,1001.2659,smooth_accel,2.88,2.88,0
49,208742,0.0113,0.0204,0.9975,0.2188,0.0613,0.245,1001.2705,smooth_accel,2.94,2.94,0
50,208802,0.0102,0.0229,0.9914,0.2887,0.0613,0.2362,1001.2686,smooth_accel,3.0,3.0,0
51,208862,0.0078,0.0207,0.9894,0.1488,0.175,0.1575,1001.2517,smooth_accel,3.06,3.06,0
52,208922,0.0256,0.0386,1.0494,0.6125,-0.0088,0.3063,1001.269,smooth_accel,3.12,3.12,0
53,208982,0.0063,0.0118,0.9691,-0.0088,0.21,0.1925,1001.271,smooth_accel,3.18,3.18,0
54,209042,0.012,0.0241,0.9936,0.2188,0.4988,0.2537,1001.2698,smooth_accel,3.24,3.24,0
55,209102,-0.0378,0.0178,0.9902,0.0437,0.4288,0.245,1001.2729,smooth_accel,3.3,3.3,0
56,209162,-0.0473,0.0127,0.9964,0.14,0.6913,0.2625,1001.2722,smooth_accel,3.36,3.36,0
57,209222,-0.0598,0.0202,0.9984,0.1225,0.5688,0.2625,1001.2712,smooth_accel,3.42,3.42,0
58,209282,-0.0772,0.0139,0.9989,0.0875,0.6562,0.2275,1001.2734,smooth_accel,3.48,3.48,0
59,209342,-0.0861,0.0122,0.9997,0.3063,0.6212,0.2275,1001.2651,smooth_accel,3.54,3.54,0
60,209402,-0.1015,0.0148,0.9933,0.175,0.6388,0.2975,1001.2715,smooth_accel,3.6,3.6,0
61,209462,-0.1125,0.0147,0.9962,0.2188,0.7175,0.2188,1001.2705,smooth_accel,3.66,3.66,0
62,209522,-0.1259,0.0127,0.9913,-0.0525,0.6212,0.28,1001.2727,smooth_accel,3.72,3.72,0
63,209582,-0.1312,0.0114,0.9987,0.1488,0.63,0.2013,1001.2695,smooth_accel,3.78,3.78,0
64,209642,-0.1425,0.0102,0.9941,0.1488,0.7088,0.1312,1001.2683,smooth_accel,3.84,3.84,0
65,209702,-0.153,0.0123,0.9884,0.035,0.4638,0.28,1001.2695,smooth_accel,3.9,3.9,0
66,209762,-0.1542,0.0134,0.9903,-0.1312,0.4462,0.3325,1001.2783,smooth_accel,3.96,3.96,0
67,209822,-0.1374,0.0053,0.9925,-0.14,0.3938,0.21,1001.271,smooth_accel,4.02,4.02,0
