index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,segment_id,time_sec,segment_time_sec
0,3347342,0.0182,0.0115,0.9939,0.28,0.0088,0.0962,1000.3286,smooth_accel_decel,0,0.0,0.0
1,3347402,0.0193,0.0099,1.0016,0.1838,0.105,0.1312,1000.3347,smooth_accel_decel,0,0.06,0.06
2,3347462,0.0185,0.0124,0.9963,0.3675,0.1838,0.1138,1000.3274,smooth_accel_decel,0,0.12,0.12
3,3347522,0.0187,0.0066,0.9955,0.3675,0.0525,0.21,1000.332,smooth_accel_decel,0,0.18,0.18
4,3347582,0.0164,0.0112,0.9952,0.1488,0.1138,0.1663,1000.3225,smooth_accel_decel,0,0.24,0.24
5,3347642,0.0181,0.0115,0.9991,0.245,0.0525,0.1838,1000.3257,smooth_accel_decel,0,0.3,0.3
6,3347702,0.0185,0.011,0.9922,0.28,0.0175,0.1488,1000.3364,smooth_accel_decel,0,0.36,0.36
7,3347762,0.0178,0.0112,0.9969,0.2887,-0.1138,0.1838,1000.3296,smooth_accel_decel,0,0.42,0.42
8,3347822,0.0184,0.011,0.994,0.2013,0.14,0.1488,1000.332,smooth_accel_decel,0,0.48,0.48
9,3347882,0.0171,0.009,0.996,0.2625,0.0437,0.1925,1000.3433,smooth_accel_decel,0,0.54,0.54
10,3347942,0.0192,0.0107,0.9943,0.1838,0.0962,0.1925,1000.3259,smooth_accel_decel,0,0.6,0.6
11,3348002,0.0198,0.0095,0.9936,0.2362,0.1312,0.2013,1000.3269,smooth_accel_decel,0,0.66,0.66
12,3348062,0.0173,0.012,0.9943,0.1925,0.0787,0.175,1000.3293,smooth_accel_decel,0,0.72,0.72
13,3348122,0.0163,0.0097,0.9948,0.1312,-0.0175,0.1225,1000.3284,smooth_accel_decel,0,0.78,0.78
14,3348182,0.0193,0.0117,0.996,0.2975,0.0962,0.1225,1000.3274,smooth_accel_decel,0,0.84,0.84
15,3348242,0.0149,0.0093,0.9745,0.1138,0.0175,0.1838,1000.3394,smooth_accel_decel,0,0.9,0.9
16,3348302,0.0182,0.0103,0.9957,0.0875,0.1312,0.2013,1000.3271,smooth_accel_decel,0,0.96,0.96
17,3348362,0.0153,0.0108,0.9914,0.0175,0.1575,0.1488,1000.3452,smooth_accel_decel,0,1.02,1.02
18,3348422,0.0218,0.0092,0.9902,0.07,0.1575,0.1488,1000.3391,smooth_accel_decel,0,1.08,1.08
19,3348482,0.0138,0.0054,0.9833,0.21,0.0525,0.0613,1000.3208,smooth_accel_decel,0,1.14,1.14
20,3348542,0.0125,0.0115,0.9845,0.1663,0.0962,0.105,1000.322,smooth_accel_decel,0,1.2,1.2
21,3348602,0.0178,0.0077,1.004,0.105,0.105,0.1138,1000.3293,smooth_accel_decel,0,1.26,1.26
22,3348662,0.0224,0.0166,0.995,0.21,0.07,0.2013,1000.3354,smooth_accel_decel,0,1.32,1.32
23,3348722,0.011,0.0078,0.9904,0.2625,0.2013,0.14,1000.3298,smooth_accel_decel,0,1.38,1.38
24,3348782,0.0206,0.0161,0.997,0.0525,0.0962,0.21,1000.3328,smooth_accel_decel,0,1.44,1.44
25,3348842,0.019,0.0142,0.9953,0.0875,-0.0262,0.2188,1000.3313,smooth_accel_decel,0,1.5,1.5
26,3348902,0.0171,0.011,0.9941,0.2188,0.0787,0.2013,1000.3271,smooth_accel_decel,0,1.56,1.56
27,3348962,0.016,0.0185,0.9938,0.4375,0.1663,0.1312,1000.3337,smooth_accel_decel,0,1.62,1.62
28,3349022,0.0173,-0.0024,0.9902,0.1663,-0.07,0.1225,1000.3379,smooth_accel_decel,0,1.68,1.68
29,3349082,0.022,0.0141,1.0031,0.21,0.1663,0.2188,1000.3293,smooth_accel_decel,0,1.74,1.74
30,3349142,0.018,0.0078,0.9921,0.3063,0.0437,0.1663,1000.3259,smooth_accel_decel,0,1.8,1.8
31,3349202,0.0213,0.013,0.9989,0.1925,0.0787,0.1488,1000.332,smooth_accel_decel,0,1.86,1.86
32,3349262,0.0171,0.0117,0.9906,0.2713,0.1488,0.2013,1000.3252,smooth_accel_decel,0,1.92,1.92
33,3349322,0.0198,0.0084,0.9975,0.2013,0.0262,0.1225,1000.3318,smooth_accel_decel,0,1.98,1.98
34,3349382,0.0185,0.009,0.995,0.2713,0.1312,0.14,1000.334,smooth_accel_decel,0,2.04,2.04
35,3349442,0.0183,0.0131,0.9928,0.2713,0.035,0.1925,1000.3254,smooth_accel_decel,0,2.1,2.1
36,3349502,0.0188,0.009,0.9935,0.21,0.105,0.1225,1000.3232,smooth_accel_decel,0,2.16,2.16
37,3349562,0.0188,0.0114,0.998,0.175,0.0437,0.1488,1000.333,smooth_accel_decel,0,2.22,2.22
38,3349622,0.0166,0.0092,0.9919,0.2537,0.0962,0.1575,1000.325,smooth_accel_decel,0,2.28,2.28
39,3349682,0.019,0.0112,0.9958,0.21,0.07,0.2013,1000.3311,smooth_accel_decel,0,2.34,2.34
40,3349742,0.0193,0.0098,0.9953,0.3063,0.0875,0.175,1000.3235,smooth_accel_decel,0,2.4,2.4
41,3349802,0.0162,0.0121,0.9919,0.1925,0.105,0.1575,1000.3262,smooth_accel_decel,0,2.46,2.46
42,3349862,0.0167,0.0122,0.997,0.3413,0.105,0.1225,1000.3279,smooth_accel_decel,0,2.52,2.52
43,3349922,0.0174,0.0105,0.9919,0.3237,0.0613,0.175,1000.3298,smooth_accel_decel,0,2.58,2.58
44,3349982,0.0201,0.0063,0.9963,0.1488,0.0787,0.2013,1000.3284,smooth_accel_decel,0,2.64,2.64
45,3350042,0.0173,0.0131,0.9933,0.2713,0.14,0.0613,1000.3262,smooth_accel_decel,0,2.7,2.7
46,3350102,0.0185,0.0073,0.9946,0.2625,0.0525,0.21,1000.3315,smooth_accel_decel,0,2.76,2.76
47,3350162,0.0184,0.0103,0.9964,0.2625,0.0088,0.1312,1000.3259,smooth_accel_decel,0,2.82,2.82
48,3350222,0.0183,0.0115,0.9945,0.3413,0.1488,0.1838,1000.3206,smooth_accel_decel,0,2.88,2.88
49,3350282,0.0187,0.0106,1.0011,0.3325,0.1488,0.1663,1000.3279,smooth_accel_decel,0,2.94,2.94
50,3350342,0.0185,0.0085,0.9956,0.3237,-0.0262,0.105,1000.3337,smooth_accel_decel,0,3.0,3.0
51,3350402,0.0168,0.0099,0.9902,0.2013,0.0437,0.2537,1000.3318,smooth_accel_decel,0,3.06,3.06
52,3350462,0.0188,0.0093,0.9946,0.2188,-0.0175,0.2013,1000.3198,smooth_accel_decel,0,3.12,3.12
53,3350522,0.018,0.0115,0.9955,0.3063,0.1225,0.1925,1000.3228,smooth_accel_decel,0,3.18,3.18
54,3350582,0.0193,0.0078,0.9975,0.3413,0.1575,0.1925,1000.3254,smooth_accel_decel,0,3.24,3.24
55,3350642,0.0253,0.0093,0.9914,0.2537,-0.035,0.0962,1000.3281,smooth_accel_decel,0,3.3,3.3
56,3350702,0.0154,0.0054,0.9867,0.1575,-0.0875,0.21,1000.3223,smooth_accel_decel,0,3.36,3.36
57,3350762,0.0113,0.0154,0.9945,0.21,0.0525,0.1312,1000.3313,smooth_accel_decel,0,3.42,3.42
58,3350822,-0.0112,0.0106,0.9426,-0.3762,1.0237,0.1488,1000.3213,smooth_accel_decel,0,3.48,3.48
59,3350882,0.0212,0.0054,1.0333,0.735,-0.0962,0.1663,1000.3286,smooth_accel_decel,0,3.54,3.54
60,3350942,0.0063,0.0051,0.9668,-0.0088,0.245,0.07,1000.3254,smooth_accel_decel,0,3.6,3.6
61,3351002,-0.0108,0.0044,0.996,0.2362,0.49,0.1312,1000.3123,smooth_accel_decel,0,3.66,3.66
