,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_time_sec,segment_id
0,938342,0.0102,0.0115,0.9944,0.2275,0.1925,0.1925,1001.3916,hard_accel,0.0,0.0,0
1,938402,0.0109,0.0102,0.9941,0.1838,0.0875,0.21,1001.3972,hard_accel,0.06,0.06,0
2,938462,0.0103,0.011,0.9951,0.3063,0.0875,0.2362,1001.4065,hard_accel,0.12,0.12,0
3,938522,0.007,0.0066,1.0011,0.0525,0.1312,0.2975,1001.3806,hard_accel,0.18,0.18,0
4,938582,0.008,0.0196,1.0114,0.3762,0.2887,0.245,1001.3872,hard_accel,0.24,0.24,0
5,938642,0.0132,0.0182,0.997,0.2713,0.49,0.2188,1001.4026,hard_accel,0.3,0.3,0
6,938702,0.0037,0.0102,0.9921,0.0962,0.1838,0.21,1001.3984,hard_accel,0.36,0.36,0
7,938762,0.0083,0.0118,0.9903,0.21,-0.0437,0.21,1001.3926,hard_accel,0.42,0.42,0
8,938822,0.0075,0.0081,0.9922,0.1488,0.175,0.2188,1001.3872,hard_accel,0.48,0.48,0
9,938882,0.0093,0.0121,0.995,0.1312,-0.0088,0.2975,1001.3982,hard_accel,0.54,0.54,0
10,938942,0.0127,0.0102,0.9985,0.2537,0.1225,0.2275,1001.3911,hard_accel,0.6,0.6,0
11,939002,0.0102,0.0124,0.9965,0.2713,0.0525,0.2362,1001.4045,hard_accel,0.66,0.66,0
12,939062,0.0084,0.0113,0.9947,0.2013,0.1312,0.2887,1001.3938,hard_accel,0.72,0.72,0
13,939122,0.0098,0.0112,0.9938,0.2713,0.1838,0.245,1001.3923,hard_accel,0.78,0.78,0
14,939182,0.0097,0.0096,0.9953,0.1663,0.0875,0.2188,1001.3982,hard_accel,0.84,0.84,0
15,939242,0.0103,0.0117,0.9959,0.1663,0.1663,0.2362,1001.3972,hard_accel,0.9,0.9,0
16,939302,0.0027,0.0085,0.9855,0.105,-0.07,0.1925,1001.3796,hard_accel,0.96,0.96,0
17,939362,0.0088,0.0118,0.9931,0.2362,0.0613,0.28,1001.395,hard_accel,1.02,1.02,0
18,939422,0.0095,0.0097,0.9943,0.1838,0.2275,0.1925,1001.3914,hard_accel,1.08,1.08,0
19,939482,0.0056,0.0112,0.9958,0.2362,0.1663,0.2362,1001.4092,hard_accel,1.14,1.14,0
20,939542,0.0117,0.011,0.9923,0.21,0.14,0.2713,1001.3916,hard_accel,1.2,1.2,0
21,939602,-0.0154,0.0077,0.9916,0.0787,0.3237,0.1925,1001.4016,hard_accel,1.26,1.26,0
22,939662,-0.04,0.0025,0.9941,0.1838,0.5775,0.2013,1001.387,hard_accel,1.32,1.32,0
23,939722,-0.087,0.0137,0.9884,0.2537,0.7962,0.2188,1001.3843,hard_accel,1.38,1.38,0
24,939782,-0.1308,-0.0056,0.9905,0.0875,1.2775,0.2887,1001.4053,hard_accel,1.44,1.44,0
25,939842,-0.1935,0.0005,1.0022,0.1312,1.9688,0.2275,1001.3911,hard_accel,1.5,1.5,0
26,939902,-0.2039,0.0038,0.9986,-0.0962,1.9338,0.2013,1001.394,hard_accel,1.56,1.56,0
27,939962,-0.2123,-0.0012,0.9906,0.0175,1.3038,0.2887,1001.4019,hard_accel,1.62,1.62,0
28,940022,-0.2166,0.0049,0.9948,0.1575,0.63,0.3237,1001.397,hard_accel,1.68,1.68,0
29,940082,-0.2149,-0.0087,0.9929,0.1925,0.315,0.4725,1001.3926,hard_accel,1.74,1.74,0
30,940142,-0.2193,-0.0101,0.986,0.1312,-0.0175,0.5075,1001.3984,hard_accel,1.8,1.8,0
31,940202,-0.233,-0.011,0.9913,0.2625,-0.0875,0.5512,1001.3972,hard_accel,1.86,1.86,0
32,940262,-0.252,-0.0063,0.9767,0.5163,0.3762,0.4462,1001.3855,hard_accel,1.92,1.92,0
33,940322,-0.2772,-0.0148,0.9789,0.455,0.7962,0.3762,1001.386,hard_accel,1.98,1.98,0
34,940382,-0.2999,-0.0234,0.9847,0.7,1.1025,0.2275,1001.3865,hard_accel,2.04,2.04,0
35,940442,-0.3138,0.0137,0.9942,0.4725,1.0762,0.4112,1001.3921,hard_accel,2.1,2.1,0
36,940502,-0.3254,-0.0051,1.0021,0.07,0.9712,0.875,1001.3806,hard_accel,2.16,2.16,0
37,940562,-0.333,-0.0144,0.9892,-0.5775,0.5337,0.8662,1001.3884,hard_accel,2.22,2.22,0
38,940622,-0.3402,-0.0335,0.9889,-0.5688,0.5512,0.525,1001.3743,hard_accel,2.28,2.28,0
39,940682,-0.3084,-0.0373,1.0188,-0.2013,-0.1488,0.6562,1001.3779,hard_accel,2.34,2.34,0
40,940742,-0.3738,-0.0053,1.0341,0.4288,0.6037,0.5425,1001.3787,hard_accel,2.4,2.4,0
41,940802,-0.4089,-0.0152,0.9221,1.0063,0.665,0.875,1001.3694,hard_accel,2.46,2.46,0
42,940862,-0.3214,-0.1027,1.0482,-0.0262,-0.4725,1.0412,1001.3684,hard_accel,2.52,2.52,0
43,940922,-0.3803,-0.0245,0.899,1.7587,-0.7525,0.98,1001.3677,hard_accel,2.58,2.58,0
44,940982,-0.4271,0.0252,0.9672,-0.5163,1.4963,1.015,1001.3623,hard_accel,2.64,2.64,0
45,941042,-0.3789,0.0129,1.1068,-0.3587,0.665,1.4088,1001.3501,hard_accel,2.7,2.7,0
46,941102,-0.423,-0.1311,1.0214,0.1488,1.89,1.505,1001.3391,hard_accel,2.76,2.76,0
47,941162,-0.4501,-0.011,0.9474,0.21,0.5425,1.5575,1001.3354,hard_accel,2.82,2.82,0
48,941222,-0.357,-0.0054,0.9504,-0.4025,-0.9362,0.8138,1001.3323,hard_accel,2.88,2.88,0
49,941282,-0.406,-0.0788,0.9517,1.4,0.2975,1.0762,1001.3169,hard_accel,2.94,2.94,0
50,941342,-0.4524,-0.0483,0.9526,-0.3413,0.0088,1.2687,1001.3142,hard_accel,3.0,3.0,0
51,941402,-0.3725,0.0027,0.9191,-0.0962,-0.945,1.4963,1001.3005,hard_accel,3.06,3.06,0
52,941462,-0.4529,0.0083,0.8689,2.24,-0.84,1.2337,1001.2969,hard_accel,3.12,3.12,0
53,941522,-0.3092,-0.0342,1.0264,-1.7413,-0.5425,0.9625,1001.2847,hard_accel,3.18,3.18,0
54,941582,-0.2943,0.0524,0.9875,-1.2513,0.5863,0.8313,1001.2793,hard_accel,3.24,3.24,0
55,941642,-0.3126,-0.0627,0.9074,0.5863,-0.21,1.12,1001.2644,hard_accel,3.3,3.3,0
56,941702,-0.3503,0.1134,0.9477,2.1437,0.4812,0.875,1001.2593,hard_accel,3.36,3.36,0
57,941762,-0.307,0.0149,1.0447,0.0787,2.9313,0.7262,1001.2566,hard_accel,3.42,3.42,0
58,941822,-0.4119,-0.0381,0.895,-0.14,-0.8925,1.1638,1001.2412,hard_accel,3.48,3.48,0
59,941882,-0.3809,0.0262,1.0084,0.945,-0.7088,0.5075,1001.2261,hard_accel,3.54,3.54,0
60,941942,-0.3369,-0.0239,0.8522,0.4812,-2.135,0.0613,1001.2173,hard_accel,3.6,3.6,0
61,942002,-0.3289,0.0664,1.0392,3.08,0.0088,0.0613,1001.2046,hard_accel,3.66,3.66,0
62,942062,-0.2469,0.0149,1.1362,0.8925,0.2625,0.3413,1001.1978,hard_accel,3.72,3.72,0
63,942122,-0.3667,0.0978,1.03,1.2775,1.2775,0.6913,1001.179,hard_accel,3.78,3.78,0
64,942182,-0.3733,0.1083,0.9482,-3.0363,-0.4638,0.6562,1001.1824,hard_accel,3.84,3.84,0
65,942242,-0.3599,-0.0718,0.7935,-1.9863,-0.105,0.6825,1001.1797,hard_accel,3.9,3.9,0
66,942302,-0.4307,-0.0569,0.8067,1.2075,-0.5337,-0.2537,1001.1687,hard_accel,3.96,3.96,0
67,942362,-0.398,-0.0857,0.8886,-3.1588,-2.5025,0.0875,1001.1489,hard_accel,4.02,4.02,0
68,942422,-0.3257,-0.0224,0.9914,2.205,1.26,0.28,1001.1296,hard_accel,4.08,4.08,0
69,942482,-0.4494,0.0742,0.9238,2.555,0.98,-0.105,1001.1174,hard_accel,4.14,4.14,0
70,942542,-0.3799,-0.0888,0.9514,-1.6712,-3.08,0.2975,1001.1169,hard_accel,4.2,4.2,0
71,942602,-0.3258,-0.0188,1.0319,0.7262,-0.7613,-0.1575,1001.105,hard_accel,4.26,4.26,0
72,942662,-0.3201,0.0378,1.01,2.485,-1.5925,-0.1138,1001.0916,hard_accel,4.32,4.32,0
73,942722,-0.296,0.0734,1.037,-3.0275,1.6187,0.3063,1001.0754,hard_accel,4.38,4.38,0
74,942782,-0.3631,-0.0739,0.9146,0.7525,-1.2862,0.4025,1001.0793,hard_accel,4.44,4.44,0
75,942842,-0.338,0.0225,0.9776,1.155,0.0962,0.6913,1001.0681,hard_accel,4.5,4.5,0
76,942902,-0.2332,0.1188,1.1585,-1.8813,1.19,0.3675,1001.0505,hard_accel,4.56,4.56,0
77,942962,-0.3652,-0.0724,0.975,-1.6187,1.05,0.0875,1001.0574,hard_accel,4.62,4.62,0
78,943022,-0.4092,-0.0224,0.9995,-0.7788,1.505,-0.2013,1000.9995,hard_accel,4.68,4.68,0
79,943082,-0.4219,-0.0265,0.8092,0.1575,-1.61,-0.28,1000.9946,hard_accel,4.74,4.74,0
80,943142,-0.3129,0.0209,0.9911,0.3762,-0.8225,0.035,1000.9822,hard_accel,4.8,4.8,0
81,943202,-0.294,-0.0673,0.9631,3.8675,-1.7237,0.525,1000.9966,hard_accel,4.86,4.86,0
82,943262,-0.4027,-0.0337,0.7303,-2.905,-0.2275,0.6475,1000.9673,hard_accel,4.92,4.92,0
83,943322,-0.2408,-0.1381,0.9775,-2.4675,-0.2975,1.155,1000.9775,hard_accel,4.98,4.98,0
84,943382,-0.3528,0.0761,1.0008,-3.0625,-0.3675,0.7175,1000.9863,hard_accel,5.04,5.04,0
85,943442,-0.2089,0.1876,0.8455,-3.255,-1.3125,0.1488,1000.938,hard_accel,5.1,5.1,0
86,943502,-0.1398,-0.0368,1.3381,6.1687,6.3787,1.6537,1000.9709,hard_accel,5.16,5.16,0
87,943562,-0.3729,0.2364,1.0389,10.22,7.9625,0.3762,1000.939,hard_accel,5.22,5.22,0
88,943622,-0.3231,0.2353,1.1882,-0.4288,4.0338,1.505,1000.9353,hard_accel,5.28,5.28,0
89,943682,-0.4418,0.0712,0.8606,-3.01,-0.8575,0.9975,1000.928,hard_accel,5.34,5.34,0
90,943742,-0.1825,0.0814,1.2534,-3.1762,-5.18,-0.455,1000.9163,hard_accel,5.4,5.4,0
91,943802,-0.3897,0.0986,1.0138,4.5938,-4.06,-0.2625,1000.9177,hard_accel,5.46,5.46,0
92,943862,-0.3381,-0.0807,1.1048,2.2487,-0.07,-0.4375,1000.8667,hard_accel,5.52,5.52,0
93,943922,-0.4192,0.1188,0.6307,-1.015,-3.7013,-1.0412,1000.843,hard_accel,5.58,5.58,0
94,943982,-0.2805,0.1581,0.8359,-4.7075,0.6737,-0.5075,1000.8105,hard_accel,5.64,5.64,0
95,944042,-0.4473,-0.0235,0.7925,-2.9225,4.445,-0.245,1000.8154,hard_accel,5.7,5.7,0
96,944102,-0.2463,0.083,1.1951,-0.9538,1.3475,0.4112,1000.8242,hard_accel,5.76,5.76,0
97,944162,-0.3084,0.0078,1.0231,0.5512,-4.3313,-0.0175,1000.7893,hard_accel,5.82,5.82,0
98,944222,-0.2366,-0.1125,1.0997,2.0475,-0.0875,-0.35,1000.7856,hard_accel,5.88,5.88,0
99,944282,-0.2953,0.0453,1.0182,2.765,-1.4787,-0.2537,1000.7559,hard_accel,5.94,5.94,0
100,944342,-0.3331,-0.0979,0.9848,-0.7088,3.0013,-0.805,1000.7532,hard_accel,6.0,6.0,0
101,944402,-0.3211,0.0715,1.0792,0.0875,0.4988,0.1925,1000.7207,hard_accel,6.06,6.06,0
102,944462,-0.2836,0.0547,0.975,-0.9013,0.2625,-0.7875,1000.7222,hard_accel,6.12,6.12,0
103,944522,-0.2996,0.0222,0.9882,3.3163,0.1663,-0.63,1000.6987,hard_accel,6.18,6.18,0
104,944582,-0.3612,0.03,0.8967,4.0687,0.6737,-1.225,1000.7031,hard_accel,6.24,6.24,0
105,944642,-0.2369,0.0617,1.2063,-1.365,2.0563,-0.56,1000.7065,hard_accel,6.3,6.3,0
106,944702,-0.2664,0.0615,0.9723,1.2337,-1.365,-0.245,1000.6855,hard_accel,6.36,6.36,0
107,944762,-0.2333,0.0611,1.0304,-2.1962,2.4762,-1.05,1000.6489,hard_accel,6.42,6.42,0
108,944822,-0.2308,0.0502,1.0961,-1.7938,-3.8412,-0.1663,1000.6235,hard_accel,6.48,6.48,0
109,944882,-0.2802,0.0331,0.9153,1.3825,-2.2487,0.1488,1000.6516,hard_accel,6.54,6.54,0
110,944942,-0.2628,-0.051,1.0279,-2.135,-1.9338,0.0613,1000.6326,hard_accel,6.6,6.6,0
111,945002,-0.212,-0.0296,0.9537,-3.15,-1.365,1.0325,1000.626,hard_accel,6.66,6.66,0
112,945062,-0.2103,0.0478,1.0286,2.9137,-0.9975,0.6562,1000.6047,hard_accel,6.72,6.72,0
113,945122,-0.1732,-0.0297,1.1338,1.0325,1.925,0.1312,1000.5886,hard_accel,6.78,6.78,0
114,945182,-0.2098,-0.0486,1.1139,2.8612,1.2862,0.035,1000.5608,hard_accel,6.84,6.84,0
115,945242,-0.2609,0.0181,0.9658,2.5025,-3.0538,0.0962,1000.5615,hard_accel,6.9,6.9,0
116,945302,-0.2682,0.0912,1.0646,3.6225,-0.1225,0.4375,1000.5444,hard_accel,6.96,6.96,0
117,945362,-0.3145,-0.0518,0.7886,1.2425,-1.3737,0.525,1000.5298,hard_accel,7.02,7.02,0
118,945422,-0.1839,0.1735,1.0527,0.4375,-3.8588,-0.1925,1000.4878,hard_accel,7.08,7.08,0
119,945482,-0.1584,0.0481,1.0265,-0.9013,-5.0925,0.5425,1000.4937,hard_accel,7.14,7.14,0
120,945542,-0.3321,-0.073,0.796,-0.9625,-1.225,0.6475,1000.47,hard_accel,7.2,7.2,0
121,945602,-0.2406,-0.133,0.9031,-2.0475,-2.0912,0.2188,1000.4463,hard_accel,7.26,7.26,0
122,945662,-0.2171,-0.0026,0.9506,0.3413,-5.1013,0.5163,1000.4246,hard_accel,7.32,7.32,0
123,945722,-0.1909,-0.0852,0.8901,-0.35,-0.6212,0.315,1000.4258,hard_accel,7.38,7.38,0
124,945782,-0.1239,0.0427,1.0321,1.7062,1.3913,0.315,1000.3735,hard_accel,7.44,7.44,0
125,945842,-0.2062,0.1398,1.097,1.3475,2.275,0.49,1000.3848,hard_accel,7.5,7.5,0
126,945902,-0.1272,-0.0281,0.9592,-0.9975,-3.9288,1.0063,1000.3823,hard_accel,7.56,7.56,0
127,945962,-0.0244,0.1938,1.2583,1.645,-1.7675,0.3413,1000.3772,hard_accel,7.62,7.62,0
128,946022,-0.1395,0.105,1.1153,0.5512,1.4525,0.105,1000.3643,hard_accel,7.68,7.68,0
129,946082,-0.1305,-0.05,0.9875,-2.3012,-3.01,0.3325,1000.3433,hard_accel,7.74,7.74,0
130,946142,-0.1144,-0.0475,0.9906,1.19,-5.075,0.28,1000.3628,hard_accel,7.8,7.8,0
131,946202,-0.0035,0.1284,1.1158,0.6913,-5.25,0.1488,1000.3115,hard_accel,7.86,7.86,0
132,946262,-0.1017,-0.0389,0.9155,1.9775,-1.015,0.42,1000.28,hard_accel,7.92,7.92,0
133,946322,0.0317,0.1662,1.0953,0.1663,-0.4375,0.1663,1000.2698,hard_accel,7.98,7.98,0
134,946382,0.0247,0.0252,1.0407,2.3537,-2.8788,0.21,1000.2532,hard_accel,8.04,8.04,0
135,946442,-0.0029,-0.0146,1.2229,3.57,2.8175,0.0787,1000.231,hard_accel,8.1,8.1,0
136,946502,-0.0791,-0.0351,0.8355,0.0875,-3.675,-0.2975,1000.2622,hard_accel,8.16,8.16,0
137,946562,0.0331,-0.0588,1.102,2.8875,0.0962,-0.4375,1000.2549,hard_accel,8.22,8.22,0
138,946622,0.0742,0.0288,1.0543,-0.1488,0.245,0.28,1000.2869,hard_accel,8.28,8.28,0
139,946682,0.0631,-0.0754,0.9755,0.5688,-0.0525,0.2362,1000.271,hard_accel,8.34,8.34,0
140,946742,0.0051,0.0207,0.974,-0.6913,1.0675,0.4462,1000.303,hard_accel,8.4,8.4,0
