,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_id,segment_time_sec
0,566282,-0.0432,0.0622,0.9897,0.9887,0.0262,0.3325,1000.9543,right_turn,3.78,0,0.0
1,566342,-0.0361,-0.0218,1.0212,-0.7525,-0.07,0.0787,1000.9561,right_turn,3.84,0,0.06
2,566402,-0.0454,0.0126,0.9418,0.035,-1.1113,-0.1225,1000.9705,right_turn,3.9,0,0.12
3,566462,-0.049,-0.0144,1.0067,0.35,-0.2537,0.1488,1000.9607,right_turn,3.96,0,0.18
4,566522,-0.0463,0.006,1.0097,0.2013,0.2013,0.3762,1000.9712,right_turn,4.02,0,0.24
5,566582,-0.0809,0.0324,0.9723,-0.14,-0.42,0.5075,1000.9622,right_turn,4.08,0,0.3
6,566642,-0.0752,0.0041,0.9995,-0.4025,-0.945,0.2625,1000.96,right_turn,4.14,0,0.36
7,566702,-0.0161,0.01,1.0282,2.275,0.28,0.0,1000.9636,right_turn,4.2,0,0.42
8,566762,-0.0099,0.0398,1.0316,0.5863,0.6037,-0.1925,1000.9619,right_turn,4.26,0,0.48
9,566822,-0.0182,0.0295,1.0126,0.5337,0.2537,0.1488,1000.9631,right_turn,4.32,0,0.54
10,566882,-0.0351,0.024,1.0069,0.2975,1.1025,0.0088,1000.9631,right_turn,4.38,0,0.6
11,566942,-0.0375,-0.0054,0.9884,1.2425,-0.2537,0.1312,1000.9651,right_turn,4.44,0,0.66
12,567002,0.014,0.0434,1.0402,0.3325,0.3325,-0.1838,1000.9609,right_turn,4.5,0,0.72
13,567062,0.0096,0.0776,1.0228,0.8925,-0.35,-0.1225,1000.9634,right_turn,4.56,0,0.78
14,567122,0.0329,-0.0017,1.0384,-0.0175,-0.4725,-0.0875,1000.9663,right_turn,4.62,0,0.84
15,567182,0.0335,0.029,1.0075,1.365,0.6562,-0.2013,1000.96,right_turn,4.68,0,0.9
16,567242,0.0694,0.0586,1.0138,0.0525,-0.2625,-0.2975,1000.9626,right_turn,4.74,0,0.96
17,567302,0.0498,0.0382,1.0327,-0.0525,-1.2162,-0.7,1000.9585,right_turn,4.8,0,1.02
18,567362,0.0363,0.0796,0.9833,1.0938,0.1138,-1.05,1000.9719,right_turn,4.86,0,1.08
19,567422,0.0422,0.0288,1.0208,1.3212,0.2537,-1.6888,1000.9644,right_turn,4.92,0,1.14
20,567482,0.0258,0.0595,1.0133,0.8925,1.1988,-2.6163,1000.9697,right_turn,4.98,0,1.2
21,567542,0.0324,0.0686,0.9907,1.12,0.4725,-3.1762,1000.9683,right_turn,5.04,0,1.26
22,567602,0.0295,0.0727,1.0171,0.98,0.7613,-3.5875,1000.959,right_turn,5.1,0,1.32
23,567662,0.0171,0.131,1.046,1.47,1.5488,-4.7337,1000.9614,right_turn,5.16,0,1.38
24,567722,0.0541,0.0678,0.9658,0.0262,0.2188,-5.6,1000.9651,right_turn,5.22,0,1.44
25,567782,-0.0151,0.1096,0.9499,0.5863,0.0,-6.2475,1000.9578,right_turn,5.28,0,1.5
26,567842,0.0249,0.0654,0.9981,0.3587,0.0613,-7.35,1000.9668,right_turn,5.34,0,1.56
27,567902,0.0323,0.1175,1.0038,0.4725,0.035,-7.8837,1000.9519,right_turn,5.4,0,1.62
28,567962,0.011,0.053,0.9708,-0.35,-0.735,-8.8375,1000.9666,right_turn,5.46,0,1.68
