,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_id,segment_time_sec
0,798302,0.0045,-0.0053,0.9335,0.9538,1.4438,0.1138,1000.9868,right_u_turn,13.44,0,0.0
1,798362,0.0217,0.0594,0.9319,-1.225,-0.6737,-0.0962,1000.9883,right_u_turn,13.5,0,0.06
2,798422,0.0417,0.0207,0.906,0.0787,-1.2862,-0.2975,1000.9829,right_u_turn,13.56,0,0.12
3,798482,0.1023,0.0658,1.0043,-0.2537,-1.5312,-0.7,1000.9829,right_u_turn,13.62,0,0.18
4,798542,0.073,0.0528,1.0324,0.3413,0.2537,-1.0412,1000.98,right_u_turn,13.68,0,0.24
5,798602,0.0695,0.0561,1.009,0.07,0.4988,-1.5575,1000.9778,right_u_turn,13.74,0,0.3
6,798662,0.0769,0.0856,1.0418,1.6537,0.28,-2.4588,1000.9802,right_u_turn,13.8,0,0.36
7,798722,0.0739,0.0559,1.088,1.435,0.4375,-3.08,1000.9812,right_u_turn,13.86,0,0.42
8,798782,0.0486,0.1055,0.9726,1.225,-0.7262,-3.5963,1000.9844,right_u_turn,13.92,0,0.48
9,798842,0.0603,0.1075,0.9977,0.2625,-1.1113,-4.8038,1000.9773,right_u_turn,13.98,0,0.54
10,798902,0.061,0.0988,0.9894,2.3363,1.365,-5.005,1000.9788,right_u_turn,14.04,0,0.6
11,798962,0.023,0.0863,0.9071,-0.0088,-0.0175,-6.5012,1000.9856,right_u_turn,14.1,0,0.66
12,799022,0.0761,0.1293,1.0573,0.6388,0.6913,-7.0175,1000.9829,right_u_turn,14.16,0,0.72
13,799082,0.0659,0.1222,1.0004,-0.0262,-0.1488,-7.9713,1000.9814,right_u_turn,14.22,0,0.78
14,799142,0.0617,0.1329,1.0089,0.6562,0.1838,-9.2575,1000.9822,right_u_turn,14.28,0,0.84
15,799202,0.0932,0.1483,1.0208,0.2537,0.2275,-9.7388,1000.9785,right_u_turn,14.34,0,0.9
16,799262,0.0698,0.133,1.0089,0.2713,-0.4725,-10.885,1000.9878,right_u_turn,14.4,0,0.96
17,799322,0.0542,0.1413,0.9572,1.7587,0.5163,-11.7775,1000.98,right_u_turn,14.46,0,1.02
18,799382,0.0761,0.1564,1.0214,0.6913,-0.5075,-12.88,1000.9812,right_u_turn,14.52,0,1.08
19,799442,0.0886,0.1566,1.0221,1.0063,1.2775,-13.6237,1000.9712,right_u_turn,14.58,0,1.14
20,799502,0.0495,0.1688,0.9598,1.2337,1.7237,-14.4812,1000.9827,right_u_turn,14.64,0,1.2
21,799562,0.0298,0.1267,0.9321,-0.4725,0.9538,-15.2513,1000.9846,right_u_turn,14.7,0,1.26
22,799622,0.0534,0.1593,0.9335,-0.42,-0.6037,-16.3363,1000.9893,right_u_turn,14.76,0,1.32
23,799682,0.083,0.1703,1.039,0.0875,1.2162,-16.2313,1000.9883,right_u_turn,14.82,0,1.38
24,799742,0.0422,0.1264,1.0058,1.0938,0.6913,-17.0975,1000.9744,right_u_turn,14.88,0,1.44
25,799802,-0.0607,0.1814,0.9196,0.56,1.3913,-18.0775,1000.9795,right_u_turn,14.94,0,1.5
26,799862,0.0854,0.2009,1.0233,1.1287,0.8662,-18.9175,1000.9866,right_u_turn,15.0,0,1.56
27,799922,0.0732,0.1716,1.0253,2.0738,-0.7788,-19.5737,1000.9946,right_u_turn,15.06,0,1.62
28,799982,0.0595,0.2453,1.0382,2.24,-0.1663,-20.405,1000.9897,right_u_turn,15.12,0,1.68
29,800042,0.0759,0.2277,0.9862,0.0787,0.1663,-21.56,1000.9832,right_u_turn,15.18,0,1.74
30,800102,0.014,0.2569,1.0163,1.225,0.6125,-22.7412,1000.98,right_u_turn,15.24,0,1.8
31,800162,0.1049,0.2585,0.9838,-1.5225,0.035,-23.9925,1000.9849,right_u_turn,15.3,0,1.86
32,800222,0.0554,0.1996,1.0235,-1.75,1.5575,-24.8062,1000.9885,right_u_turn,15.36,0,1.92
33,800282,0.0793,0.2347,0.9645,-1.33,-0.7175,-24.2987,1000.9873,right_u_turn,15.42,0,1.98
34,800342,-0.0288,0.1959,0.9006,-0.9975,-0.1312,-25.2437,1000.9851,right_u_turn,15.48,0,2.04
35,800402,0.0001,0.1472,0.9603,-2.0563,-0.28,-25.4363,1000.9773,right_u_turn,15.54,0,2.1
36,800462,0.0449,0.2654,1.0308,-0.9013,-0.6125,-26.1625,1000.9858,right_u_turn,15.6,0,2.16
37,800522,0.0889,0.2287,1.1424,2.205,-0.28,-27.1162,1000.9944,right_u_turn,15.66,0,2.22
38,800582,0.0674,0.2111,1.0569,1.5925,0.1663,-27.1775,1000.9844,right_u_turn,15.72,0,2.28
39,800642,0.0827,0.2486,1.0548,0.175,-1.4175,-27.6238,1000.9788,right_u_turn,15.78,0,2.34
40,800702,0.0569,0.1849,1.0043,1.3038,0.1138,-28.2362,1000.9871,right_u_turn,15.84,0,2.4
41,800762,0.013,0.2709,0.8738,1.5925,-2.0738,-29.365,1000.988,right_u_turn,15.9,0,2.46
42,800822,0.0691,0.2411,1.1025,-1.33,0.9625,-29.6625,1000.9875,right_u_turn,15.96,0,2.52
43,800882,0.1307,0.1877,0.996,0.945,-0.91,-29.5487,1000.9824,right_u_turn,16.02,0,2.58
44,800942,0.0408,0.2681,0.9743,0.2887,1.1638,-30.345,1000.9783,right_u_turn,16.08,0,2.64
45,801002,0.1335,0.1886,1.0841,-0.6737,-0.42,-29.89,1000.9924,right_u_turn,16.14,0,2.7
46,801062,0.0081,0.2454,0.9984,1.26,0.2013,-30.3538,1000.9922,right_u_turn,16.2,0,2.76
47,801122,0.0307,0.2362,0.9521,4.0075,-0.35,-31.01,1000.9905,right_u_turn,16.26,0,2.82
48,801182,0.0773,0.2957,0.9964,0.6737,2.8438,-30.1612,1000.9963,right_u_turn,16.32,0,2.88
49,801242,0.0359,0.2416,0.9294,-1.645,0.105,-30.5725,1000.9812,right_u_turn,16.38,0,2.94
50,801302,0.0242,0.193,0.998,-1.4787,0.8138,-30.7825,1000.9878,right_u_turn,16.44,0,3.0
51,801362,0.0041,0.3015,0.8936,-2.5812,-0.4638,-31.4912,1000.9956,right_u_turn,16.5,0,3.06
52,801422,0.1303,0.1901,1.0648,-1.8637,-1.9863,-31.1763,1000.9812,right_u_turn,16.56,0,3.12
53,801482,0.0576,0.182,1.0563,-0.455,1.4088,-31.5263,1000.9915,right_u_turn,16.62,0,3.18
54,801542,0.0015,0.1315,1.0314,0.14,0.7088,-31.8762,1000.99,right_u_turn,16.68,0,3.24
55,801602,0.0329,0.1518,0.9548,0.3237,-1.61,-31.5088,1001.001,right_u_turn,16.74,0,3.3
56,801662,0.0557,0.1332,1.0411,2.4062,-2.135,-30.9837,1000.98,right_u_turn,16.8,0,3.36
57,801722,0.0916,0.2218,1.0602,2.0738,-2.17,-30.94,1000.9973,right_u_turn,16.86,0,3.42
58,801782,0.1033,0.1676,1.0415,1.2687,-1.715,-30.8438,1000.9983,right_u_turn,16.92,0,3.48
59,801842,0.0747,0.3291,1.0861,2.4938,-0.4462,-30.8875,1000.9983,right_u_turn,16.98,0,3.54
60,801902,0.0376,0.2332,0.9806,-0.4288,-2.3888,-30.8875,1000.9902,right_u_turn,17.04,0,3.6
61,801962,0.1108,0.2142,1.0726,0.2362,0.2188,-29.75,1000.979,right_u_turn,17.1,0,3.66
62,802022,0.0112,0.2418,0.9396,-1.68,-2.1437,-30.5725,1000.9851,right_u_turn,17.16,0,3.72
63,802082,0.0156,0.2413,0.8947,-2.3712,-1.8813,-30.7825,1000.9897,right_u_turn,17.22,0,3.78
64,802142,0.0556,0.1586,0.9319,-1.505,-0.665,-30.1437,1000.9763,right_u_turn,17.28,0,3.84
65,802202,0.0373,0.1557,0.9435,-1.1375,1.0063,-30.38,1000.9812,right_u_turn,17.34,0,3.9
66,802262,0.0631,0.2137,0.9941,-0.5863,0.6913,-30.5112,1000.9871,right_u_turn,17.4,0,3.96
67,802322,0.0405,0.2089,0.9204,-0.2975,0.35,-30.485,1000.9885,right_u_turn,17.46,0,4.02
68,802382,0.0229,0.2233,1.0125,1.6625,2.625,-30.835,1000.9788,right_u_turn,17.52,0,4.08
69,802442,-0.0044,0.2301,0.8977,1.47,0.1312,-30.7738,1000.9897,right_u_turn,17.58,0,4.14
70,802502,0.0456,0.1511,1.0404,-0.1225,-0.4375,-30.5812,1000.9817,right_u_turn,17.64,0,4.2
71,802562,0.0303,0.1948,0.9818,-0.0525,-1.5925,-30.6338,1000.99,right_u_turn,17.7,0,4.26
72,802622,0.0368,0.1879,0.973,-0.5775,-1.7938,-30.7913,1000.9978,right_u_turn,17.76,0,4.32
73,802682,0.1103,0.1988,1.0585,0.9013,-1.7675,-30.7563,1000.9744,right_u_turn,17.82,0,4.38
74,802742,0.0734,0.2213,0.9692,0.4025,-1.4088,-31.5,1000.9761,right_u_turn,17.88,0,4.44
75,802802,0.0171,0.2714,0.9859,-0.0962,1.015,-30.8962,1000.9785,right_u_turn,17.94,0,4.5
76,802862,0.0602,0.1563,0.9848,-1.9512,-0.9275,-30.8,1000.979,right_u_turn,18.0,0,4.56
77,802922,0.0609,0.1879,1.018,-0.4988,-2.5988,-31.1063,1000.9912,right_u_turn,18.06,0,4.62
78,802982,0.0515,0.2471,1.0016,-0.63,0.735,-31.0625,1000.9861,right_u_turn,18.12,0,4.68
79,803042,0.052,0.2513,0.9755,-0.9275,0.6212,-31.6225,1000.9856,right_u_turn,18.18,0,4.74
80,803102,0.0617,0.2279,1.0334,0.9975,1.4612,-31.7887,1000.9722,right_u_turn,18.24,0,4.8
81,803162,0.0332,0.1788,0.9919,-0.7088,-0.0437,-32.0163,1000.9832,right_u_turn,18.3,0,4.86
82,803222,0.0049,0.194,0.9543,1.1287,0.8313,-32.0687,1000.9753,right_u_turn,18.36,0,4.92
83,803282,0.0846,0.202,1.0414,0.5863,-1.8375,-31.8762,1000.9919,right_u_turn,18.42,0,4.98
