,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_time_sec,segment_id
0,220022,-0.012,-0.052,1.0713,1.8637,0.7,-0.0262,1000.8159,smooth_decel,14.22,0.0,0
1,220082,-0.0203,-0.0088,0.9406,0.735,-1.5838,0.2013,1000.7939,smooth_decel,14.28,0.06,0
2,220142,0.0559,-0.0149,1.0565,0.4812,-1.6975,0.28,1000.8145,smooth_decel,14.34,0.12,0
3,220202,0.0398,-0.0132,1.0516,-0.2537,-0.6037,-0.2013,1000.8132,smooth_decel,14.4,0.18,0
4,220262,-0.0115,-0.0098,0.9586,2.6688,1.8288,0.3325,1000.8013,smooth_decel,14.46,0.24,0
5,220322,-0.0378,0.0115,0.8914,0.245,0.6037,0.0175,1000.7957,smooth_decel,14.52,0.3,0
6,220382,0.042,0.1014,0.9202,1.6712,0.245,0.0613,1000.8115,smooth_decel,14.58,0.36,0
7,220442,0.1692,0.0215,1.2159,-0.5163,-1.6712,0.0,1000.7998,smooth_decel,14.64,0.42,0
8,220502,0.1263,0.1134,1.0185,-1.5662,-2.7213,0.4288,1000.8047,smooth_decel,14.7,0.48,0
9,220562,0.0495,0.0165,0.9618,0.5337,-0.7613,0.7175,1000.8159,smooth_decel,14.76,0.54,0
10,220622,0.0889,0.0481,0.9387,-0.945,-2.5988,0.2013,1000.8022,smooth_decel,14.82,0.6,0
11,220682,0.017,-0.0756,0.8677,-0.5425,0.6562,0.2013,1000.8171,smooth_decel,14.88,0.66,0
12,220742,-0.0349,0.0715,0.7816,3.535,0.2537,0.0,1000.824,smooth_decel,14.94,0.72,0
13,220802,0.1521,0.0737,1.0865,0.315,0.6125,0.105,1000.8135,smooth_decel,15.0,0.78,0
14,220862,0.0447,-0.0846,0.927,1.8375,-2.765,0.28,1000.8213,smooth_decel,15.06,0.84,0
15,220922,-0.0492,-0.0068,0.6883,-2.9838,-1.015,0.3063,1000.8262,smooth_decel,15.12,0.9,0
16,220982,0.0085,0.0168,1.02,3.2812,4.2787,-0.0175,1000.8398,smooth_decel,15.18,0.96,0
17,221042,0.141,0.3262,1.1763,-1.2862,-3.3425,0.3938,1000.8215,smooth_decel,15.24,1.02,0
18,221102,0.0834,0.1344,0.9962,3.185,-3.3338,0.105,1000.8289,smooth_decel,15.3,1.08,0
19,221162,0.0002,0.1083,0.8893,-0.3675,-1.8637,-0.0787,1000.843,smooth_decel,15.36,1.14,0
20,221222,0.1324,0.1071,1.0774,-0.2013,1.7587,1.505,1000.8347,smooth_decel,15.42,1.2,0
21,221282,0.2912,0.0709,1.2565,0.0962,9.8612,-0.7437,1000.8503,smooth_decel,15.48,1.26,0
22,221342,-0.0198,0.0633,1.0723,0.2013,5.1712,-0.4288,1000.8232,smooth_decel,15.54,1.32,0
23,221402,-0.0003,0.0334,0.9712,-1.575,8.0675,-0.77,1000.8262,smooth_decel,15.6,1.38,0
24,221462,0.101,0.0645,1.0526,1.7587,1.9863,-0.0787,1000.8132,smooth_decel,15.66,1.44,0
25,221522,0.0352,0.0968,1.1963,-0.28,-0.4375,-0.3237,1000.8447,smooth_decel,15.72,1.5,0
26,221582,0.1017,0.0619,1.0735,-2.66,-2.695,-0.21,1000.854,smooth_decel,15.78,1.56,0
27,221642,0.0869,0.0312,0.9709,-0.2275,-5.5825,0.035,1000.8594,smooth_decel,15.84,1.62,0
28,221702,0.0209,-0.0626,0.8936,1.1025,-0.6037,-0.0088,1000.8516,smooth_decel,15.9,1.68,0
29,221762,0.0834,0.133,0.9311,1.6975,-2.8612,0.1663,1000.8503,smooth_decel,15.96,1.74,0
30,221822,0.0676,0.1788,0.9387,-1.3563,-0.2713,-0.1312,1000.8582,smooth_decel,16.02,1.8,0
31,221882,0.0461,0.0712,0.9497,-1.7675,-0.735,0.0962,1000.8723,smooth_decel,16.08,1.86,0
32,221942,0.0544,0.0976,1.0389,-1.6013,1.2162,0.5512,1000.8708,smooth_decel,16.14,1.92,0
33,222002,0.0879,-0.0147,0.8765,-0.595,-2.1437,0.4988,1000.8926,smooth_decel,16.2,1.98,0
34,222062,0.0922,0.0459,0.9988,-1.7763,0.4988,0.7962,1000.8708,smooth_decel,16.26,2.04,0
35,222122,0.1046,0.0138,1.1278,-0.8313,2.695,0.5075,1000.8726,smooth_decel,16.32,2.1,0
36,222182,-0.0237,0.0276,0.9223,-0.0787,1.12,0.4288,1000.8845,smooth_decel,16.38,2.16,0
37,222242,0.1283,-0.0469,1.0851,-0.6125,-1.3475,0.28,1000.8694,smooth_decel,16.44,2.22,0
38,222302,0.0783,0.0959,1.0161,3.2725,-0.28,-0.14,1000.8872,smooth_decel,16.5,2.28,0
