timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec
7682,0.02,0.0193,0.9877,0.1138,0.0525,0.2188,996.1226,stationary,0.0
7742,0.0227,0.0229,0.9945,0.21,0.1838,0.1838,996.1252,stationary,0.06
7802,0.0193,0.0157,0.9946,0.175,0.14,0.2188,996.1086,stationary,0.12
7862,0.0161,0.0193,0.9917,0.1838,0.2975,0.1488,996.1204,stationary,0.18
7922,0.0198,0.0156,0.9917,0.2362,0.1138,0.1925,996.1296,stationary,0.24
7982,0.0204,0.0159,0.9945,0.2275,0.0613,0.175,996.1172,stationary,0.3
8042,0.0232,0.0231,0.9983,0.3325,0.105,0.1838,996.1155,stationary,0.36
8102,0.0179,0.0151,0.9974,0.3675,0.1663,0.1575,996.1121,stationary,0.42
8162,0.0192,0.0229,0.9984,0.2188,0.07,0.175,996.1235,stationary,0.48
8222,0.0236,0.017,0.9941,0.3325,0.0613,0.1575,996.1228,stationary,0.54
8282,0.0188,0.0151,0.9945,0.0088,-0.0088,0.1575,996.1167,stationary,0.6
8342,0.0246,0.0224,0.995,0.2275,-0.0962,0.1488,996.1201,stationary,0.66
8402,0.022,0.0146,0.9965,0.3063,0.1138,0.2275,996.1028,stationary,0.72
8462,0.0207,0.0198,0.9922,0.0437,0.0,0.175,996.1155,stationary,0.78
8522,0.0264,0.0197,0.9973,0.2275,-0.0787,0.2188,996.125,stationary,0.84
8582,0.0237,0.02,0.9958,0.2975,0.0787,0.2275,996.1089,stationary,0.9
8642,0.0184,0.0205,0.996,0.2625,0.3237,0.1138,996.1223,stationary,0.96
8702,0.0178,0.0173,0.9923,0.2362,0.21,0.2013,996.1243,stationary,1.02
8762,0.0136,0.0203,0.9892,0.1312,0.0088,0.1925,996.1238,stationary,1.08
8822,0.0183,0.0163,0.9935,0.2537,0.1488,0.1488,996.1213,stationary,1.14
8882,0.02,0.0068,0.9953,0.245,0.1663,0.21,996.1194,stationary,1.2
8942,0.0182,0.0215,0.9977,0.14,0.21,0.1575,996.1162,stationary,1.26
9002,0.0168,0.0218,0.9936,0.2887,0.0875,0.21,996.1284,stationary,1.32
9062,0.0198,0.0203,0.9923,0.1488,0.0088,0.1312,996.124,stationary,1.38
9122,0.0228,0.017,0.9946,0.3237,-0.0262,0.2275,996.1187,stationary,1.44
9182,0.0162,0.0163,0.9918,0.0088,0.3675,0.1575,996.1243,stationary,1.5
9242,0.0184,0.0278,0.9844,0.1663,0.0613,0.2013,996.1238,stationary,1.56
9302,0.0212,0.0182,0.9968,0.315,-0.0262,0.2013,996.1235,stationary,1.62
9362,0.0251,0.0171,0.9901,0.1925,0.0175,0.21,996.1284,stationary,1.68
9422,0.0224,0.0203,0.9938,0.1488,0.2275,0.1138,996.1189,stationary,1.74
9482,0.0156,0.0137,0.9813,0.1488,0.3237,0.175,996.1255,stationary,1.8
9542,0.0193,0.0198,0.9914,0.3063,0.2975,0.2713,996.1321,stationary,1.86
9602,0.0179,0.0193,0.9959,0.3237,0.14,0.21,996.1318,stationary,1.92
9662,0.0184,0.0186,0.9977,0.1838,0.1663,0.1663,996.1199,stationary,1.98
9722,0.0215,0.0231,0.9985,0.3762,0.21,0.1488,996.1201,stationary,2.04
9782,0.0182,0.0141,0.9923,0.14,0.175,0.2013,996.1196,stationary,2.1
9842,0.0195,0.0203,0.988,0.0962,0.0613,0.1838,996.1211,stationary,2.16
9902,0.022,0.022,0.9908,0.175,-0.1312,0.1312,996.1199,stationary,2.22
9962,0.0212,0.012,1.0424,0.4988,-0.2275,0.1838,996.1287,stationary,2.28
10022,0.0281,0.0219,1.0321,0.6737,0.3237,0.1663,996.1277,stationary,2.34
10082,0.0251,0.0193,0.9969,0.2625,0.0962,0.21,996.1316,stationary,2.4
10142,0.01,0.0227,1.0008,0.3413,0.1663,0.14,996.1304,stationary,2.46
10202,0.0215,0.0222,0.9906,0.0875,-0.035,0.2362,996.1328,stationary,2.52
10262,0.0118,0.022,0.9707,0.1488,0.315,0.1575,996.1228,stationary,2.58
10322,0.0163,0.0171,0.9972,0.3237,0.2625,0.1925,996.1213,stationary,2.64
10382,0.0234,0.0187,0.9963,0.3675,0.2188,0.1838,996.123,stationary,2.7
10442,0.0186,0.0217,0.9984,0.4375,0.0088,0.21,996.1235,stationary,2.76
10502,0.0204,0.0187,0.9926,0.245,0.0525,0.14,996.1289,stationary,2.82
10562,0.0183,0.0113,0.9961,0.2013,-0.0262,0.2625,996.1304,stationary,2.88
10622,0.0185,0.0207,0.9919,0.2713,0.0088,0.175,996.1309,stationary,2.94
10682,0.0256,0.0168,0.992,0.175,-0.0088,0.1838,996.127,stationary,3.0
10742,0.021,0.0173,0.9935,0.0787,0.035,0.1925,996.1252,stationary,3.06
10802,0.0171,0.0203,0.9922,0.3063,0.21,0.2275,996.1248,stationary,3.12
10862,0.0195,0.0101,0.9948,0.2625,0.2537,0.21,996.1316,stationary,3.18
10922,0.0119,0.0163,0.9903,0.2362,-0.0437,0.2625,996.1301,stationary,3.24
10982,0.0236,0.0237,0.9973,0.4288,-0.1138,0.1663,996.1353,stationary,3.3
11042,0.0229,0.0176,0.9994,-0.0175,0.0613,0.1488,996.1262,stationary,3.36
11102,0.0207,0.0254,0.9897,0.2362,-0.035,0.0613,996.1243,stationary,3.42
11162,0.019,0.0085,0.9913,0.0613,-0.0088,0.1663,996.1272,stationary,3.48
11222,0.0135,0.0251,0.9862,0.1225,-0.1138,0.0962,996.1218,stationary,3.54
11282,0.0284,0.0234,1.0011,0.1138,-0.0175,0.1575,996.1313,stationary,3.6
11342,0.0251,0.017,0.9964,0.0437,-0.21,0.2013,996.1318,stationary,3.66
11402,0.0215,0.0145,0.9935,0.0875,0.2713,0.1663,996.1323,stationary,3.72
11462,0.0204,0.0142,0.9936,0.3762,0.2013,0.1838,996.136,stationary,3.78
11522,0.0168,0.0127,0.9906,0.1575,0.0525,0.2975,996.1362,stationary,3.84
11582,0.0176,0.022,1.0009,0.105,0.315,0.0962,996.1511,stationary,3.9
11642,0.0241,0.0163,0.9948,0.3675,0.0613,0.1925,996.1377,stationary,3.96
11702,0.0224,0.0226,0.9867,0.105,0.0088,0.21,996.1362,stationary,4.02
11762,0.0217,0.0134,0.9884,0.0175,-0.0088,0.1663,996.1372,stationary,4.08
11822,0.0204,0.0156,0.9874,0.07,-0.0437,0.21,996.1299,stationary,4.14
11882,0.0266,0.0153,1.0009,0.2013,0.2275,0.21,996.1365,stationary,4.2
11942,0.0229,0.0242,0.9953,0.2713,0.035,0.2537,996.1338,stationary,4.26
12002,0.0185,0.0193,0.9903,0.0787,0.2188,0.1838,996.1404,stationary,4.32
12062,0.0178,0.0186,0.9985,0.4375,0.2713,0.2013,996.135,stationary,4.38
12122,0.0183,0.0132,0.9938,0.1663,-0.0088,0.1663,996.1458,stationary,4.44
12182,0.0222,0.0191,1.0021,0.2625,0.28,0.175,996.1455,stationary,4.5
12242,0.0181,0.0152,0.9938,0.3675,0.175,0.2537,996.145,stationary,4.56
12302,0.0175,0.0205,0.9892,0.1138,-0.105,0.1138,996.1433,stationary,4.62
12362,0.0229,0.0222,0.9919,0.2625,-0.14,0.0787,996.1453,stationary,4.68
12422,0.0213,0.0164,0.9965,0.14,0.035,0.2537,996.1497,stationary,4.74
12482,0.026,0.0257,0.9989,0.3237,0.1663,0.1838,996.1438,stationary,4.8
12542,0.0188,0.0202,0.9942,0.2362,0.0437,0.1925,996.1472,stationary,4.86
12602,0.0142,0.0157,0.9892,0.0787,0.0175,0.1225,996.144,stationary,4.92
12662,0.0227,0.0203,0.9948,0.2537,0.0088,0.1488,996.155,stationary,4.98
12722,0.0219,0.0129,0.9992,0.21,0.1838,0.1575,996.1511,stationary,5.04
12782,0.0217,0.0242,0.9973,0.3325,0.0525,0.1225,996.1567,stationary,5.1
12842,0.0225,0.0148,0.9997,0.2975,0.0088,0.1925,996.1338,stationary,5.16
12902,0.0198,0.0156,0.9861,0.0962,-0.14,0.2188,996.1577,stationary,5.22
12962,0.024,0.021,0.9938,0.2275,-0.0437,0.2013,996.1538,stationary,5.28
13022,0.0239,0.0129,1.0026,0.3938,0.07,0.1225,996.1479,stationary,5.34
13082,0.0198,0.0224,0.9969,0.245,0.0613,0.1312,996.1511,stationary,5.4
13142,0.022,0.0206,1.0019,0.2625,0.14,0.1138,996.146,stationary,5.46
13202,0.0178,0.0173,0.9919,0.0875,0.105,0.2275,996.1477,stationary,5.52
13262,0.0185,0.0241,0.998,0.3587,0.2188,0.2275,996.1511,stationary,5.58
13322,0.0159,0.0129,0.999,0.3762,0.1138,0.245,996.1643,stationary,5.64
13382,0.0191,0.0203,0.995,0.2362,-0.035,0.1663,996.1465,stationary,5.7
