index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec
0,1969082,0.0154,0.0156,0.9931,0.1838,-0.1138,0.1663,1000.6179,weave,0.0
1,1969142,0.0195,0.0175,0.9948,0.28,0.0,0.2013,1000.6165,weave,0.06
2,1969202,0.0176,0.0171,0.992,0.21,0.0437,0.175,1000.6169,weave,0.12
3,1969262,0.0185,0.0151,0.9941,0.1663,0.035,0.1138,1000.6157,weave,0.18
4,1969322,0.0198,0.0178,0.993,0.1488,0.035,0.175,1000.6294,weave,0.24
5,1969382,0.0187,0.018,0.9914,0.3325,0.1225,0.1575,1000.6228,weave,0.3
6,1969442,0.0181,0.0143,0.9938,0.2013,0.0962,0.1488,1000.6216,weave,0.36
7,1969502,0.0178,0.0151,0.9958,0.245,0.0613,0.14,1000.6182,weave,0.42
8,1969562,0.0326,0.0301,1.0192,0.7,0.28,0.2537,1000.6157,weave,0.48
9,1969622,0.0161,-0.0016,0.9866,0.4375,0.1138,0.28,1000.6199,weave,0.54
10,1969682,0.0151,0.0065,0.9905,0.315,0.21,0.14,1000.6218,weave,0.6
11,1969742,0.0154,0.0181,0.998,0.28,0.315,0.1925,1000.624,weave,0.66
12,1969802,0.0146,0.0124,0.9919,0.2188,-0.14,0.1488,1000.6221,weave,0.72
13,1969862,0.0188,0.0207,0.9987,0.3938,0.2188,0.1312,1000.626,weave,0.78
14,1969922,0.0176,0.0159,1.0053,0.2625,0.0525,0.1663,1000.6284,weave,0.84
15,1969982,0.0154,0.0267,1.0014,0.3063,0.21,0.175,1000.6179,weave,0.9
16,1970042,0.0307,0.0002,1.0089,0.4988,-0.0088,0.1925,1000.6147,weave,0.96
17,1970102,0.0285,0.0305,0.9621,0.0875,-0.0875,0.1663,1000.6182,weave,1.02
18,1970162,0.0158,0.0432,0.9999,-0.1138,0.0088,0.0088,1000.6116,weave,1.08
19,1970222,-0.0005,0.0078,0.9414,-0.6475,1.5312,0.21,1000.615,weave,1.14
20,1970282,0.0163,0.0154,0.9973,0.28,0.0962,0.21,1000.6189,weave,1.2
21,1970342,0.0173,0.0134,0.9926,0.1663,0.0525,0.1488,1000.6165,weave,1.26
22,1970402,0.0205,0.0193,0.9927,0.2625,0.0525,0.1838,1000.6079,weave,1.32
23,1970462,0.0208,0.0142,0.9942,-0.0088,0.2013,0.1925,1000.6174,weave,1.38
