,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_time_sec,segment_id
0,947222,0.1462,0.0947,1.1147,-0.07,2.7825,0.5775,1000.3127,hard_decel,8.88,0.0,0
1,947282,0.0197,0.0947,0.8555,0.9625,-4.48,-0.3063,1000.3418,hard_decel,8.94,0.06,0
2,947342,0.0215,0.0998,0.9399,2.6512,-1.4787,-0.14,1000.3313,hard_decel,9.0,0.12,0
3,947402,0.2025,0.0578,1.0124,-1.5488,12.3375,1.1638,1000.3381,hard_decel,9.06,0.18,0
4,947462,0.1771,0.0461,1.2015,0.2013,-7.0788,2.0563,1000.375,hard_decel,9.12,0.24,0
5,947522,0.4097,0.1403,1.4445,-0.7962,18.2262,1.4612,1000.3262,hard_decel,9.18,0.3,0
6,947582,0.1349,0.0529,0.8319,-2.17,-6.1687,0.0962,1000.4121,hard_decel,9.24,0.36,0
7,947642,0.3925,-0.0647,1.0934,-5.1625,-12.2063,4.9963,1000.3828,hard_decel,9.3,0.42,0
8,947702,0.4016,0.2483,1.208,-0.8138,-2.4413,0.0613,1000.5649,hard_decel,9.36,0.48,0
9,947762,0.3096,-0.0452,1.058,4.41,4.5763,1.0938,1000.491,hard_decel,9.42,0.54,0
10,947822,0.3431,-0.0428,0.719,-0.9275,0.455,4.025,1000.5498,hard_decel,9.48,0.6,0
11,947882,0.3451,0.1121,1.0452,-0.8838,-6.4138,-0.14,1000.5574,hard_decel,9.54,0.66,0
12,947942,0.2799,-0.0196,1.0775,-0.4288,-3.4388,0.5863,1000.5452,hard_decel,9.6,0.72,0
13,948002,0.3289,0.0106,0.6664,3.2025,-0.6737,-0.4638,1000.5752,hard_decel,9.66,0.78,0
14,948062,0.5619,0.0049,1.1874,-0.8575,-3.1937,1.47,1000.6089,hard_decel,9.72,0.84,0
15,948122,0.5735,-0.1308,1.1734,4.095,1.9075,0.9538,1000.6699,hard_decel,9.78,0.9,0
16,948182,0.4568,0.0243,0.9576,-0.1138,0.35,0.6475,1000.6372,hard_decel,9.84,0.96,0
17,948242,0.4246,-0.0622,0.9326,0.42,0.1138,1.2337,1000.6648,hard_decel,9.9,1.02,0
18,948302,0.3961,0.0769,0.8963,0.7437,-2.59,0.7875,1000.6963,hard_decel,9.96,1.08,0
19,948362,0.2771,0.2023,0.8513,0.98,0.2887,0.7962,1000.6719,hard_decel,10.02,1.14,0
20,948422,0.4377,-0.0617,1.076,-4.3925,-2.3625,1.7675,1000.7029,hard_decel,10.08,1.2,0
21,948482,0.4841,-0.0149,1.0759,2.7037,2.8525,0.7437,1000.7026,hard_decel,10.14,1.26,0
22,948542,0.4524,0.106,1.0412,2.8438,3.8412,-0.1225,1000.793,hard_decel,10.2,1.32,0
23,948602,0.4314,-0.0289,1.0019,-7.1575,-5.915,0.2713,1000.7729,hard_decel,10.26,1.38,0
24,948662,0.5197,-0.1173,1.0006,2.975,-1.0237,0.9362,1000.7986,hard_decel,10.32,1.44,0
25,948722,0.4316,0.0762,0.9548,3.6837,2.1175,0.14,1000.7947,hard_decel,10.38,1.5,0
26,948782,0.3938,0.1195,1.089,-0.3675,-1.68,0.4375,1000.8823,hard_decel,10.44,1.56,0
27,948842,0.3719,-0.1166,0.8904,-0.4725,-4.8212,0.9275,1000.9636,hard_decel,10.5,1.62,0
28,948902,0.4055,0.1539,1.1112,-0.3237,-4.3837,0.665,1000.9343,hard_decel,10.56,1.68,0
29,948962,0.5006,0.0278,0.9723,2.4325,-1.155,0.2625,1000.9788,hard_decel,10.62,1.74,0
30,949022,0.5742,0.1124,1.1988,2.1525,-1.015,0.455,1000.9604,hard_decel,10.68,1.8,0
31,949082,0.6288,-0.0939,1.1711,-3.3338,3.955,0.4288,1000.9421,hard_decel,10.74,1.86,0
32,949142,0.3271,-0.0344,0.7125,1.3737,0.9712,-0.3938,1000.9519,hard_decel,10.8,1.92,0
33,949202,0.4329,0.0571,1.023,6.6762,3.0363,-0.2625,1000.9661,hard_decel,10.86,1.98,0
34,949262,0.4524,-0.1221,0.9321,-3.0625,2.2137,1.1988,1000.9871,hard_decel,10.92,2.04,0
35,949322,0.521,0.1118,1.0562,4.1475,-2.0125,0.3413,1001.0393,hard_decel,10.98,2.1,0
36,949382,0.3675,0.1194,0.9428,5.2325,0.3237,-0.735,1001.0022,hard_decel,11.04,2.16,0
37,949442,0.476,0.0473,0.911,0.1838,-5.9763,0.1488,1001.0972,hard_decel,11.1,2.22,0
38,949502,0.4175,-0.0703,0.8221,0.665,2.2487,0.1488,1001.0396,hard_decel,11.16,2.28,0
39,949562,0.5258,0.1273,1.1537,1.4525,-6.3962,-0.3762,1001.1472,hard_decel,11.22,2.34,0
