index,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec
0,4320062,0.092,0.0034,0.9968,0.9538,-1.9688,-0.0175,996.9973,smooth_constant_speed,0.0
1,4320122,0.0074,-0.1227,1.0275,0.1838,-0.98,0.875,996.9263,smooth_constant_speed,0.06
2,4320182,0.0485,0.0647,1.046,0.4638,0.525,-0.035,996.9165,smooth_constant_speed,0.12
3,4320242,0.0371,-0.0698,1.0002,1.3038,-0.6388,0.0525,996.9497,smooth_constant_speed,0.18
4,4320302,0.01,-0.0779,1.0738,0.805,-1.3125,1.4088,996.9185,smooth_constant_speed,0.24
5,4320362,0.0605,0.0744,1.1625,0.735,-1.645,0.3325,997.0293,smooth_constant_speed,0.3
6,4320422,0.0168,-0.0052,0.9685,1.4262,1.3212,-0.1138,997.051,smooth_constant_speed,0.36
7,4320482,0.0342,-0.0614,0.8768,-0.5688,-2.1175,0.7437,997.0015,smooth_constant_speed,0.42
8,4320542,-0.0167,0.0142,0.9065,-1.7763,-0.9625,0.49,996.9766,smooth_constant_speed,0.48
9,4320602,0.0492,-0.0422,1.1682,2.1613,0.3325,-0.0175,996.9275,smooth_constant_speed,0.54
10,4320662,0.071,0.0076,1.0343,0.5863,-3.3863,1.1725,996.938,smooth_constant_speed,0.6
11,4320722,0.0253,0.0481,1.0038,-0.7262,-0.5075,0.35,996.9578,smooth_constant_speed,0.66
12,4320782,0.0368,-0.0247,1.0912,1.995,2.7475,-0.21,996.9006,smooth_constant_speed,0.72
13,4320842,0.0306,-0.0795,0.9929,0.8138,-0.385,0.6475,996.8923,smooth_constant_speed,0.78
14,4320902,-0.0229,0.0346,0.9631,0.3938,-0.42,0.7088,996.9299,smooth_constant_speed,0.84
15,4320962,0.022,-0.0078,0.9701,1.6013,-3.3863,0.21,996.8125,smooth_constant_speed,0.9
16,4321022,0.0564,-0.0045,1.0511,0.3762,-0.2275,0.735,996.7542,smooth_constant_speed,0.96
17,4321082,-0.0403,-0.0117,0.8526,-1.3913,2.6337,0.455,996.8296,smooth_constant_speed,1.02
18,4321142,-0.0354,-0.0146,0.8644,0.4025,0.63,-0.1312,996.731,smooth_constant_speed,1.08
19,4321202,0.0239,-0.0483,0.9587,2.3975,-0.8313,0.5163,996.6548,smooth_constant_speed,1.14
20,4321262,-0.0161,-0.0319,1.0334,-0.9712,-0.525,0.6475,996.667,smooth_constant_speed,1.2
21,4321322,0.0415,0.0414,1.0548,2.6163,2.3187,0.07,996.6753,smooth_constant_speed,1.26
22,4321382,0.019,-0.0786,0.8147,-1.0588,-1.155,0.3762,996.7029,smooth_constant_speed,1.32
23,4321442,-0.0349,0.0344,0.9223,-3.3163,-2.2925,0.4025,996.7852,smooth_constant_speed,1.38
24,4321502,-0.0227,-0.0242,0.8433,1.7325,-3.01,0.35,996.8391,smooth_constant_speed,1.44
25,4321562,0.0281,0.0625,1.1239,1.3475,-1.8987,0.4112,996.8384,smooth_constant_speed,1.5
26,4321622,0.0254,0.0126,1.0915,-0.6125,2.66,0.5775,996.6628,smooth_constant_speed,1.56
27,4321682,0.0876,0.0049,1.1502,1.9338,3.0625,-0.2013,996.5796,smooth_constant_speed,1.62
28,4321742,0.0224,-0.0489,0.9614,0.4638,-1.47,0.2362,996.5823,smooth_constant_speed,1.68
29,4321802,-0.0739,-0.088,0.8447,-1.0938,0.5863,0.7613,996.6829,smooth_constant_speed,1.74
30,4321862,-0.0051,0.0844,0.8227,1.4963,-0.91,-0.5425,996.6887,smooth_constant_speed,1.8
31,4321922,0.1003,0.012,1.1059,1.1988,-1.2075,-0.14,996.5942,smooth_constant_speed,1.86
32,4321982,0.0154,-0.0405,1.0624,0.7525,3.045,0.3325,996.5505,smooth_constant_speed,1.92
33,4322042,0.0483,0.1408,1.1019,-1.0412,2.135,-0.6125,996.6033,smooth_constant_speed,1.98
34,4322102,0.0527,-0.0398,0.9521,-0.14,-1.1113,-0.0525,996.5935,smooth_constant_speed,2.04
35,4322162,0.0051,-0.0183,0.953,-0.63,-0.595,0.28,996.5715,smooth_constant_speed,2.1
36,4322222,0.0864,0.1318,1.3581,-0.0437,1.8637,-0.4025,996.5925,smooth_constant_speed,2.16
37,4322282,0.0148,0.0459,0.9823,0.1663,2.6775,-0.7175,996.6853,smooth_constant_speed,2.22
38,4322342,-0.0669,-0.061,0.8571,-0.7,1.4,0.42,996.8174,smooth_constant_speed,2.28
39,4322402,0.0202,0.0486,0.9301,0.5775,-1.365,-0.3063,996.8364,smooth_constant_speed,2.34
40,4322462,0.0825,-0.0005,1.0982,0.7613,0.07,-0.1838,996.8364,smooth_constant_speed,2.4
41,4322522,0.0478,-0.0874,1.0595,0.1138,-0.42,0.455,996.9075,smooth_constant_speed,2.46
42,4322582,0.0085,0.0622,1.0289,-0.0088,0.4988,0.0613,996.8655,smooth_constant_speed,2.52
43,4322642,-0.0356,-0.0384,0.8315,1.225,-1.6625,-0.245,996.8445,smooth_constant_speed,2.58
44,4322702,-0.041,-0.014,0.7964,0.0175,-2.8612,0.2625,996.8174,smooth_constant_speed,2.64
45,4322762,-0.0359,0.0344,0.7952,-1.3038,-1.6888,0.3938,996.7642,smooth_constant_speed,2.7
46,4322822,0.0278,0.0411,1.0068,1.7237,-4.6375,-0.3587,996.7153,smooth_constant_speed,2.76
47,4322882,0.0833,-0.0512,1.1303,-0.7262,0.07,0.2537,996.6843,smooth_constant_speed,2.82
48,4322942,0.0224,0.0414,1.0416,-1.015,4.095,0.0875,996.6787,smooth_constant_speed,2.88
49,4323002,0.0083,0.041,0.9428,-0.6562,-1.6363,-0.3938,996.6721,smooth_constant_speed,2.94
50,4323062,0.05,-0.0437,1.0424,-0.07,-1.7587,-0.0437,996.6338,smooth_constant_speed,3.0
51,4323122,0.055,-0.0002,1.3039,1.435,1.4,0.2975,996.6394,smooth_constant_speed,3.06
52,4323182,0.0332,0.0636,1.1031,1.82,0.4375,-0.7,996.6704,smooth_constant_speed,3.12
53,4323242,0.0529,-0.0969,1.0968,1.785,-0.4288,0.2013,996.6597,smooth_constant_speed,3.18
54,4323302,-0.0303,0.0059,0.9263,-0.9538,-0.6212,0.1138,996.7285,smooth_constant_speed,3.24
55,4323362,0.001,0.0613,0.9236,1.4787,-2.1875,-0.0875,996.6331,smooth_constant_speed,3.3
56,4323422,0.0459,-0.0027,1.0108,1.47,-0.175,0.14,996.582,smooth_constant_speed,3.36
57,4323482,0.0112,-0.02,1.1322,-0.3938,1.785,0.4638,996.5737,smooth_constant_speed,3.42
58,4323542,0.0798,0.0649,1.0968,2.0387,1.715,-0.3675,996.5371,smooth_constant_speed,3.48
59,4323602,0.0295,-0.0611,0.9961,0.8487,-0.2362,0.0875,996.6389,smooth_constant_speed,3.54
60,4323662,-0.022,-0.02,1.0005,0.1838,1.9075,0.3938,996.6812,smooth_constant_speed,3.6
