timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
1224122,0.0027,0.0165,0.9942,0.2013,0.3587,0.2275,1001.0576,ctr_clockwise_circle
1224182,0.0059,0.0350,0.9918,0.3587,0.0175,0.2362,1001.0608,ctr_clockwise_circle
1224242,0.0104,0.0218,0.9963,0.1050,0.1400,0.1925,1001.0505,ctr_clockwise_circle
1224302,0.0081,0.0276,0.9970,0.2800,0.1925,0.2800,1001.0549,ctr_clockwise_circle
1224362,0.0154,0.0259,1.0097,0.2887,0.2887,0.3325,1001.0559,ctr_clockwise_circle
1224422,0.0029,0.0437,0.9965,0.1663,0.3237,0.2100,1001.0576,ctr_clockwise_circle
1224482,0.0085,0.0129,1.0020,-0.2537,0.1138,0.2188,1001.0569,ctr_clockwise_circle
1224542,0.0074,0.0251,0.9853,0.0262,0.1838,0.2625,1001.0564,ctr_clockwise_circle
1224602,0.0142,0.0246,0.9994,0.1488,0.0613,0.2537,1001.0513,ctr_clockwise_circle
1224662,0.0036,0.0200,0.9796,0.1575,0.0613,0.2275,1001.0535,ctr_clockwise_circle
1224722,0.0117,0.0224,0.9960,0.2275,0.0962,0.2275,1001.0591,ctr_clockwise_circle
1224782,-0.0007,0.0283,0.9946,0.0613,0.1312,0.2887,1001.0503,ctr_clockwise_circle
1224842,-0.0217,0.0101,0.9401,-0.1488,0.2625,0.2625,1001.0435,ctr_clockwise_circle
1224902,0.0249,0.0384,1.0001,0.2362,0.2188,0.2975,1001.0479,ctr_clockwise_circle
1224962,-0.0284,0.0193,0.9845,0.2537,0.2625,0.3500,1001.0576,ctr_clockwise_circle
1225022,-0.0275,0.0203,1.0028,0.0962,0.6562,0.3938,1001.0581,ctr_clockwise_circle
1225082,-0.0442,0.0301,0.9988,0.0875,0.6825,0.3938,1001.0535,ctr_clockwise_circle
1225142,-0.0637,0.0279,1.0023,0.0962,0.4550,0.4812,1001.0508,ctr_clockwise_circle
1225202,-0.0611,0.0365,0.9988,0.3150,0.4900,0.3850,1001.0632,ctr_clockwise_circle
1225262,-0.0659,0.0226,0.9940,0.2975,0.2188,0.4638,1001.0574,ctr_clockwise_circle
1225322,-0.0581,0.0285,0.9925,0.0525,0.1575,0.6737,1001.0608,ctr_clockwise_circle
1225382,-0.0650,0.0214,0.9928,0.0962,0.1663,0.8225,1001.0654,ctr_clockwise_circle
1225442,-0.0766,0.0183,0.9878,0.1488,0.1925,1.0412,1001.0515,ctr_clockwise_circle
1225502,-0.0852,0.0229,0.9899,0.1400,0.2100,1.1638,1001.0532,ctr_clockwise_circle
1225562,-0.1093,0.0092,0.9911,-0.2537,0.4025,1.6275,1001.0535,ctr_clockwise_circle
1225622,-0.1349,0.0202,0.9887,0.4200,0.8225,1.9250,1001.0542,ctr_clockwise_circle
1225682,-0.1189,0.0281,0.9994,0.1575,0.7613,2.0912,1001.0503,ctr_clockwise_circle
1225742,-0.1252,0.0102,0.9909,0.1138,0.6037,2.2838,1001.0547,ctr_clockwise_circle
1225802,-0.1254,0.0166,1.0067,0.3325,0.1750,2.6862,1001.0537,ctr_clockwise_circle
1225862,-0.1389,0.0110,1.0038,0.0525,0.5512,3.1412,1001.0574,ctr_clockwise_circle
1225922,-0.1532,0.0120,0.9989,0.1750,0.5950,3.5700,1001.0569,ctr_clockwise_circle
1225982,-0.1491,0.0141,0.9792,0.1925,0.0088,3.7887,1001.0527,ctr_clockwise_circle
1226042,-0.1483,0.0120,1.0063,0.3500,0.5863,4.1737,1001.0557,ctr_clockwise_circle
1226102,-0.1535,0.0198,0.9869,-0.0875,0.6300,4.4625,1001.0613,ctr_clockwise_circle
1226162,-0.1541,-0.0058,0.9697,0.3237,0.4200,4.8562,1001.0549,ctr_clockwise_circle
1226222,-0.1318,-0.0019,0.9919,-0.3500,0.2100,5.4862,1001.0547,ctr_clockwise_circle
1226282,-0.1464,-0.0109,0.9765,0.0262,0.2800,5.9938,1001.0654,ctr_clockwise_circle
1226342,-0.1430,-0.0083,0.9912,-0.2800,0.6037,6.5188,1001.0452,ctr_clockwise_circle
1226402,-0.1596,-0.0056,0.9691,-0.0875,0.7088,7.0262,1001.0535,ctr_clockwise_circle
1226462,-0.1405,-0.0339,1.0006,0.3675,0.6125,7.8225,1001.0562,ctr_clockwise_circle
1226522,-0.1413,-0.0008,0.9902,-0.3850,0.1575,8.2513,1001.0588,ctr_clockwise_circle
1226582,-0.1166,-0.0487,1.0020,-0.2188,-0.6650,9.0300,1001.0630,ctr_clockwise_circle
1226642,-0.1337,-0.0222,1.0063,-0.2013,0.0700,9.5463,1001.0500,ctr_clockwise_circle
1226702,-0.1322,-0.0020,0.9923,-0.7262,-0.1663,10.1325,1001.0579,ctr_clockwise_circle
1226762,-0.1093,-0.0458,0.9927,0.3500,-0.0525,10.8325,1001.0393,ctr_clockwise_circle
1226822,-0.1164,-0.0620,1.0000,-0.2013,-0.4025,11.3138,1001.0403,ctr_clockwise_circle
1226882,-0.1032,-0.0491,0.9997,-0.9975,0.0787,12.4688,1001.0557,ctr_clockwise_circle
1226942,-0.0949,-0.0495,0.9887,-0.0262,-0.0700,13.2388,1001.0513,ctr_clockwise_circle
1227002,-0.0996,-0.0800,0.9742,0.1488,-1.0150,14.0175,1001.0605,ctr_clockwise_circle
1227062,-0.0971,-0.0598,0.9826,1.1200,-0.3063,14.4113,1001.0439,ctr_clockwise_circle
1227122,-0.0601,-0.0481,1.0285,0.1050,0.2713,14.7262,1001.0461,ctr_clockwise_circle
1227182,-0.0579,-0.0532,1.0402,0.7437,-0.8838,14.8925,1001.0491,ctr_clockwise_circle
1227242,-0.0710,-0.0649,1.0077,-0.5337,0.9538,15.1812,1001.0427,ctr_clockwise_circle
1227302,-0.0705,-0.0468,1.0168,-0.5688,0.4025,15.4087,1001.0378,ctr_clockwise_circle
1227362,-0.0461,-0.0881,1.0324,0.1925,0.4288,16.1262,1001.0520,ctr_clockwise_circle
1227422,-0.0497,-0.0839,0.9869,-1.1287,-0.2887,16.7563,1001.0332,ctr_clockwise_circle
1227482,-0.0547,-0.0632,0.9306,-0.5425,-0.4812,16.7913,1001.0322,ctr_clockwise_circle
1227542,-0.0527,-0.1174,1.0216,0.4900,-0.1750,16.6688,1001.0430,ctr_clockwise_circle
1227602,-0.0419,-0.0647,0.9736,-0.1050,-0.5950,17.1150,1001.0369,ctr_clockwise_circle
1227662,-0.0686,-0.0439,0.9762,-0.3762,0.3675,17.1588,1001.0315,ctr_clockwise_circle
1227722,-0.0811,-0.1359,0.9634,-0.8750,0.1575,17.3250,1001.0234,ctr_clockwise_circle
1227782,-0.0533,-0.0708,0.9680,-0.5250,0.0175,17.5875,1001.0293,ctr_clockwise_circle
1227842,-0.0615,-0.0715,0.9894,-0.1925,0.6913,17.6138,1001.0332,ctr_clockwise_circle
1227902,-0.0540,-0.1084,0.9626,-1.0063,-0.1050,18.1737,1001.0195,ctr_clockwise_circle
1227962,-0.0836,-0.0925,0.9224,-1.0412,1.0150,17.9900,1001.0278,ctr_clockwise_circle
1228022,-0.1017,-0.1401,0.9504,0.5075,0.2537,18.3925,1001.0293,ctr_clockwise_circle
1228082,-0.0318,-0.0944,1.0287,0.8313,0.7088,18.3400,1001.0300,ctr_clockwise_circle
1228142,-0.0403,-0.1167,1.0202,1.2075,0.9625,18.7775,1001.0256,ctr_clockwise_circle
1228202,-0.0722,-0.1138,0.9202,1.2950,0.0088,19.0312,1001.0276,ctr_clockwise_circle
1228262,-0.0541,-0.0937,1.0216,1.3388,1.5575,19.3288,1001.0127,ctr_clockwise_circle
1228322,-0.0410,-0.0938,1.0219,0.2100,-0.1050,19.4775,1001.0295,ctr_clockwise_circle
1228382,-0.0264,-0.0746,1.0207,1.4175,-0.5950,19.7138,1001.0220,ctr_clockwise_circle
1228442,-0.0908,-0.1072,0.9707,0.1750,-1.0412,19.8188,1001.0159,ctr_clockwise_circle
1228502,-0.0431,-0.1132,1.0351,1.1463,0.0000,19.4425,1001.0056,ctr_clockwise_circle
1228562,-0.0583,-0.0490,1.0814,0.8750,0.1225,19.4950,1001.0120,ctr_clockwise_circle
1228622,-0.0711,-0.0548,0.9858,-0.4288,0.4375,19.1100,1001.0193,ctr_clockwise_circle
1228682,-0.0012,-0.0771,1.0963,-1.5750,0.5512,19.4250,1001.0022,ctr_clockwise_circle
1228742,-0.0885,-0.1574,0.8865,-1.6275,-0.4025,19.9587,1001.0110,ctr_clockwise_circle
1228802,-0.0442,-0.1535,1.0202,-1.0063,-0.2975,19.9325,1001.0171,ctr_clockwise_circle
1228862,-0.0468,-0.2033,0.9994,0.6300,-0.1838,20.1425,1001.0151,ctr_clockwise_circle
1228922,-0.0285,-0.1441,1.0294,0.6825,-0.1488,20.3525,1001.0105,ctr_clockwise_circle
1228982,-0.0458,-0.1141,0.9992,0.8838,-1.1287,20.8862,1001.0044,ctr_clockwise_circle
1229042,-0.0376,-0.0749,1.0089,1.7062,1.2600,21.2712,1001.0146,ctr_clockwise_circle
1229102,-0.0591,-0.1296,0.9434,0.0175,0.2713,21.2275,1001.0076,ctr_clockwise_circle
1229162,-0.0420,-0.1652,0.9284,-0.1488,-0.2887,21.2887,1000.9885,ctr_clockwise_circle
1229222,-0.0281,-0.1210,1.0256,-1.1900,-0.4725,21.2450,1000.9958,ctr_clockwise_circle
1229282,-0.0415,-0.1301,0.8948,-1.7062,-0.0262,21.5075,1000.9944,ctr_clockwise_circle
1229342,0.0010,-0.1515,1.0187,-1.0063,1.2162,21.7262,1000.9851,ctr_clockwise_circle
1229402,-0.0220,-0.1625,1.0875,0.3150,1.5312,22.1900,1000.9873,ctr_clockwise_circle
1229462,-0.0266,-0.1122,0.9659,-1.1287,0.3150,22.2950,1000.9937,ctr_clockwise_circle
1229522,-0.0222,-0.1354,0.9091,-0.0613,-0.7875,22.5662,1000.9900,ctr_clockwise_circle
1229582,-0.0023,-0.1293,0.9562,0.0787,0.8750,22.6800,1000.9993,ctr_clockwise_circle
1229642,0.0620,-0.1551,1.0721,0.9187,0.6650,23.2925,1000.9814,ctr_clockwise_circle
1229702,0.0214,-0.1966,1.0714,0.8313,-0.7613,23.6250,1000.9915,ctr_clockwise_circle
1229762,-0.0201,-0.2267,0.9414,1.0762,0.4288,23.8525,1000.9756,ctr_clockwise_circle
1229822,0.0159,-0.1230,1.0306,0.5863,-0.7525,24.3162,1000.9836,ctr_clockwise_circle
1229882,-0.0144,-0.1316,0.9697,-0.3237,0.9275,24.0275,1000.9824,ctr_clockwise_circle
1229942,0.0466,-0.1718,1.0099,-0.2188,-0.4638,24.5438,1000.9866,ctr_clockwise_circle
1230002,0.0259,-0.1530,0.9630,-0.4200,0.4288,24.2113,1000.9861,ctr_clockwise_circle
1230062,0.0132,-0.1754,0.9941,-0.9538,0.3762,24.0187,1000.9900,ctr_clockwise_circle
1230122,0.0403,-0.1695,1.0501,-0.9100,0.4112,24.4650,1000.9907,ctr_clockwise_circle
1230182,0.0486,-0.2003,1.0754,0.0350,1.2425,24.7975,1000.9744,ctr_clockwise_circle
