timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
1121762,0.0035,-0.0129,0.9880,0.2275,0.5688,0.1575,1001.4221,hard_accel_decel3
1121822,0.0021,0.0083,1.0060,0.8050,1.2425,0.1138,1001.4084,hard_accel_decel3
1121882,-0.0097,-0.0057,0.9904,0.8313,0.6650,0.3413,1001.4131,hard_accel_decel3
1121942,0.0046,0.0129,1.0018,0.9275,-0.0700,0.2100,1001.4275,hard_accel_decel3
1122002,0.0049,0.0346,0.9953,0.3762,-0.3762,0.2275,1001.4194,hard_accel_decel3
1122062,0.0024,0.0124,0.9842,-0.0962,0.1838,0.2537,1001.4197,hard_accel_decel3
1122122,-0.0037,0.0073,0.9725,0.2275,-0.2800,0.0787,1001.4219,hard_accel_decel3
1122182,0.0041,0.0200,0.9901,0.4025,-0.1312,-0.1050,1001.4226,hard_accel_decel3
1122242,0.0218,0.0327,1.0133,0.8138,0.0525,0.0787,1001.4163,hard_accel_decel3
1122302,0.0198,0.0149,1.0108,0.0962,-0.1925,0.2100,1001.4187,hard_accel_decel3
1122362,-0.0020,-0.0098,0.9911,0.4988,0.1050,0.2800,1001.4163,hard_accel_decel3
1122422,-0.0017,0.0114,0.9860,0.8750,0.1925,0.2013,1001.4158,hard_accel_decel3
1122482,0.0024,0.0081,1.0017,0.9013,-0.6825,0.2713,1001.4136,hard_accel_decel3
1122542,0.0029,0.0310,1.0099,0.7088,-0.3063,0.3675,1001.4155,hard_accel_decel3
1122602,-0.0697,0.0182,0.9923,0.1138,0.5250,0.4638,1001.4160,hard_accel_decel3
1122662,-0.1440,-0.0037,0.9516,1.1375,1.4175,0.3063,1001.4124,hard_accel_decel3
1122722,-0.1801,0.0503,1.0104,0.5075,2.4938,0.2800,1001.4106,hard_accel_decel3
1122782,-0.2157,0.0331,0.9829,-0.7613,2.4237,0.7613,1001.4116,hard_accel_decel3
1122842,-0.2302,0.0417,1.0260,-0.1575,1.5137,0.3762,1001.4177,hard_accel_decel3
1122902,-0.2440,0.0640,1.0436,-0.1488,2.4938,-0.1400,1001.4045,hard_accel_decel3
1122962,-0.2681,0.0346,1.0307,0.3325,2.0475,-0.0875,1001.4114,hard_accel_decel3
1123022,-0.2792,0.0308,0.9455,0.1925,-0.6388,0.0262,1001.3994,hard_accel_decel3
1123082,-0.2916,0.0237,1.0741,0.1050,1.9250,0.3850,1001.4092,hard_accel_decel3
1123142,-0.3747,0.0322,0.9155,0.9013,0.9887,0.0525,1001.4031,hard_accel_decel3
1123202,-0.3428,-0.0147,1.0026,0.0437,1.4350,0.5950,1001.3984,hard_accel_decel3
1123262,-0.3408,0.0974,0.9970,1.0588,2.1525,0.5425,1001.3977,hard_accel_decel3
1123322,-0.3484,0.0389,1.0704,1.2775,-1.3125,0.5775,1001.3894,hard_accel_decel3
1123382,-0.3697,0.0254,0.8938,1.6187,1.1200,0.0962,1001.3855,hard_accel_decel3
1123442,-0.2384,0.1281,1.1255,2.9925,0.4288,-0.5950,1001.3694,hard_accel_decel3
1123502,-0.4275,0.1083,0.9454,-2.1525,3.7800,0.0350,1001.3733,hard_accel_decel3
1123562,-0.3790,0.1073,1.0626,2.4675,1.0588,-0.9450,1001.3704,hard_accel_decel3
1123622,-0.3125,0.0259,1.0118,-0.6300,-1.0500,-0.0613,1001.3618,hard_accel_decel3
1123682,-0.3467,0.0941,1.1549,1.3563,2.8438,0.1575,1001.3528,hard_accel_decel3
1123742,-0.3855,-0.0244,1.1492,0.8487,0.0875,-0.1575,1001.3459,hard_accel_decel3
1123802,-0.4160,0.0670,1.0638,-0.7525,0.7525,-1.4350,1001.3184,hard_accel_decel3
1123862,-0.3396,0.0036,0.9234,1.1025,2.3800,-0.6475,1001.3276,hard_accel_decel3
1123922,-0.4204,0.0198,0.9243,0.4725,0.6737,0.5600,1001.3132,hard_accel_decel3
1123982,-0.4343,0.0635,0.8837,0.1663,-2.4150,0.1138,1001.3105,hard_accel_decel3
1124042,-0.4624,-0.0266,1.0301,2.3712,1.6450,0.8050,1001.3013,hard_accel_decel3
1124102,-0.3726,0.1271,1.0106,0.6125,-1.7413,-0.0437,1001.2915,hard_accel_decel3
1124162,-0.4202,0.0623,0.9873,-0.1838,1.2425,-0.7437,1001.2852,hard_accel_decel3
1124222,-0.3270,0.0046,1.0848,-0.1050,0.5950,0.4375,1001.2722,hard_accel_decel3
1124282,-0.4504,0.1169,1.0157,-0.2887,1.7325,-0.0262,1001.2722,hard_accel_decel3
1124342,-0.3647,0.0024,1.0529,-3.4037,-0.5075,0.4375,1001.2451,hard_accel_decel3
1124402,-0.3016,0.0032,1.1638,0.2975,2.0650,0.6037,1001.2285,hard_accel_decel3
1124462,-0.3509,-0.0278,1.1214,0.8487,2.8175,0.2713,1001.2322,hard_accel_decel3
1124522,-0.4370,-0.0540,0.8945,0.9100,-0.9275,-0.0962,1001.2090,hard_accel_decel3
1124582,-0.3336,0.0020,1.0662,0.2975,-0.9362,0.1138,1001.2036,hard_accel_decel3
1124642,-0.3503,0.0210,0.9438,-2.6862,-0.7525,0.8575,1001.1882,hard_accel_decel3
1124702,-0.2647,0.1183,1.0665,-1.7062,1.2162,0.6212,1001.1663,hard_accel_decel3
1124762,-0.2369,-0.0437,1.0706,0.5163,0.1400,0.6300,1001.1682,hard_accel_decel3
1124822,-0.3215,0.0483,0.9823,1.8288,-3.4388,0.6037,1001.1624,hard_accel_decel3
1124882,-0.3780,0.0725,0.9846,-0.4462,1.9512,0.1488,1001.1572,hard_accel_decel3
1124942,-0.2821,-0.0010,0.9007,-2.8788,-0.4288,0.7000,1001.1472,hard_accel_decel3
1125002,-0.3103,-0.1210,1.0524,0.6825,1.4525,0.4900,1001.1282,hard_accel_decel3
1125062,-0.4102,0.1130,1.0036,2.9575,0.4812,0.8313,1001.1011,hard_accel_decel3
1125122,-0.4189,0.0009,0.9867,-0.7962,1.4875,-0.0262,1001.0898,hard_accel_decel3
1125182,-0.3106,-0.1486,1.0980,3.3512,1.6363,0.9187,1001.0720,hard_accel_decel3
