timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
357362,0.0059,0.0244,0.9966,0.1575,0.1225,0.2100,1000.9346,left_turn
357422,0.0066,0.0242,0.9982,0.0962,0.1138,0.2275,1000.9478,left_turn
357482,0.0057,0.0241,0.9972,0.1925,0.1138,0.1838,1000.9412,left_turn
357542,0.0054,0.0249,0.9917,0.1750,0.0350,0.1838,1000.9431,left_turn
357602,0.0071,0.0236,0.9955,0.2275,-0.0262,0.2362,1000.9426,left_turn
357662,0.0040,0.0222,0.9929,0.1312,0.0962,0.2450,1000.9409,left_turn
357722,0.0046,0.0222,0.9928,0.1575,0.0962,0.1575,1000.9451,left_turn
357782,0.0054,0.0227,0.9920,0.1488,0.0962,0.2013,1000.9460,left_turn
357842,0.0054,0.0242,0.9929,0.2275,0.1225,0.1750,1000.9468,left_turn
357902,0.0053,0.0244,0.9922,0.1750,0.0787,0.2188,1000.9456,left_turn
357962,0.0052,0.0234,0.9941,0.1312,-0.0262,0.2013,1000.9399,left_turn
358022,0.0051,0.0229,0.9931,0.1575,-0.1312,0.2188,1000.9390,left_turn
358082,0.0059,0.0239,0.9967,0.2275,0.0962,0.2013,1000.9395,left_turn
358142,0.0056,0.0257,0.9966,0.1750,-0.0262,0.2275,1000.9399,left_turn
358202,0.0076,0.0241,0.9984,0.1050,0.0525,0.2537,1000.9312,left_turn
358262,0.0043,0.0259,0.9964,0.1750,0.1138,0.2188,1000.9517,left_turn
358322,0.0068,0.0268,0.9929,-0.0088,0.1312,0.1750,1000.9468,left_turn
358382,0.0136,0.0239,1.0008,0.0700,0.0437,0.3063,1000.9404,left_turn
358442,0.0088,0.0373,0.9697,-0.0525,-0.4200,0.2537,1000.9443,left_turn
358502,0.0151,0.0217,1.0182,0.1225,0.0175,0.3150,1000.9426,left_turn
358562,0.0030,0.0271,0.9902,0.1225,0.0437,0.2713,1000.9355,left_turn
358622,0.0044,0.0249,0.9984,0.2537,0.1575,0.2188,1000.9417,left_turn
358682,0.0044,0.0251,0.9974,0.2013,0.1400,0.2887,1000.9458,left_turn
358742,0.0035,0.0282,0.9953,0.2713,0.0787,0.2450,1000.9387,left_turn
358802,-0.0004,0.0296,0.9920,0.1750,0.0875,0.1925,1000.9473,left_turn
358862,0.0037,0.0329,0.9899,0.2362,0.1488,0.2013,1000.9475,left_turn
358922,-0.0337,0.0246,0.9836,0.2800,0.2975,0.2537,1000.9456,left_turn
358982,-0.0615,0.0143,0.9407,-0.3587,0.6562,0.1925,1000.9460,left_turn
359042,-0.0448,0.0412,1.0217,0.2800,0.9275,0.2887,1000.9395,left_turn
359102,-0.0598,0.0315,0.9906,-0.0437,0.5250,0.2887,1000.9375,left_turn
359162,-0.0571,0.0220,1.0021,0.2100,0.4375,0.2100,1000.9436,left_turn
359222,-0.0651,0.0269,0.9967,0.1050,0.1663,0.1575,1000.9475,left_turn
359282,-0.0889,0.0241,0.9948,0.2713,0.1312,0.2275,1000.9385,left_turn
359342,-0.1069,0.0230,0.9919,0.2450,0.4900,0.3500,1000.9473,left_turn
359402,-0.1097,0.0251,0.9925,0.1400,0.6300,0.3762,1000.9495,left_turn
359462,-0.1222,0.0229,0.9921,0.0787,0.6913,0.2800,1000.9480,left_turn
