timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
965582,0.0126,0.0190,0.9983,0.1750,0.2450,0.1838,1001.0305,left_u_turn
965642,0.0127,0.0188,0.9948,0.1838,0.1575,0.1750,1001.0312,left_u_turn
965702,0.0123,0.0175,0.9921,0.2537,0.0613,0.1663,1001.0330,left_u_turn
965762,0.0108,0.0170,0.9935,0.2100,0.0787,0.1750,1001.0286,left_u_turn
965822,0.0104,0.0200,0.9938,0.2362,0.1750,0.1838,1001.0337,left_u_turn
965882,0.0117,0.0202,0.9919,0.3063,0.1925,0.1925,1001.0288,left_u_turn
965942,0.0142,0.0236,0.9934,0.2188,0.1575,0.2625,1001.0227,left_u_turn
966002,0.0124,0.0203,0.9908,0.2100,0.0262,0.2362,1001.0300,left_u_turn
966062,0.0143,0.0268,0.9939,0.2887,0.0525,0.2013,1001.0166,left_u_turn
966122,0.0129,0.0212,0.9943,0.1925,0.0875,0.2275,1001.0203,left_u_turn
966182,0.0137,0.0218,0.9941,0.3938,0.1050,0.1838,1001.0317,left_u_turn
966242,0.0157,0.0239,0.9988,0.2625,0.0700,0.1838,1001.0112,left_u_turn
966302,0.0149,0.0261,0.9982,0.2100,0.2100,0.1925,1001.0278,left_u_turn
966362,0.0107,0.0224,0.9962,0.2537,0.1575,0.2975,1001.0327,left_u_turn
966422,0.0144,0.0220,0.9980,0.1050,0.1400,0.2275,1001.0259,left_u_turn
966482,0.0132,0.0234,0.9958,0.3500,0.3063,0.1050,1001.0178,left_u_turn
966542,0.0145,0.0163,1.0023,0.0262,-0.0088,0.2625,1001.0281,left_u_turn
966602,0.0095,0.0181,0.9877,0.3762,0.1838,0.1925,1001.0288,left_u_turn
966662,0.0087,0.0239,1.0004,0.0613,0.2188,0.2013,1001.0186,left_u_turn
966722,0.0102,0.0090,0.9936,0.1925,0.0875,0.2013,1001.0110,left_u_turn
966782,0.0088,0.0243,0.9941,0.4025,0.1225,0.3150,1001.0212,left_u_turn
966842,0.0045,0.0132,0.9929,0.1838,0.0962,0.2713,1001.0151,left_u_turn
966902,0.0091,0.0231,0.9782,0.4112,0.3938,0.1925,1001.0220,left_u_turn
966962,-0.0209,0.0178,0.9892,0.0787,0.4375,0.2275,1001.0242,left_u_turn
967022,-0.0376,0.0202,1.0019,0.2450,0.7788,0.2100,1001.0183,left_u_turn
967082,-0.0529,0.0231,0.9984,0.0437,0.5163,0.2362,1001.0293,left_u_turn
967142,-0.0597,0.0178,1.0038,0.1838,0.6475,0.2362,1001.0281,left_u_turn
967202,-0.0645,0.0190,1.0036,-0.0437,0.3850,0.2013,1001.0127,left_u_turn
967262,-0.0967,0.0154,1.0026,0.0962,0.5775,0.2188,1001.0225,left_u_turn
967322,-0.1154,0.0195,0.9970,0.1138,0.6650,0.2975,1001.0205,left_u_turn
967382,-0.1255,0.0168,0.9941,-0.0175,0.8313,0.2100,1001.0195,left_u_turn
967442,-0.1254,0.0132,0.9940,0.2713,0.7788,0.2450,1001.0242,left_u_turn
967502,-0.1291,0.0117,0.9939,0.1488,0.4988,0.1925,1001.0249,left_u_turn
967562,-0.1369,0.0120,0.9921,-0.1663,0.3150,0.3413,1001.0254,left_u_turn
967622,-0.1374,0.0195,0.9916,-0.0962,0.2975,0.3237,1001.0251,left_u_turn
967682,-0.1347,0.0107,0.9928,-0.0787,0.2275,0.3762,1001.0337,left_u_turn
967742,-0.1418,0.0258,0.9908,-0.0525,0.0088,0.1925,1001.0193,left_u_turn
967802,-0.1393,0.0166,0.9925,-0.3150,-0.1488,0.1312,1001.0264,left_u_turn
967862,-0.1386,0.0214,0.9826,-0.0350,-0.0875,0.0875,1001.0222,left_u_turn
967922,-0.1302,0.0162,1.0019,0.4025,0.1488,0.1312,1001.0183,left_u_turn
967982,-0.1347,0.0015,0.9845,-0.2537,-0.0350,0.2450,1001.0171,left_u_turn
968042,-0.1547,0.0091,0.9846,0.1663,0.2013,0.2275,1001.0081,left_u_turn
968102,-0.1401,0.0411,1.0119,0.4462,0.2362,0.1925,1001.0203,left_u_turn
968162,-0.1362,-0.0100,0.9992,-0.0437,0.4112,0.2362,1001.0139,left_u_turn
968222,-0.1366,0.0302,0.9802,0.2188,0.1575,0.1050,1001.0232,left_u_turn
968282,-0.1305,0.0015,0.9728,-0.9013,-0.4288,0.1400,1001.0151,left_u_turn
968342,-0.1041,0.0173,1.0043,0.3500,-0.2713,0.2100,1001.0186,left_u_turn
968402,-0.1075,0.0191,0.9997,-0.2975,-0.7875,0.1050,1001.0154,left_u_turn
968462,-0.0942,-0.0049,1.0390,-0.1225,0.1838,0.0962,1001.0132,left_u_turn
968522,-0.1200,-0.0242,0.9740,0.8838,0.8313,0.2450,1001.0183,left_u_turn
968582,-0.1135,-0.0125,0.9809,-0.6388,-0.2362,0.4375,1001.0159,left_u_turn
