timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
562502,0.0078,0.0217,0.9969,0.2625,0.1400,0.2800,1000.9854,right_turn
562562,0.0087,0.0207,0.9965,0.2275,0.1488,0.2100,1000.9688,right_turn
562622,0.0090,0.0232,0.9941,0.2887,0.0787,0.2450,1000.9797,right_turn
562682,0.0071,0.0231,0.9933,0.2800,0.1312,0.3237,1000.9797,right_turn
562742,0.0059,0.0239,0.9922,0.1663,0.0787,0.2188,1000.9875,right_turn
562802,0.0059,0.0212,0.9919,0.1488,0.1138,0.1750,1000.9749,right_turn
562862,0.0092,0.0208,0.9992,0.2275,0.0875,0.2100,1000.9871,right_turn
562922,0.0088,0.0229,0.9963,0.2450,0.1400,0.2188,1000.9773,right_turn
562982,0.0071,0.0186,0.9933,0.2188,0.2362,0.2100,1000.9871,right_turn
563042,0.0069,0.0121,1.0080,0.2188,0.3237,0.2625,1000.9814,right_turn
563102,0.0110,0.0273,0.9970,0.0350,-0.0525,0.2275,1000.9854,right_turn
563162,0.0049,0.0168,0.9821,0.0962,0.2450,0.2100,1000.9824,right_turn
563222,0.0086,0.0168,0.9955,0.2100,0.2013,0.2625,1000.9829,right_turn
563282,0.0065,0.0159,0.9945,0.2275,0.1400,0.2275,1000.9785,right_turn
563342,0.0059,0.0193,0.9936,0.1925,-0.0088,0.2713,1000.9851,right_turn
563402,0.0027,0.0142,0.9897,0.2537,0.0962,0.2188,1000.9932,right_turn
563462,0.0010,0.0248,0.9920,0.2887,0.5950,0.2625,1000.9868,right_turn
563522,0.0132,0.0254,1.0208,0.4550,0.5863,0.2450,1000.9839,right_turn
563582,-0.0439,0.0137,0.9755,0.2188,-0.0175,0.2013,1000.9868,right_turn
563642,-0.0570,0.0232,0.9972,0.5425,0.7175,0.2275,1000.9783,right_turn
563702,-0.0569,0.0200,1.0094,0.0700,0.5950,0.2975,1000.9934,right_turn
563762,-0.0752,0.0220,0.9972,0.1138,0.6037,0.1925,1000.9834,right_turn
563822,-0.0813,0.0183,1.0031,0.3762,0.7088,0.2362,1000.9956,right_turn
563882,-0.0891,0.0204,0.9978,0.1138,0.5425,0.1225,1000.9783,right_turn
563942,-0.1027,0.0192,0.9953,0.0350,0.4375,0.0787,1000.9790,right_turn
564002,-0.1119,0.0181,0.9979,0.1663,0.5775,0.2450,1000.9922,right_turn
564062,-0.1247,0.0122,0.9922,0.1225,0.3938,0.1575,1000.9846,right_turn
564122,-0.1272,0.0154,0.9943,-0.0262,0.4638,0.1663,1000.9910,right_turn
564182,-0.1335,0.0114,0.9977,0.1488,0.5512,0.2013,1000.9846,right_turn
564242,-0.1363,0.0098,0.9941,0.0875,0.3762,0.1750,1000.9907,right_turn
564302,-0.1396,0.0137,0.9924,0.1750,0.2362,0.1488,1000.9905,right_turn
564362,-0.1402,0.0170,0.9911,0.0962,0.0875,0.1312,1000.9868,right_turn
564422,-0.1418,0.0012,0.9829,0.1750,-0.0175,0.0613,1000.9885,right_turn
564482,-0.1176,0.0183,0.9973,0.2975,-0.2100,-0.0437,1000.9829,right_turn
564542,-0.1141,0.0188,1.0063,-0.2188,-0.1138,0.0962,1000.9841,right_turn
564602,-0.1107,0.0246,0.9926,0.5512,-0.1488,0.0700,1000.9871,right_turn
564662,-0.1135,0.0097,1.0026,0.5250,0.2013,-0.0088,1000.9863,right_turn
564722,-0.1389,-0.0002,0.9897,1.2775,0.5163,0.0962,1000.9946,right_turn
564782,-0.1338,0.0264,0.9833,-0.4200,-0.0437,0.3063,1000.9912,right_turn
564842,-0.1196,0.0231,1.0023,-0.1925,0.0175,0.3325,1000.9785,right_turn
564902,-0.1005,0.0234,1.0014,0.1050,-0.0700,-0.1225,1000.9817,right_turn
564962,-0.1119,0.0237,0.9943,-0.4550,-0.3150,-0.2275,1000.9846,right_turn
565022,-0.1015,0.0085,0.9911,-0.3500,-0.2800,-0.0525,1000.9890,right_turn
565082,-0.1049,0.0292,1.0028,0.5950,0.2188,0.2275,1000.9814,right_turn
565142,-0.1089,0.0066,0.9825,0.9625,0.3237,0.3325,1000.9775,right_turn
565202,-0.0856,0.0237,1.0255,0.4375,0.4288,0.3938,1000.9792,right_turn
565262,-0.1017,0.0023,0.9757,0.0525,-0.0525,0.1750,1000.9741,right_turn
565322,-0.0972,0.0105,1.0136,1.1287,-0.4200,0.0787,1000.9768,right_turn
565382,-0.0981,0.0234,0.9770,0.1138,-0.0787,0.2013,1000.9817,right_turn
565442,-0.1102,0.0268,0.9350,-0.2450,-1.1287,0.2100,1000.9792,right_turn
565502,-0.0913,0.0188,0.9999,0.2537,-0.3063,0.0350,1000.9829,right_turn
565562,-0.1050,0.0029,0.9875,-0.2800,-0.4112,0.3150,1000.9810,right_turn
565622,-0.0886,0.0181,0.9812,0.1050,0.1838,0.0175,1000.9724,right_turn
565682,-0.0747,0.0090,1.0114,0.6562,0.0613,-0.1138,1000.9685,right_turn
565742,-0.0777,-0.0261,1.0417,0.2188,-0.7175,0.2362,1000.9644,right_turn
565802,-0.0611,0.0598,0.9946,0.5950,-0.6562,0.3500,1000.9758,right_turn
565862,-0.0890,0.0253,0.9750,0.4288,-0.0262,0.3587,1000.9739,right_turn
565922,-0.0734,0.0498,1.0014,0.0175,-0.0700,0.0787,1000.9673,right_turn
565982,-0.0474,-0.0046,1.0260,-0.4988,-1.4525,0.2800,1000.9773,right_turn
566042,-0.0671,0.0212,1.0273,-0.6125,0.3150,0.0000,1000.9678,right_turn
566102,-0.0728,0.0142,0.9631,-0.0875,-0.0262,0.0088,1000.9668,right_turn
566162,-0.0576,0.0590,0.9406,0.1050,-1.1113,-0.1225,1000.9670,right_turn
566222,-0.0457,-0.0047,0.9587,-0.7088,-0.6562,0.2537,1000.9585,right_turn
566282,-0.0432,0.0622,0.9897,0.9887,0.0262,0.3325,1000.9543,right_turn
566342,-0.0361,-0.0218,1.0212,-0.7525,-0.0700,0.0787,1000.9561,right_turn
566402,-0.0454,0.0126,0.9418,0.0350,-1.1113,-0.1225,1000.9705,right_turn
566462,-0.0490,-0.0144,1.0067,0.3500,-0.2537,0.1488,1000.9607,right_turn
566522,-0.0463,0.0060,1.0097,0.2013,0.2013,0.3762,1000.9712,right_turn
566582,-0.0809,0.0324,0.9723,-0.1400,-0.4200,0.5075,1000.9622,right_turn
566642,-0.0752,0.0041,0.9995,-0.4025,-0.9450,0.2625,1000.9600,right_turn
566702,-0.0161,0.0100,1.0282,2.2750,0.2800,0.0000,1000.9636,right_turn
566762,-0.0099,0.0398,1.0316,0.5863,0.6037,-0.1925,1000.9619,right_turn
566822,-0.0182,0.0295,1.0126,0.5337,0.2537,0.1488,1000.9631,right_turn
566882,-0.0351,0.0240,1.0069,0.2975,1.1025,0.0088,1000.9631,right_turn
566942,-0.0375,-0.0054,0.9884,1.2425,-0.2537,0.1312,1000.9651,right_turn
567002,0.0140,0.0434,1.0402,0.3325,0.3325,-0.1838,1000.9609,right_turn
567062,0.0096,0.0776,1.0228,0.8925,-0.3500,-0.1225,1000.9634,right_turn
567122,0.0329,-0.0017,1.0384,-0.0175,-0.4725,-0.0875,1000.9663,right_turn
567182,0.0335,0.0290,1.0075,1.3650,0.6562,-0.2013,1000.9600,right_turn
567242,0.0694,0.0586,1.0138,0.0525,-0.2625,-0.2975,1000.9626,right_turn
567302,0.0498,0.0382,1.0327,-0.0525,-1.2162,-0.7000,1000.9585,right_turn
567362,0.0363,0.0796,0.9833,1.0938,0.1138,-1.0500,1000.9719,right_turn
567422,0.0422,0.0288,1.0208,1.3212,0.2537,-1.6888,1000.9644,right_turn
567482,0.0258,0.0595,1.0133,0.8925,1.1988,-2.6163,1000.9697,right_turn
567542,0.0324,0.0686,0.9907,1.1200,0.4725,-3.1762,1000.9683,right_turn
567602,0.0295,0.0727,1.0171,0.9800,0.7613,-3.5875,1000.9590,right_turn
567662,0.0171,0.1310,1.0460,1.4700,1.5488,-4.7337,1000.9614,right_turn
567722,0.0541,0.0678,0.9658,0.0262,0.2188,-5.6000,1000.9651,right_turn
567782,-0.0151,0.1096,0.9499,0.5863,0.0000,-6.2475,1000.9578,right_turn
567842,0.0249,0.0654,0.9981,0.3587,0.0613,-7.3500,1000.9668,right_turn
567902,0.0323,0.1175,1.0038,0.4725,0.0350,-7.8837,1000.9519,right_turn
567962,0.0110,0.0530,0.9708,-0.3500,-0.7350,-8.8375,1000.9666,right_turn
568022,0.0271,0.1003,0.9879,0.4550,1.0762,-9.5463,1000.9587,right_turn
568082,-0.0244,0.0759,1.0110,0.3675,-0.0962,-10.6663,1000.9590,right_turn
568142,-0.0293,0.1179,0.9553,0.1312,0.4025,-11.0425,1000.9502,right_turn
568202,-0.0310,0.0893,0.9890,0.3850,-0.5600,-11.6462,1000.9609,right_turn
568262,-0.0039,0.1008,0.9731,0.5250,-0.1663,-12.3725,1000.9636,right_turn
568322,-0.0093,0.1366,1.0405,-0.0262,-0.4462,-12.6350,1000.9561,right_turn
568382,-0.0268,0.0903,1.0038,1.0325,0.0175,-13.8512,1000.9578,right_turn
568442,-0.0270,0.1013,0.9723,-0.3413,-0.2013,-14.3588,1000.9546,right_turn
568502,-0.0334,0.1322,0.9320,0.9450,0.1750,-15.3212,1000.9609,right_turn
568562,0.0034,0.0879,1.0209,-0.0088,0.2013,-15.9775,1000.9539,right_turn
568622,-0.0637,0.1871,0.9728,-1.2775,0.6913,-16.4237,1000.9480,right_turn
568682,-0.0178,0.0756,0.9592,-1.0150,-0.3850,-17.1413,1000.9592,right_turn
568742,-0.0586,0.1947,0.9912,-0.0787,0.4638,-18.2000,1000.9595,right_turn
568802,-0.0242,0.1554,0.9858,-1.0325,-0.3325,-19.1887,1000.9634,right_turn
568862,-0.0224,0.2101,0.9822,1.4612,0.2100,-19.9500,1000.9536,right_turn
568922,0.0085,0.2225,1.0009,1.9863,-0.3762,-20.6675,1000.9438,right_turn
