timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
205802,0.0134,0.0214,0.9943,0.2275,0.1138,0.2013,1001.2656,smooth_accel_decel
205862,0.0110,0.0197,0.9909,0.2537,0.0613,0.2362,1001.2720,smooth_accel_decel
205922,0.0123,0.0193,0.9970,0.2450,0.0787,0.1838,1001.2627,smooth_accel_decel
205982,0.0104,0.0202,0.9963,0.1050,0.0350,0.1838,1001.2727,smooth_accel_decel
206042,0.0100,0.0188,0.9941,0.1663,0.1400,0.2713,1001.2771,smooth_accel_decel
206102,0.0120,0.0201,0.9945,0.2625,0.0437,0.2362,1001.2700,smooth_accel_decel
206162,0.0139,0.0229,0.9967,0.2100,-0.0175,0.1838,1001.2661,smooth_accel_decel
206222,0.0073,0.0217,0.9838,0.1138,-0.1838,0.1663,1001.2729,smooth_accel_decel
206282,0.0085,0.0193,0.9916,0.1750,-0.1225,0.2275,1001.2705,smooth_accel_decel
206342,0.0120,0.0212,0.9945,-0.1400,-0.1663,0.2887,1001.2681,smooth_accel_decel
206402,0.0224,0.0210,1.0068,0.3063,-0.3063,0.2275,1001.2729,smooth_accel_decel
206462,0.0104,0.0222,0.9936,0.1750,0.0088,0.1663,1001.2625,smooth_accel_decel
206522,0.0154,0.0169,0.9928,0.1400,-0.0088,0.2188,1001.2681,smooth_accel_decel
206582,0.0115,0.0217,1.0024,0.1312,0.2013,0.2625,1001.2712,smooth_accel_decel
206642,0.0117,0.0170,0.9973,0.2362,0.1838,0.2013,1001.2612,smooth_accel_decel
206702,0.0112,0.0244,0.9931,0.1400,0.1750,0.2275,1001.2729,smooth_accel_decel
206762,0.0141,0.0159,0.9975,0.1488,0.1400,0.2362,1001.2698,smooth_accel_decel
206822,0.0100,0.0256,0.9933,0.2013,0.0787,0.1663,1001.2725,smooth_accel_decel
206882,0.0110,0.0162,0.9963,0.2188,0.1312,0.2100,1001.2688,smooth_accel_decel
206942,0.0102,0.0251,0.9950,0.0088,0.0525,0.2537,1001.2654,smooth_accel_decel
207002,0.0120,0.0127,0.9923,0.2713,0.1750,0.2188,1001.2583,smooth_accel_decel
207062,0.0082,0.0288,0.9922,0.2013,0.0437,0.2188,1001.2654,smooth_accel_decel
207122,0.0115,0.0139,0.9956,0.1312,0.1138,0.2362,1001.2747,smooth_accel_decel
207182,0.0121,0.0273,0.9987,0.2537,0.0962,0.2013,1001.2739,smooth_accel_decel
