,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_id,segment_time_sec
0,1196462,0.012,0.009,0.9919,0.2362,0.14,0.2537,1000.7173,right_u_turn,0.0,0,0.0
1,1196522,0.0121,0.0088,0.9951,0.2537,0.14,0.0962,1000.7102,right_u_turn,0.06,0,0.06
2,1196582,0.014,0.012,0.9916,0.3237,0.105,0.175,1000.7207,right_u_turn,0.12,0,0.12
3,1196642,0.0122,0.0142,0.9933,0.2975,0.0437,0.1838,1000.7222,right_u_turn,0.18,0,0.18
4,1196702,0.0131,0.0086,0.9931,0.245,0.1138,0.2713,1000.7039,right_u_turn,0.24,0,0.24
5,1196762,0.0122,0.0103,0.9948,1.1725,0.3237,0.595,1000.7202,right_u_turn,0.3,0,0.3
6,1196822,0.0051,-0.0083,0.9631,0.91,-0.0875,0.6388,1000.7068,right_u_turn,0.36,0,0.36
7,1196882,0.0149,0.0097,0.9953,0.2275,-0.2188,0.2887,1000.717,right_u_turn,0.42,0,0.42
8,1196942,0.0146,0.0066,0.9938,0.2013,-0.07,0.1575,1000.7256,right_u_turn,0.48,0,0.48
9,1197002,0.0129,0.0109,0.9945,0.2713,-0.0088,0.1663,1000.7141,right_u_turn,0.54,0,0.54
10,1197062,0.0109,0.0148,0.9941,0.2013,0.1138,0.1575,1000.7063,right_u_turn,0.6,0,0.6
11,1197122,0.0108,0.0198,0.995,0.4375,-0.2188,-0.0525,1000.7407,right_u_turn,0.66,0,0.66
12,1197182,0.0151,0.0122,0.9926,0.5075,-0.0875,-0.0262,1000.7595,right_u_turn,0.72,0,0.72
13,1197242,0.0137,0.0151,0.9967,0.5512,-0.2887,-0.0437,1000.7639,right_u_turn,0.78,0,0.78
14,1197302,0.009,0.02,0.9842,0.665,-0.0962,-0.105,1000.7664,right_u_turn,0.84,0,0.84
15,1197362,0.013,0.0136,1.0002,0.595,-0.2188,-0.07,1000.771,right_u_turn,0.9,0,0.9
16,1197422,0.0134,0.0166,0.9939,0.6388,-0.245,-0.1138,1000.7759,right_u_turn,0.96,0,0.96
17,1197482,0.0044,0.0092,0.9716,0.91,-0.6212,0.07,1000.759,right_u_turn,1.02,0,1.02
18,1197542,0.0138,0.0117,0.9963,0.21,0.1575,0.175,1000.7104,right_u_turn,1.08,0,1.08
19,1197602,0.0137,0.0137,0.996,0.2188,0.0262,0.14,1000.7209,right_u_turn,1.14,0,1.14
20,1197662,0.0041,0.0131,0.9911,0.2625,0.1575,0.1225,1000.7141,right_u_turn,1.2,0,1.2
21,1197722,0.0175,0.0143,0.9891,0.665,0.0,0.0,1000.7432,right_u_turn,1.26,0,1.26
22,1197782,-0.0109,0.0103,0.9907,0.6913,0.0175,-0.035,1000.7747,right_u_turn,1.32,0,1.32
23,1197842,-0.0292,0.014,0.9941,0.7262,0.3325,-0.0787,1000.7646,right_u_turn,1.38,0,1.38
24,1197902,-0.0938,0.0203,0.9984,0.7875,0.7262,-0.1312,1000.7727,right_u_turn,1.44,0,1.44
25,1197962,-0.129,0.0166,0.9923,0.875,1.4875,-0.035,1000.7664,right_u_turn,1.5,0,1.5
26,1198022,-0.1405,0.0138,1.0138,0.56,0.9975,-0.21,1000.7747,right_u_turn,1.56,0,1.56
27,1198082,-0.1571,0.032,1.0124,0.5337,1.19,-0.1925,1000.7678,right_u_turn,1.62,0,1.62
28,1198142,-0.1645,0.0224,0.9943,0.4375,0.56,-0.1312,1000.7622,right_u_turn,1.68,0,1.68
29,1198202,-0.1657,0.0161,0.9928,0.3587,0.3938,-0.14,1000.7632,right_u_turn,1.74,0,1.74
30,1198262,-0.1728,0.0165,0.997,0.3938,-0.0875,-0.14,1000.7742,right_u_turn,1.8,0,1.8
31,1198322,-0.1845,0.0185,0.9933,0.4025,-0.0088,-0.105,1000.7588,right_u_turn,1.86,0,1.86
32,1198382,-0.1835,0.0161,0.996,0.63,-0.0962,-0.14,1000.7712,right_u_turn,1.92,0,1.92
33,1198442,-0.1796,0.0231,0.9975,0.5512,-0.1663,-0.1488,1000.7588,right_u_turn,1.98,0,1.98
34,1198502,-0.1789,0.0173,0.9948,0.3325,-0.105,-0.1312,1000.7654,right_u_turn,2.04,0,2.04
35,1198562,-0.1815,0.0145,0.9952,0.5337,0.0525,-0.1488,1000.769,right_u_turn,2.1,0,2.1
36,1198622,-0.1693,0.0225,1.0117,0.525,0.2275,-0.035,1000.7676,right_u_turn,2.16,0,2.16
37,1198682,-0.1813,0.011,0.9931,0.6212,-0.3063,-0.3413,1000.7588,right_u_turn,2.22,0,2.22
38,1198742,-0.1645,0.0185,0.9994,0.6562,-0.105,-0.2537,1000.7683,right_u_turn,2.28,0,2.28
39,1198802,-0.1466,-0.0049,1.0199,0.6212,-0.07,-0.0525,1000.7559,right_u_turn,2.34,0,2.34
40,1198862,-0.1994,-0.0017,0.9822,1.015,-0.1488,-0.2188,1000.7607,right_u_turn,2.4,0,2.4
41,1198922,-0.1884,0.0224,0.9958,0.2713,-0.5688,-0.1838,1000.7544,right_u_turn,2.46,0,2.46
42,1198982,-0.1523,-0.0005,1.0532,0.6388,0.4288,-0.0962,1000.7668,right_u_turn,2.52,0,2.52
43,1199042,-0.0903,0.0175,1.0263,0.7262,-0.6825,-0.14,1000.7627,right_u_turn,2.58,0,2.58
44,1199102,-0.161,0.0107,0.9714,0.6212,-0.9538,-0.3237,1000.771,right_u_turn,2.64,0,2.64
45,1199162,-0.1596,0.0246,0.9509,-0.0262,-0.0175,-0.35,1000.7664,right_u_turn,2.7,0,2.7
46,1199222,-0.1111,0.0134,0.9573,0.1138,-0.5863,-0.0875,1000.7573,right_u_turn,2.76,0,2.76
47,1199282,-0.1349,0.0349,0.9508,0.2362,-0.8487,-0.4375,1000.7593,right_u_turn,2.82,0,2.82
48,1199342,-0.0969,0.039,1.0218,0.7962,-0.1925,-0.175,1000.7612,right_u_turn,2.88,0,2.88
49,1199402,-0.1013,0.0183,1.0058,1.4612,-0.9362,-0.1575,1000.7573,right_u_turn,2.94,0,2.94
50,1199462,-0.0864,0.011,0.9938,0.7088,-0.1925,0.0175,1000.7693,right_u_turn,3.0,0,3.0
51,1199522,-0.1216,0.0017,0.9631,0.6125,-0.6388,-0.1312,1000.7527,right_u_turn,3.06,0,3.06
52,1199582,-0.0939,0.0427,0.9912,0.2975,0.42,0.2188,1000.7534,right_u_turn,3.12,0,3.12
53,1199642,-0.0868,0.0223,1.0349,0.63,0.56,-0.1838,1000.7471,right_u_turn,3.18,0,3.18
54,1199702,-0.0874,0.021,1.005,0.1225,-0.035,-0.1838,1000.7578,right_u_turn,3.24,0,3.24
55,1199762,-0.0683,0.0298,1.0053,-0.21,-1.505,-0.0525,1000.7456,right_u_turn,3.3,0,3.3
56,1199822,-0.0666,0.0562,1.0182,0.7175,-0.8662,-0.0875,1000.7471,right_u_turn,3.36,0,3.36
57,1199882,-0.132,-0.0549,0.9806,-0.035,0.1925,-0.035,1000.7524,right_u_turn,3.42,0,3.42
58,1199942,-0.0915,-0.0226,0.9601,1.4963,-0.8487,0.0787,1000.74,right_u_turn,3.48,0,3.48
59,1200002,-0.0451,0.0378,1.0205,1.2337,-1.9775,0.0262,1000.7449,right_u_turn,3.54,0,3.54
60,1200062,-0.0815,0.0585,0.9995,1.5225,-1.4,0.1663,1000.7551,right_u_turn,3.6,0,3.6
