timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
2444402,0.0153,0.0207,0.9947,0.6037,0.0350,0.3850,1000.4624,clockwise_loop
2444462,0.0146,0.0182,0.9944,0.2188,-0.2275,0.2713,1000.4614,clockwise_loop
2444522,0.0181,0.0227,0.9902,0.1838,-0.1312,0.2013,1000.4707,clockwise_loop
2444582,0.0180,0.0232,0.9960,0.4638,0.0175,0.2275,1000.4705,clockwise_loop
2444642,0.0176,0.0223,0.9914,0.2275,-0.0175,0.1575,1000.4651,clockwise_loop
2444702,0.0163,0.0207,0.9913,0.2362,0.0787,0.1838,1000.4539,clockwise_loop
2444762,0.0183,0.0203,0.9960,0.1838,0.1488,0.1312,1000.4683,clockwise_loop
2444822,0.0168,0.0178,0.9906,0.1663,0.1050,0.2275,1000.4668,clockwise_loop
2444882,0.0173,0.0214,0.9923,0.3063,0.1400,0.1663,1000.4641,clockwise_loop
2444942,0.0164,0.0198,0.9938,0.2800,0.0700,0.2100,1000.4658,clockwise_loop
2445002,0.0181,0.0214,0.9960,0.2013,0.0875,0.2013,1000.4636,clockwise_loop
2445062,0.0176,0.0180,0.9924,0.1925,0.1400,0.1488,1000.4619,clockwise_loop
2445122,0.0164,0.0302,1.0033,0.5863,-0.0525,0.1138,1000.4727,clockwise_loop
2445182,0.0251,0.0285,0.9938,0.0000,-0.3237,0.1312,1000.4768,clockwise_loop
2445242,0.0180,0.0212,1.0016,0.2800,0.2100,0.2362,1000.4722,clockwise_loop
2445302,0.0187,0.0217,0.9862,0.3413,0.0262,0.1663,1000.4600,clockwise_loop
2445362,0.0157,0.0229,0.9909,0.3150,-0.0088,0.1663,1000.4648,clockwise_loop
2445422,0.0180,0.0249,0.9943,0.2713,0.1225,0.1400,1000.4619,clockwise_loop
2445482,0.0176,0.0209,0.9955,0.4112,-0.0613,0.1750,1000.4709,clockwise_loop
2445542,0.0112,0.0315,0.9884,0.2100,0.1575,0.1400,1000.4753,clockwise_loop
2445602,0.0220,0.0249,0.9990,0.3150,0.3587,0.1925,1000.4629,clockwise_loop
2445662,-0.0142,0.0219,0.9972,0.3413,0.5512,0.0175,1000.4636,clockwise_loop
2445722,-0.0393,0.0263,0.9891,0.3675,0.4200,0.0000,1000.4717,clockwise_loop
2445782,-0.0662,0.0350,0.9991,0.3063,0.8225,0.0088,1000.4661,clockwise_loop
2445842,-0.0793,0.0260,1.0044,0.4462,0.9275,-0.2013,1000.4688,clockwise_loop
2445902,-0.0899,0.0303,0.9988,0.1925,0.7788,-0.2975,1000.4575,clockwise_loop
2445962,-0.0956,0.0332,0.9964,0.1400,0.6388,-0.5688,1000.4670,clockwise_loop
