timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
3863702,0.0171,0.0183,0.9941,0.2188,0.1663,0.0700,1000.3223,hard_accel_decel
3863762,0.0169,0.0131,0.9912,0.2275,0.1225,0.1050,1000.3247,hard_accel_decel
3863822,0.0200,0.0064,0.9962,0.1838,0.1050,0.1663,1000.3250,hard_accel_decel
3863882,0.0154,0.0151,0.9922,0.3237,0.0437,0.1138,1000.3184,hard_accel_decel
3863942,0.0154,0.0198,0.9927,0.3587,0.0613,0.1575,1000.3257,hard_accel_decel
3864002,0.0205,0.0271,1.0013,0.1575,-0.1312,0.1575,1000.3240,hard_accel_decel
3864062,-0.0068,0.0076,0.9889,0.0875,0.0525,0.1575,1000.3269,hard_accel_decel
3864122,0.0220,0.0254,0.9928,0.3063,-0.0262,0.1400,1000.3252,hard_accel_decel
3864182,0.0163,0.0171,0.9963,0.2275,0.0613,0.2450,1000.3225,hard_accel_decel
3864242,0.0206,0.0085,1.0016,0.2713,-0.0262,0.2800,1000.3232,hard_accel_decel
3864302,0.0181,0.0129,0.9877,0.0875,0.0437,0.2975,1000.3198,hard_accel_decel
3864362,0.0205,0.0141,0.9956,0.0350,0.0437,0.3150,1000.2793,hard_accel_decel
3864422,-0.0005,0.0066,0.9457,0.1575,0.3413,0.3325,1000.3240,hard_accel_decel
3864482,0.0097,0.0222,1.0046,0.6037,0.1575,0.2887,1000.3232,hard_accel_decel
3864542,-0.0268,0.0192,0.9983,0.5863,0.6562,0.2800,1000.3093,hard_accel_decel
3864602,-0.0220,0.0005,1.0124,0.6212,0.9625,0.4900,1000.3208,hard_accel_decel
3864662,-0.0493,0.0312,1.0170,0.1488,0.2362,0.5950,1000.3210,hard_accel_decel
3864722,-0.0688,-0.0024,0.9945,0.9187,0.8400,0.7875,999.9294,hard_accel_decel
3864782,-0.0615,0.0029,0.9655,0.1838,-0.5075,0.3675,999.9343,hard_accel_decel
3864842,-0.0527,0.0217,1.0097,0.6475,-0.0613,0.7088,999.9333,hard_accel_decel
3864902,-0.0554,0.0210,1.0014,0.6913,-0.0613,0.7525,999.9226,hard_accel_decel
3864962,-0.0532,-0.0085,0.9916,0.9625,-0.5337,1.1375,999.9072,hard_accel_decel
