timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
2322002,0.0173,0.0312,0.9914,0.1925,0.0262,0.1663,1000.5220,ctr_clock_loop
2322062,0.0190,0.0284,0.9911,0.4025,0.0962,0.1225,1000.5281,ctr_clock_loop
2322122,0.0156,0.0320,0.9941,0.3500,0.0437,0.1138,1000.5132,ctr_clock_loop
2322182,0.0193,0.0307,0.9938,0.5600,0.0787,0.2275,1000.5168,ctr_clock_loop
2322242,0.0195,0.0317,1.0009,0.5688,-0.1138,0.3500,1000.5154,ctr_clock_loop
2322302,0.0159,0.0321,0.9916,0.5425,0.0262,0.4200,1000.5198,ctr_clock_loop
2322362,0.0249,0.0345,0.9959,0.4025,-0.0175,0.1663,1000.5171,ctr_clock_loop
2322422,0.0227,0.0432,0.9867,0.0175,0.2887,0.1138,1000.5166,ctr_clock_loop
2322482,0.0198,0.0329,0.9957,0.2887,0.0350,0.1750,1000.5203,ctr_clock_loop
2322542,0.0187,0.0356,0.9995,0.2537,-0.0175,0.1575,1000.5132,ctr_clock_loop
2322602,0.0088,0.0322,0.9872,0.0700,-0.1225,0.1575,1000.5164,ctr_clock_loop
2322662,0.0215,0.0291,0.9987,0.2800,-0.0350,0.1750,1000.5144,ctr_clock_loop
2322722,0.0213,0.0354,0.9964,0.1663,0.0613,0.1138,1000.5151,ctr_clock_loop
2322782,0.0174,0.0312,0.9969,0.3938,0.1925,0.1138,1000.5154,ctr_clock_loop
2322842,0.0162,0.0317,0.9901,0.2013,0.0962,0.1663,1000.5159,ctr_clock_loop
2322902,0.0212,0.0359,0.9958,0.2275,0.0962,0.1488,1000.5259,ctr_clock_loop
2322962,0.0146,0.0287,0.9880,0.1750,-0.0350,0.1225,1000.5208,ctr_clock_loop
2323022,0.0129,0.0304,0.9914,0.2188,0.1663,0.1925,1000.5190,ctr_clock_loop
2323082,0.0242,0.0312,0.9958,0.2887,0.2013,0.1838,1000.5161,ctr_clock_loop
2323142,-0.0181,0.0318,0.9792,0.4725,0.5250,0.2013,1000.5239,ctr_clock_loop
2323202,-0.0498,0.0204,0.9902,0.3413,0.9538,0.1575,1000.5183,ctr_clock_loop
2323262,-0.0791,0.0418,1.0011,0.2450,1.1287,0.1312,1000.5168,ctr_clock_loop
2323322,-0.1135,0.0403,1.0040,0.0613,0.9013,0.2013,1000.5146,ctr_clock_loop
2323382,-0.1296,0.0381,0.9989,0.1050,1.2425,0.0350,1000.5195,ctr_clock_loop
2323442,-0.1347,0.0381,0.9919,0.1663,0.9625,0.0088,1000.5178,ctr_clock_loop
2323502,-0.1391,0.0410,0.9977,0.1838,0.7613,-0.0787,1000.5042,ctr_clock_loop
2323562,-0.1410,0.0383,0.9942,0.2450,0.4025,-0.2275,1000.5146,ctr_clock_loop
2323622,-0.1457,0.0429,0.9965,0.4375,0.2887,-0.3325,1000.5161,ctr_clock_loop
2323682,-0.1557,0.0447,0.9853,0.5337,0.0175,-0.4462,1000.5098,ctr_clock_loop
2323742,-0.1737,0.0412,0.9873,0.4550,0.0700,-0.6475,1000.5022,ctr_clock_loop
2323802,-0.1649,0.0397,1.0051,0.4725,0.1750,-0.6737,1000.5073,ctr_clock_loop
2323862,-0.1778,0.0388,0.9987,0.2537,0.3237,-0.8575,1000.5095,ctr_clock_loop
2323922,-0.1696,0.0303,0.9914,0.1663,-0.0088,-0.9887,1000.5156,ctr_clock_loop
2323982,-0.1668,0.0498,1.0001,0.2013,0.0175,-1.2862,1000.5132,ctr_clock_loop
2324042,-0.1569,0.0522,1.0138,0.5950,-0.0700,-1.4612,1000.5156,ctr_clock_loop
2324102,-0.1631,0.0304,0.9952,0.4638,0.0350,-1.5575,1000.5044,ctr_clock_loop
2324162,-0.1247,0.0285,1.0024,-0.3063,-1.0762,-1.8987,1000.5125,ctr_clock_loop
2324222,-0.1330,0.0640,0.9719,-0.0787,-1.0938,-2.2225,1000.5142,ctr_clock_loop
2324282,-0.1235,0.0478,0.9623,0.5950,-1.0412,-2.7825,1000.5132,ctr_clock_loop
2324342,-0.1207,0.0615,0.9747,0.3587,-0.4900,-2.9662,1000.5129,ctr_clock_loop
2324402,-0.1181,0.0202,0.9767,0.0088,-0.8750,-2.7825,1000.5142,ctr_clock_loop
2324462,-0.1022,0.0281,0.9809,-0.0875,-1.3125,-2.7562,1000.5032,ctr_clock_loop
2324522,-0.1110,0.0468,0.9898,-0.0962,-0.5163,-2.5988,1000.5100,ctr_clock_loop
2324582,-0.1021,0.0483,1.0011,0.8225,0.4550,-2.5287,1000.5125,ctr_clock_loop
2324642,-0.1212,0.0305,0.9730,1.0325,0.4375,-2.5725,1000.5061,ctr_clock_loop
2324702,-0.0908,0.0198,0.9969,0.8575,0.3500,-1.8813,1000.4929,ctr_clock_loop
2324762,-0.0969,0.0182,0.9655,0.1663,0.4375,-1.4262,1000.5063,ctr_clock_loop
2324822,-0.1005,-0.0032,1.0007,0.9712,0.2625,-0.7788,1000.4915,ctr_clock_loop
2324882,-0.0478,0.0264,1.0192,0.3237,0.0875,-0.5075,1000.5012,ctr_clock_loop
2324942,-0.0858,0.0312,0.9928,0.7350,0.0088,-0.0875,1000.4905,ctr_clock_loop
2325002,-0.0691,0.0401,1.0174,0.1925,0.0000,0.6562,1000.4849,ctr_clock_loop
2325062,-0.0671,-0.0198,0.9979,-0.3237,0.3325,1.3388,1000.4949,ctr_clock_loop
2325122,-0.0703,0.0034,0.9740,-0.7000,-1.1463,1.6187,1000.5088,ctr_clock_loop
2325182,-0.0378,0.0062,0.9836,-0.7700,-1.2862,2.2050,1000.4851,ctr_clock_loop
2325242,-0.0464,0.0178,0.9884,-0.2275,-0.0787,3.0975,1000.4856,ctr_clock_loop
2325302,-0.0463,0.0401,0.9673,-0.5163,-0.7175,3.4825,1000.4707,ctr_clock_loop
2325362,-0.0307,0.0049,0.9770,-0.1138,-0.1050,4.1475,1000.4834,ctr_clock_loop
2325422,-0.0229,-0.0273,0.9961,0.3237,-0.1750,4.7950,1000.4639,ctr_clock_loop
2325482,0.0110,-0.0471,1.0222,1.0850,0.1138,6.0637,1000.4656,ctr_clock_loop
2325542,-0.0143,-0.0580,0.9579,-0.1050,-0.3150,7.1750,1000.4727,ctr_clock_loop
2325602,-0.0182,-0.0032,0.9918,0.3325,0.8400,7.9713,1000.4727,ctr_clock_loop
2325662,-0.0152,-0.0539,0.9896,-0.1663,-0.1488,8.3212,1000.4697,ctr_clock_loop
2325722,-0.0082,-0.0508,0.9768,0.8662,0.4812,9.3800,1000.4744,ctr_clock_loop
2325782,-0.0187,-0.0640,0.9902,0.0875,-0.5163,9.7125,1000.4739,ctr_clock_loop
2325842,0.0014,-0.0375,0.9920,0.8750,0.3500,11.0600,1000.4802,ctr_clock_loop
2325902,-0.0082,-0.0551,0.9452,0.0962,0.1050,11.1475,1000.4570,ctr_clock_loop
2325962,0.0505,-0.0398,1.0223,0.6475,-1.3388,11.9613,1000.4658,ctr_clock_loop
2326022,-0.0146,-0.0422,0.9969,0.5863,1.8288,12.9150,1000.4834,ctr_clock_loop
2326082,-0.0365,-0.1071,0.9473,0.8138,-0.3413,13.6587,1000.4734,ctr_clock_loop
2326142,-0.0248,-0.0808,1.0385,-0.7962,0.6388,14.5425,1000.4585,ctr_clock_loop
2326202,0.0029,-0.0847,0.9116,0.4550,0.3850,14.6475,1000.4534,ctr_clock_loop
2326262,0.0254,-0.0630,1.0146,-0.1750,-0.0787,15.2600,1000.4744,ctr_clock_loop
2326322,-0.0170,-0.0615,0.9829,-0.8662,0.2362,15.7150,1000.4729,ctr_clock_loop
2326382,-0.0159,-0.0554,0.9968,0.5512,0.1838,16.6338,1000.4507,ctr_clock_loop
2326442,0.0078,-0.0581,0.9960,-0.1663,-0.7437,16.7825,1000.4648,ctr_clock_loop
2326502,0.0066,-0.1112,1.0097,-0.1838,0.7962,17.5438,1000.4783,ctr_clock_loop
2326562,-0.0002,-0.0631,1.0204,0.2887,0.9625,17.9375,1000.4646,ctr_clock_loop
2326622,-0.0039,-0.0809,0.9660,0.0350,-0.4025,17.7275,1000.4570,ctr_clock_loop
2326682,0.0203,-0.0629,1.0174,1.3300,1.6187,18.4100,1000.4609,ctr_clock_loop
2326742,0.0179,-0.0517,0.9789,0.4812,-0.5863,18.8125,1000.4634,ctr_clock_loop
2326802,-0.0093,-0.1066,0.9959,-1.0500,0.5775,18.6812,1000.4524,ctr_clock_loop
2326862,-0.0088,-0.1084,0.9939,-0.4812,-0.2100,19.0575,1000.4543,ctr_clock_loop
2326922,-0.0107,-0.1125,0.9931,-0.0700,0.3850,18.6287,1000.4319,ctr_clock_loop
2326982,0.0003,-0.0914,0.9919,-0.0700,1.3825,19.0487,1000.4573,ctr_clock_loop
2327042,-0.0068,-0.0922,1.0094,-0.5600,0.1225,19.3463,1000.4238,ctr_clock_loop
2327102,0.0300,-0.0688,1.0484,0.7875,0.6300,19.5125,1000.4460,ctr_clock_loop
2327162,-0.0546,-0.1640,0.8348,0.8575,0.0700,19.3900,1000.4348,ctr_clock_loop
2327222,0.0459,-0.0647,1.0465,0.3675,-0.1138,19.6437,1000.4460,ctr_clock_loop
2327282,0.0357,-0.0698,1.0055,0.0613,-0.0437,19.8275,1000.4333,ctr_clock_loop
2327342,-0.0341,-0.0834,0.9658,1.7413,-0.1312,19.5475,1000.4514,ctr_clock_loop
2327402,0.0522,-0.0990,1.0318,0.6125,-0.9013,19.6087,1000.4507,ctr_clock_loop
2327462,-0.0088,-0.0817,0.9706,0.1575,1.4262,20.0025,1000.3979,ctr_clock_loop
2327522,-0.0163,-0.0849,0.9783,0.6913,1.5312,20.4487,1000.4504,ctr_clock_loop
2327582,0.0350,-0.0654,1.0130,-0.9275,1.3125,20.2388,1000.4521,ctr_clock_loop
2327642,0.0365,-0.1060,1.0004,-1.4438,0.5337,20.3263,1000.4568,ctr_clock_loop
2327702,0.0009,-0.0891,1.0155,-1.5662,2.1962,20.4837,1000.4490,ctr_clock_loop
2327762,0.0167,-0.0960,0.9804,-0.8925,0.0437,20.1863,1000.4482,ctr_clock_loop
2327822,0.0590,-0.0542,1.0892,-0.5512,-0.3413,20.7200,1000.4282,ctr_clock_loop
2327882,0.0084,-0.1501,1.0136,-0.2975,-0.4812,20.7638,1000.4346,ctr_clock_loop
2327942,0.0200,-0.1883,0.9717,-0.4375,0.3150,20.8950,1000.4331,ctr_clock_loop
2328002,0.0336,-0.1171,0.9063,0.0700,0.2450,20.9300,1000.4463,ctr_clock_loop
2328062,0.0093,-0.1516,0.9943,-0.4112,2.2662,21.7000,1000.4314,ctr_clock_loop
2328122,0.0504,-0.1157,1.1223,0.3762,0.7875,22.1375,1000.4368,ctr_clock_loop
2328182,0.0437,-0.0856,1.0699,1.1463,3.4125,22.4613,1000.4324,ctr_clock_loop
2328242,0.0088,-0.0946,0.9806,-0.0525,1.4438,22.1025,1000.4365,ctr_clock_loop
2328302,0.0335,-0.1663,1.0319,0.5863,1.5400,22.6537,1000.4338,ctr_clock_loop
2328362,0.0230,-0.0874,0.9559,-0.6562,0.3850,22.8375,1000.4275,ctr_clock_loop
2328422,0.0612,-0.1762,1.0411,-0.4288,-0.9538,23.3188,1000.4463,ctr_clock_loop
2328482,0.0594,-0.1625,0.9554,-0.7175,1.3475,23.8175,1000.4331,ctr_clock_loop
2328542,0.0420,-0.1879,0.9951,-1.6013,-0.9362,23.9400,1000.4353,ctr_clock_loop
2328602,0.0069,-0.1730,0.9462,-0.2450,-0.4375,23.9312,1000.4338,ctr_clock_loop
2328662,0.0808,-0.1549,1.0745,0.8750,-0.9800,23.7038,1000.4517,ctr_clock_loop
2328722,0.0690,-0.2022,0.9809,2.5725,0.2713,23.6950,1000.4568,ctr_clock_loop
2328782,0.0527,-0.1767,0.9963,2.8087,-0.8662,23.7738,1000.4526,ctr_clock_loop
2328842,0.0579,-0.1000,1.0179,2.1875,0.7088,24.2812,1000.4404,ctr_clock_loop
