timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
684842,0.0144,0.0071,0.9947,0.3325,0.0525,0.2188,1000.8611,right_turn
684902,0.0136,0.0090,0.9970,0.2713,-0.0262,0.2188,1000.8550,right_turn
684962,0.0119,0.0092,0.9925,0.1838,0.0525,0.1663,1000.8589,right_turn
685022,0.0146,0.0112,1.0045,0.1312,0.0437,0.2625,1000.8613,right_turn
685082,0.0082,-0.0041,0.9843,0.0350,0.1663,0.1838,1000.8596,right_turn
685142,0.0112,0.0068,0.9953,0.1575,0.0875,0.2275,1000.8667,right_turn
685202,0.0165,0.0070,0.9992,0.2275,0.0000,0.2362,1000.8655,right_turn
685262,0.0159,0.0137,1.0172,0.2975,0.4288,0.1750,1000.8621,right_turn
685322,0.0178,0.0075,0.9987,0.1400,0.1138,0.1750,1000.8616,right_turn
685382,0.0193,0.0078,0.9960,0.1488,-0.0350,0.2362,1000.8589,right_turn
685442,0.0073,0.0079,0.9923,0.2013,0.0700,0.2013,1000.8650,right_turn
685502,0.0076,0.0063,0.9950,0.1575,0.2362,0.2013,1000.8574,right_turn
685562,0.0051,0.0098,0.9936,0.1838,0.4288,0.1400,1000.8584,right_turn
685622,-0.0283,0.0134,0.9878,0.2188,0.4638,0.1750,1000.8604,right_turn
685682,-0.0590,0.0101,0.9984,0.2625,0.9100,0.1925,1000.8628,right_turn
685742,-0.0959,0.0118,0.9999,0.3413,1.0237,0.2100,1000.8635,right_turn
685802,-0.1179,0.0142,0.9958,0.3938,1.1375,0.2100,1000.8616,right_turn
685862,-0.1217,0.0134,0.9997,0.2713,1.1375,0.1575,1000.8679,right_turn
685922,-0.1269,0.0149,1.0018,0.2100,0.8575,0.1750,1000.8660,right_turn
685982,-0.1291,0.0165,0.9987,0.2275,0.3500,0.2537,1000.8677,right_turn
686042,-0.1364,0.0168,0.9909,0.1925,0.2188,0.1663,1000.8657,right_turn
686102,-0.1372,0.0142,0.9901,0.0262,-0.0175,0.1750,1000.8643,right_turn
686162,-0.1468,0.0090,0.9870,0.1400,0.0262,0.2100,1000.8591,right_turn
686222,-0.1468,0.0118,0.9909,0.2975,-0.0175,0.1750,1000.8555,right_turn
686282,-0.1488,0.0052,0.9911,0.4725,0.0000,0.1575,1000.8628,right_turn
686342,-0.1464,0.0129,0.9956,0.3587,0.0962,0.1925,1000.8589,right_turn
686402,-0.1498,0.0247,0.9975,0.2975,0.1312,0.1925,1000.8513,right_turn
686462,-0.1491,0.0195,0.9926,0.2188,0.1838,0.2188,1000.8621,right_turn
686522,-0.1427,0.0142,0.9977,-0.0700,-0.0262,0.2188,1000.8606,right_turn
686582,-0.1486,0.0224,1.0005,0.2537,0.0175,0.0350,1000.8694,right_turn
686642,-0.1481,0.0068,0.9942,0.4988,-0.2100,0.0613,1000.8674,right_turn
686702,-0.1509,0.0095,0.9801,0.3325,-0.2625,0.0875,1000.8513,right_turn
686762,-0.1351,0.0132,0.9961,0.3150,-0.7088,0.3587,1000.8645,right_turn
686822,-0.1410,0.0081,0.9920,0.6650,-0.4112,0.2188,1000.8618,right_turn
686882,-0.1227,0.0025,0.9791,-0.1138,-0.4638,-0.0962,1000.8545,right_turn
686942,-0.1225,0.0293,1.0009,0.6737,-0.2887,0.2100,1000.8589,right_turn
687002,-0.1283,0.0174,0.9909,0.0525,-0.6737,0.2975,1000.8440,right_turn
687062,-0.1164,0.0100,0.9995,0.1400,-0.1575,0.0962,1000.8469,right_turn
687122,-0.1174,0.0052,0.9746,-0.0175,0.3675,0.2713,1000.8467,right_turn
687182,-0.0946,-0.0066,0.9822,-0.3938,0.0613,0.2537,1000.8381,right_turn
687242,-0.0949,0.0134,0.9992,0.3413,-0.6037,0.2975,1000.8391,right_turn
687302,-0.0916,0.0393,0.9933,0.5075,0.0525,0.2188,1000.8413,right_turn
687362,-0.0762,0.0018,1.0199,0.3850,0.2537,0.1050,1000.8440,right_turn
687422,-0.0718,0.0212,1.0067,-0.0787,-0.1400,0.3063,1000.8562,right_turn
687482,-0.0786,0.0026,0.9952,-0.9187,-0.2887,0.3063,1000.8481,right_turn
687542,-0.0448,-0.0159,1.0341,1.8900,0.3675,0.3850,1000.8545,right_turn
687602,-0.0822,-0.0330,0.9787,0.7788,0.2188,0.1225,1000.8447,right_turn
687662,-0.0664,0.0173,1.0089,0.3237,-0.0700,0.4112,1000.8455,right_turn
687722,-0.0500,0.0054,1.0202,0.8313,0.2100,0.7000,1000.8633,right_turn
687782,-0.0779,0.0186,0.9772,0.0875,-0.2887,0.3325,1000.8340,right_turn
687842,-0.0497,0.0047,1.0158,0.0262,0.4200,0.2713,1000.8389,right_turn
687902,-0.0495,0.0259,1.0134,0.7437,-0.0175,0.2275,1000.8420,right_turn
687962,-0.0564,0.0077,0.9889,1.0500,-0.3325,0.3762,1000.8311,right_turn
