timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
1969082,0.0154,0.0156,0.9931,0.1838,-0.1138,0.1663,1000.6179,weave
1969142,0.0195,0.0175,0.9948,0.2800,0.0000,0.2013,1000.6165,weave
1969202,0.0176,0.0171,0.9920,0.2100,0.0437,0.1750,1000.6169,weave
1969262,0.0185,0.0151,0.9941,0.1663,0.0350,0.1138,1000.6157,weave
1969322,0.0198,0.0178,0.9930,0.1488,0.0350,0.1750,1000.6294,weave
1969382,0.0187,0.0180,0.9914,0.3325,0.1225,0.1575,1000.6228,weave
1969442,0.0181,0.0143,0.9938,0.2013,0.0962,0.1488,1000.6216,weave
1969502,0.0178,0.0151,0.9958,0.2450,0.0613,0.1400,1000.6182,weave
1969562,0.0326,0.0301,1.0192,0.7000,0.2800,0.2537,1000.6157,weave
1969622,0.0161,-0.0016,0.9866,0.4375,0.1138,0.2800,1000.6199,weave
1969682,0.0151,0.0065,0.9905,0.3150,0.2100,0.1400,1000.6218,weave
1969742,0.0154,0.0181,0.9980,0.2800,0.3150,0.1925,1000.6240,weave
1969802,0.0146,0.0124,0.9919,0.2188,-0.1400,0.1488,1000.6221,weave
1969862,0.0188,0.0207,0.9987,0.3938,0.2188,0.1312,1000.6260,weave
1969922,0.0176,0.0159,1.0053,0.2625,0.0525,0.1663,1000.6284,weave
1969982,0.0154,0.0267,1.0014,0.3063,0.2100,0.1750,1000.6179,weave
1970042,0.0307,0.0002,1.0089,0.4988,-0.0088,0.1925,1000.6147,weave
1970102,0.0285,0.0305,0.9621,0.0875,-0.0875,0.1663,1000.6182,weave
1970162,0.0158,0.0432,0.9999,-0.1138,0.0088,0.0088,1000.6116,weave
1970222,-0.0005,0.0078,0.9414,-0.6475,1.5312,0.2100,1000.6150,weave
1970282,0.0163,0.0154,0.9973,0.2800,0.0962,0.2100,1000.6189,weave
1970342,0.0173,0.0134,0.9926,0.1663,0.0525,0.1488,1000.6165,weave
1970402,0.0205,0.0193,0.9927,0.2625,0.0525,0.1838,1000.6079,weave
1970462,0.0208,0.0142,0.9942,-0.0088,0.2013,0.1925,1000.6174,weave
1970522,0.0193,0.0203,1.0003,0.2537,-0.0262,0.2013,1000.6123,weave
1970582,0.0179,0.0149,0.9945,0.0962,-0.0437,0.1488,1000.6216,weave
1970642,0.0153,0.0180,0.9963,0.2362,0.0962,0.1575,1000.6116,weave
1970702,0.0207,0.0161,0.9941,0.2100,0.1488,0.1750,1000.6174,weave
1970762,0.0200,0.0168,0.9921,0.3675,0.2537,0.1838,1000.6226,weave
1970822,0.0192,0.0161,0.9967,0.3063,0.1750,0.1575,1000.6143,weave
1970882,0.0123,0.0152,0.9891,0.0700,0.0525,0.1663,1000.6157,weave
1970942,0.0146,0.0154,0.9855,0.5075,0.2625,0.2625,1000.6199,weave
