,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec,segment_id,segment_time_sec
0,1494662,0.0098,0.0406,1.0033,-1.5225,-0.0437,0.4375,1001.0608,bumps,4.8,0,0.0
1,1494722,0.0063,0.007,1.0226,-0.8925,0.2013,0.1488,1001.0654,bumps,4.86,0,0.06
2,1494782,0.0029,0.0178,1.0011,0.2362,0.7613,0.1225,1001.0605,bumps,4.92,0,0.12
3,1494842,0.0348,0.0478,1.0363,0.0088,0.0875,0.6562,1001.0586,bumps,4.98,0,0.18
4,1494902,0.0511,0.0766,1.1034,1.9162,-2.4325,0.5075,1001.0676,bumps,5.04,0,0.24
5,1494962,0.0966,0.0623,1.1178,0.3237,-7.805,0.4988,1001.0818,bumps,5.1,0,0.3
6,1495022,0.0569,0.0761,1.0019,-0.175,-8.1987,0.3938,1001.0708,bumps,5.16,0,0.36
7,1495082,0.0415,0.0511,0.9052,-0.6212,-6.3875,0.2975,1001.063,bumps,5.22,0,0.42
8,1495142,0.0571,0.0271,0.8539,-1.05,-3.395,-0.105,1001.0349,bumps,5.28,0,0.48
9,1495202,0.0354,0.0561,0.819,-0.8838,1.2687,-0.14,1001.0344,bumps,5.34,0,0.54
10,1495262,0.0195,0.0076,0.8337,-0.1225,5.39,0.0437,1001.0225,bumps,5.4,0,0.6
11,1495322,-0.0246,0.0091,0.8478,0.7875,8.3737,0.0088,1001.0364,bumps,5.46,0,0.66
12,1495382,-0.0473,0.0483,0.886,1.7675,11.235,-0.0088,1001.0383,bumps,5.52,0,0.72
13,1495442,0.0249,0.0367,1.0595,1.6625,11.3488,0.1663,1001.0579,bumps,5.58,0,0.78
14,1495502,0.0044,0.0972,1.1921,1.2687,7.63,0.245,1001.0725,bumps,5.64,0,0.84
15,1495562,-0.0512,0.0578,1.2739,0.3325,1.6013,0.0525,1001.0835,bumps,5.7,0,0.9
16,1495622,-0.0625,0.0276,1.1599,-0.1663,-3.57,0.2275,1001.0933,bumps,5.76,0,0.96
17,1495682,-0.0205,0.04,1.0341,-1.0588,-6.2825,-0.07,1001.0803,bumps,5.82,0,1.02
18,1495742,0.0088,0.0178,0.9751,-0.7613,-4.0512,0.1138,1001.0698,bumps,5.88,0,1.08
19,1495802,0.0262,0.0337,0.9038,-0.1138,-1.7413,0.21,1001.0659,bumps,5.94,0,1.14
20,1495862,0.0452,-0.0076,0.9058,0.6388,0.3587,0.28,1001.0452,bumps,6.0,0,1.2
21,1495922,0.0546,0.041,0.9536,1.0237,1.3737,0.105,1001.0618,bumps,6.06,0,1.26
22,1495982,0.0718,0.0253,0.9643,0.6737,0.665,0.2625,1001.0457,bumps,6.12,0,1.32
23,1496042,0.1014,0.0429,1.0138,0.385,0.4375,0.4025,1001.0605,bumps,6.18,0,1.38
24,1496102,0.0883,0.0564,0.986,0.49,-0.3938,0.42,1001.0662,bumps,6.24,0,1.44
25,1496162,0.1369,0.0469,1.0086,-0.14,-0.7437,0.2975,1001.063,bumps,6.3,0,1.5
26,1496222,0.1318,0.0275,0.9999,-0.3675,-0.3762,0.1488,1001.064,bumps,6.36,0,1.56
27,1496282,0.1259,0.043,0.9902,-0.1138,-0.7175,0.0175,1001.0723,bumps,6.42,0,1.62
28,1496342,0.1258,0.0386,1.0036,-0.2275,-0.2625,0.0088,1001.0569,bumps,6.48,0,1.68
29,1496402,0.1261,0.0398,0.9916,0.28,-0.105,0.175,1001.0625,bumps,6.54,0,1.74
30,1496462,0.1374,0.0127,1.0165,0.3938,-0.49,0.21,1001.0784,bumps,6.6,0,1.8
31,1504322,0.0187,0.0378,0.9922,0.7262,-0.2713,0.4025,1001.0669,bumps,14.46,1,0.0
32,1504382,0.0282,0.0381,0.993,0.3762,-0.28,0.4025,1001.0784,bumps,14.52,1,0.06
33,1504442,-0.0192,0.0747,1.0497,1.1287,0.525,0.35,1001.0618,bumps,14.58,1,0.12
34,1504502,-0.1206,0.0148,1.0804,-0.0875,2.0475,0.21,1001.0754,bumps,14.64,1,0.18
35,1504562,-0.1315,0.063,1.0933,-0.4288,6.51,-0.1925,1001.0784,bumps,14.7,1,0.24
36,1504622,-0.0076,0.0817,1.0319,-1.9863,7.6825,0.6737,1001.0742,bumps,14.76,1,0.3
37,1504682,-0.0786,0.0661,0.9236,-0.9712,7.1312,0.6388,1001.0679,bumps,14.82,1,0.36
38,1504742,-0.0029,0.0332,0.8674,-0.5863,3.8763,0.315,1001.0623,bumps,14.88,1,0.42
39,1504802,-0.0041,0.0007,0.8611,-0.0525,0.6388,0.0525,1001.0496,bumps,14.94,1,0.48
40,1504862,0.0016,0.0173,0.8373,1.1025,-2.2838,0.3325,1001.0466,bumps,15.0,1,0.54
41,1504922,0.0513,0.0295,0.8808,2.1962,-4.7688,0.455,1001.052,bumps,15.06,1,0.6
42,1504982,0.0651,0.0414,0.8935,2.6512,-6.5275,0.7262,1001.0518,bumps,15.12,1,0.66
43,1505042,0.0912,0.0395,0.9226,2.695,-8.4175,0.4375,1001.053,bumps,15.18,1,0.72
44,1505102,0.0178,0.0522,0.9922,0.6475,-9.0475,0.07,1001.0681,bumps,15.24,1,0.78
45,1505162,0.041,0.123,1.1129,-0.665,-7.0175,0.2362,1001.0662,bumps,15.3,1,0.84
46,1505222,0.0661,0.0423,1.2164,-0.735,-2.1962,0.4638,1001.0896,bumps,15.36,1,0.9
47,1505282,0.05,0.0285,1.198,-1.4262,2.4938,0.2275,1001.0784,bumps,15.42,1,0.96
48,1505342,0.0442,0.032,1.1014,-0.49,5.635,-0.2275,1001.084,bumps,15.48,1,1.02
49,1505402,-0.0532,0.0064,0.9708,0.2887,4.8387,-0.1663,1001.0752,bumps,15.54,1,1.08
50,1505462,-0.0334,0.0232,0.9227,0.8225,2.4237,0.1225,1001.0635,bumps,15.6,1,1.14
51,1505522,-0.0461,0.0452,0.9279,1.1812,0.5775,0.6212,1001.0608,bumps,15.66,1,1.2
52,1505582,-0.0619,0.0393,0.9333,1.4088,-0.595,0.6388,1001.0676,bumps,15.72,1,1.26
53,1505642,-0.0276,0.0526,0.9808,0.9975,-1.015,0.3587,1001.0667,bumps,15.78,1,1.32
54,1505702,-0.0544,0.0641,0.9864,0.7788,-0.315,0.0262,1001.0696,bumps,15.84,1,1.38
55,1505762,-0.0488,0.0341,0.9916,0.0525,-0.7088,0.0962,1001.0662,bumps,15.9,1,1.44
56,1505822,-0.0429,0.0525,1.0175,-0.4112,-0.315,0.3413,1001.0769,bumps,15.96,1,1.5
