,timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target,time_sec
0,1323542,0.0138,0.0185,0.9965,0.1312,0.3063,0.2625,1001.0681,clockwise_circle,0.0
1,1323602,0.0149,0.0137,0.993,0.3413,0.2625,0.2887,1001.0693,clockwise_circle,0.06
2,1323662,0.0217,0.0135,1.0197,0.735,0.2362,0.2537,1001.0618,clockwise_circle,0.12
3,1323722,0.0085,0.0221,1.0158,0.2362,-0.4288,0.1838,1001.0664,clockwise_circle,0.18
4,1323782,-0.0015,0.02,0.9933,0.4112,0.0088,0.2013,1001.0725,clockwise_circle,0.24
5,1323842,0.0135,0.0159,0.9836,0.105,0.0613,0.245,1001.0681,clockwise_circle,0.3
6,1323902,0.0134,0.0193,0.9909,0.3325,0.0962,0.245,1001.064,clockwise_circle,0.36
7,1323962,0.0165,0.0159,0.9945,0.105,0.0175,0.2362,1001.0583,clockwise_circle,0.42
8,1324022,0.0056,0.0232,0.9986,0.14,0.1312,0.2275,1001.0564,clockwise_circle,0.48
9,1324082,0.002,0.0229,0.9914,0.1663,0.3762,0.21,1001.0657,clockwise_circle,0.54
10,1324142,-0.0156,0.0117,0.9828,0.5688,0.4638,0.1312,1001.0674,clockwise_circle,0.6
11,1324202,-0.0279,0.03,0.9892,0.5775,0.1663,-0.07,1001.054,clockwise_circle,0.66
12,1324262,-0.0673,0.0397,0.9963,0.6037,0.7,-0.3762,1001.0588,clockwise_circle,0.72
13,1324322,-0.0967,0.0442,0.9984,0.4812,1.1113,-0.6212,1001.0557,clockwise_circle,0.78
14,1324382,-0.1245,0.0444,1.0002,0.1838,1.1988,-1.0325,1001.0559,clockwise_circle,0.84
15,1324442,-0.1252,0.049,0.9994,0.1312,1.0938,-1.1375,1001.0562,clockwise_circle,0.9
16,1324502,-0.1267,0.0419,0.995,0.1575,0.8138,-1.4787,1001.0576,clockwise_circle,0.96
17,1324562,-0.1334,0.0508,1.0002,0.5512,0.5337,-2.065,1001.0605,clockwise_circle,1.02
18,1324622,-0.143,0.0505,0.9906,0.3413,0.2013,-2.6862,1001.0583,clockwise_circle,1.08
19,1324682,-0.1479,0.0552,0.9912,0.6562,0.14,-3.2287,1001.0588,clockwise_circle,1.14
20,1324742,-0.1451,0.0644,0.9934,0.4112,-0.0787,-3.6925,1001.0581,clockwise_circle,1.2
21,1324802,-0.1478,0.0488,0.9911,0.3063,0.0787,-4.1038,1001.0601,clockwise_circle,1.26
22,1324862,-0.1452,0.0752,0.9882,0.5688,0.3675,-4.8562,1001.0625,clockwise_circle,1.32
23,1324922,-0.1451,0.0695,0.9791,0.7613,0.2537,-5.5212,1001.0554,clockwise_circle,1.38
24,1324982,-0.1371,0.0736,0.9809,0.6475,-0.035,-6.195,1001.0569,clockwise_circle,1.44
25,1325042,-0.1354,0.0802,0.9964,0.525,-0.14,-6.8162,1001.0679,clockwise_circle,1.5
26,1325102,-0.1329,0.082,0.9962,0.4288,0.0262,-7.3325,1001.062,clockwise_circle,1.56
27,1325162,-0.1391,0.0703,0.9828,0.7788,-0.0437,-8.0413,1001.0659,clockwise_circle,1.62
28,1325222,-0.1164,0.0686,1.0028,0.1488,0.0175,-8.4263,1001.0681,clockwise_circle,1.68
29,1325282,-0.1445,0.0636,0.9728,1.0237,0.0787,-9.1875,1001.0559,clockwise_circle,1.74
30,1325342,-0.1093,0.0747,0.9898,0.455,-0.2975,-9.6775,1001.0581,clockwise_circle,1.8
31,1325402,-0.1038,0.0905,0.9987,1.12,-0.385,-10.0538,1001.0552,clockwise_circle,1.86
32,1325462,-0.1041,0.1102,1.0114,0.6037,0.2713,-10.5262,1001.0574,clockwise_circle,1.92
33,1325522,-0.0783,0.0881,1.0106,0.07,0.035,-11.0513,1001.0488,clockwise_circle,1.98
34,1325582,-0.0896,0.0817,0.993,-0.0875,-0.0175,-11.6812,1001.0491,clockwise_circle,2.04
