timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
1489862,0.0142,0.0463,0.9972,0.2713,-0.0350,0.2275,1001.0757,bumps
1489922,0.0122,0.0470,0.9904,0.1838,0.0437,0.2713,1001.0676,bumps
1489982,0.0113,0.0427,0.9936,0.1663,0.0525,0.2362,1001.0654,bumps
1490042,0.0117,0.0441,0.9966,0.1750,0.0875,0.1925,1001.0657,bumps
1490102,0.0145,0.0437,0.9975,0.1225,-0.0525,0.2450,1001.0681,bumps
1490162,0.0146,0.0453,0.9951,0.2100,0.0088,0.2625,1001.0752,bumps
1490222,0.0134,0.0453,0.9948,0.1575,0.2537,0.2537,1001.0764,bumps
1490282,0.0093,0.0448,0.9926,0.0962,0.1663,0.1750,1001.0688,bumps
1490342,0.0108,0.0439,0.9911,0.2537,0.0437,0.2275,1001.0771,bumps
1490402,0.0136,0.0442,0.9980,0.1838,0.0350,0.2800,1001.0732,bumps
1490462,0.0120,0.0447,0.9928,0.1400,0.0613,0.2275,1001.0769,bumps
1490522,0.0117,0.0434,0.9940,0.2450,0.0175,0.2362,1001.0730,bumps
1490582,0.0149,0.0432,0.9948,0.1663,-0.0088,0.2188,1001.0715,bumps
1490642,0.0024,0.0259,0.9865,0.0000,-0.1488,0.2625,1001.0715,bumps
1490702,0.0140,0.0517,0.9921,0.0175,-0.4812,0.1575,1001.0750,bumps
1490762,0.0260,0.0358,1.0094,0.3500,0.7088,0.3150,1001.0754,bumps
1490822,0.0122,0.0425,0.9913,0.1225,0.1925,0.2537,1001.0708,bumps
1490882,0.0118,0.0444,0.9926,0.1050,-0.0437,0.2362,1001.0730,bumps
1490942,0.0124,0.0498,0.9977,0.0787,0.0437,0.2537,1001.0776,bumps
1491002,0.0088,0.0434,0.9920,0.3500,0.1925,0.3063,1001.0813,bumps
1491062,0.0113,0.0495,0.9970,-0.0350,-0.0262,0.3237,1001.0779,bumps
1491122,0.0115,0.0434,0.9953,0.3587,0.0875,0.3150,1001.0708,bumps
1491182,0.0069,0.0556,0.9935,-0.0787,0.2450,0.1925,1001.0698,bumps
1491242,0.0040,0.0449,0.9941,0.5863,0.3587,0.1488,1001.0735,bumps
1491302,-0.0273,0.0454,0.9889,0.0175,0.4462,0.2450,1001.0647,bumps
1491362,-0.0603,0.0419,0.9990,-0.2275,1.1200,0.4112,1001.0732,bumps
1491422,-0.0998,0.0413,1.0002,0.0787,1.2337,0.3237,1001.0686,bumps
1491482,-0.1236,0.0447,1.0009,0.2013,1.4175,0.3500,1001.0737,bumps
1491542,-0.1280,0.0406,0.9948,0.2100,0.9712,0.2450,1001.0730,bumps
1491602,-0.1291,0.0403,0.9977,0.1225,0.7962,0.2887,1001.0696,bumps
1491662,-0.1288,0.0412,0.9967,0.1663,0.4812,0.3850,1001.0735,bumps
1491722,-0.1279,0.0410,0.9928,-0.0175,-0.0613,0.5337,1001.0691,bumps
1491782,-0.1274,0.0411,0.9855,0.2013,-0.0700,0.5163,1001.0696,bumps
1491842,-0.1284,0.0407,0.9899,0.3500,-0.0875,0.4812,1001.0669,bumps
1491902,-0.1212,0.0388,0.9884,-0.0350,0.0175,0.4900,1001.0723,bumps
1491962,-0.1210,0.0520,0.9950,0.0613,0.2188,0.6737,1001.0657,bumps
1492022,-0.1233,0.0304,0.9953,0.0700,0.3150,0.8575,1001.0737,bumps
1492082,-0.1174,0.0365,1.0004,0.1575,0.3587,0.7175,1001.0784,bumps
1492142,-0.1205,0.0320,0.9969,0.2100,0.2537,0.7262,1001.0659,bumps
1492202,-0.1112,0.0365,0.9828,0.3150,-0.0875,0.7875,1001.0735,bumps
1492262,-0.1286,0.0342,0.9714,0.0613,0.4112,0.9625,1001.0679,bumps
1492322,-0.1213,0.0290,0.9938,0.3500,0.4725,0.9100,1001.0725,bumps
1492382,-0.1064,0.0529,1.0063,0.4462,0.3413,0.7788,1001.0793,bumps
1492442,-0.1054,0.0220,1.0041,0.0962,0.4462,0.9013,1001.0728,bumps
1492502,-0.1016,0.0407,0.9933,-0.0262,-0.2013,0.9712,1001.0713,bumps
1492562,-0.1010,0.0537,1.0084,-0.0700,0.1225,0.9187,1001.0640,bumps
1492622,-0.0939,0.0190,0.9877,-0.2362,0.0875,1.0850,1001.0596,bumps
1492682,-0.0935,0.0375,0.9958,0.0613,0.0088,0.9362,1001.0667,bumps
1492742,-0.0761,0.0393,0.9958,0.4900,-0.1663,0.7700,1001.0574,bumps
1492802,-0.0615,0.0268,0.9847,-0.0700,-0.3675,0.8838,1001.0701,bumps
1492862,-0.0662,0.0313,0.9808,0.0962,0.5337,0.8487,1001.0693,bumps
1492922,-0.0287,0.0620,1.0124,-0.1663,0.2100,0.8138,1001.0603,bumps
1492982,-0.0298,0.0331,0.9904,0.0613,-0.0262,1.0150,1001.0586,bumps
1493042,-0.0390,0.0586,0.9857,0.0875,-0.3762,0.8575,1001.0608,bumps
1493102,-0.0085,0.0537,0.9714,-0.0262,-0.8313,0.5863,1001.0610,bumps
1493162,-0.0039,0.0390,0.9841,-0.0613,-0.2100,0.4112,1001.0544,bumps
1493222,0.0007,0.0437,1.0002,0.0525,0.0000,0.5075,1001.0674,bumps
1493282,0.1681,0.0259,1.0721,-0.4900,0.5775,0.6300,1001.0732,bumps
1493342,0.1552,0.0796,1.1632,-0.6212,3.9025,0.7088,1001.0754,bumps
1493402,0.0974,0.0249,1.0862,-1.4262,7.5075,0.6650,1001.0715,bumps
1493462,0.0224,0.0318,0.9866,-0.8487,8.1462,0.7437,1001.0730,bumps
1493522,-0.0644,0.0473,0.8767,0.1750,6.2475,0.2450,1001.0493,bumps
1493582,-0.0524,0.0173,0.8369,-0.0350,2.5550,0.0350,1001.0518,bumps
1493642,-0.1007,0.0264,0.8191,0.5425,-1.5050,0.2713,1001.0454,bumps
1493702,-0.0959,0.0154,0.8333,1.8813,-4.9437,0.5512,1001.0493,bumps
1493762,-0.1196,0.0244,0.8577,2.2050,-7.9363,0.7437,1001.0469,bumps
1493822,-0.0597,0.0540,0.9324,0.9887,-10.1412,0.5863,1001.0576,bumps
1493882,-0.0015,0.0817,1.0131,0.2713,-10.1938,0.5250,1001.0659,bumps
1493942,0.0371,0.0327,1.1619,-0.2275,-7.2013,0.7788,1001.0796,bumps
1494002,0.0278,0.0450,1.2381,-2.0912,-1.4525,0.4462,1001.1001,bumps
1494062,0.0486,0.0271,1.1724,-1.2075,3.9987,0.3500,1001.0872,bumps
1494122,0.0392,-0.0159,1.0488,-1.2075,5.3637,0.9100,1001.0815,bumps
1494182,-0.0298,0.0221,0.9093,-0.3587,4.6813,1.1988,1001.0640,bumps
1494242,0.0077,0.0312,0.9036,1.2075,2.4237,1.7150,1001.0632,bumps
1494302,-0.0283,0.0068,0.8914,1.3388,-0.3938,1.9250,1001.0618,bumps
1494362,0.0007,0.0324,0.9801,2.1350,0.0962,1.6275,1001.0447,bumps
1494422,-0.0131,0.0776,0.9721,2.2925,-1.1375,1.0237,1001.0525,bumps
1494482,0.0232,0.0836,1.0100,1.0412,-1.0762,1.0325,1001.0518,bumps
1494542,0.0142,0.0818,1.0307,-0.5425,-0.3938,0.7875,1001.0605,bumps
1494602,0.0190,0.0784,1.0202,-0.6388,0.0437,0.6125,1001.0615,bumps
1494662,0.0098,0.0406,1.0033,-1.5225,-0.0437,0.4375,1001.0608,bumps
1494722,0.0063,0.0070,1.0226,-0.8925,0.2013,0.1488,1001.0654,bumps
1494782,0.0029,0.0178,1.0011,0.2362,0.7613,0.1225,1001.0605,bumps
