timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
938342,0.0102,0.0115,0.9944,0.2275,0.1925,0.1925,1001.3916,hard_accel_decel
938402,0.0109,0.0102,0.9941,0.1838,0.0875,0.2100,1001.3972,hard_accel_decel
938462,0.0103,0.0110,0.9951,0.3063,0.0875,0.2362,1001.4065,hard_accel_decel
938522,0.0070,0.0066,1.0011,0.0525,0.1312,0.2975,1001.3806,hard_accel_decel
938582,0.0080,0.0196,1.0114,0.3762,0.2887,0.2450,1001.3872,hard_accel_decel
938642,0.0132,0.0182,0.9970,0.2713,0.4900,0.2188,1001.4026,hard_accel_decel
938702,0.0037,0.0102,0.9921,0.0962,0.1838,0.2100,1001.3984,hard_accel_decel
938762,0.0083,0.0118,0.9903,0.2100,-0.0437,0.2100,1001.3926,hard_accel_decel
938822,0.0075,0.0081,0.9922,0.1488,0.1750,0.2188,1001.3872,hard_accel_decel
938882,0.0093,0.0121,0.9950,0.1312,-0.0088,0.2975,1001.3982,hard_accel_decel
938942,0.0127,0.0102,0.9985,0.2537,0.1225,0.2275,1001.3911,hard_accel_decel
939002,0.0102,0.0124,0.9965,0.2713,0.0525,0.2362,1001.4045,hard_accel_decel
939062,0.0084,0.0113,0.9947,0.2013,0.1312,0.2887,1001.3938,hard_accel_decel
939122,0.0098,0.0112,0.9938,0.2713,0.1838,0.2450,1001.3923,hard_accel_decel
939182,0.0097,0.0096,0.9953,0.1663,0.0875,0.2188,1001.3982,hard_accel_decel
939242,0.0103,0.0117,0.9959,0.1663,0.1663,0.2362,1001.3972,hard_accel_decel
939302,0.0027,0.0085,0.9855,0.1050,-0.0700,0.1925,1001.3796,hard_accel_decel
939362,0.0088,0.0118,0.9931,0.2362,0.0613,0.2800,1001.3950,hard_accel_decel
939422,0.0095,0.0097,0.9943,0.1838,0.2275,0.1925,1001.3914,hard_accel_decel
939482,0.0056,0.0112,0.9958,0.2362,0.1663,0.2362,1001.4092,hard_accel_decel
939542,0.0117,0.0110,0.9923,0.2100,0.1400,0.2713,1001.3916,hard_accel_decel
939602,-0.0154,0.0077,0.9916,0.0787,0.3237,0.1925,1001.4016,hard_accel_decel
939662,-0.0400,0.0025,0.9941,0.1838,0.5775,0.2013,1001.3870,hard_accel_decel
939722,-0.0870,0.0137,0.9884,0.2537,0.7962,0.2188,1001.3843,hard_accel_decel
939782,-0.1308,-0.0056,0.9905,0.0875,1.2775,0.2887,1001.4053,hard_accel_decel
939842,-0.1935,0.0005,1.0022,0.1312,1.9688,0.2275,1001.3911,hard_accel_decel
939902,-0.2039,0.0038,0.9986,-0.0962,1.9338,0.2013,1001.3940,hard_accel_decel
939962,-0.2123,-0.0012,0.9906,0.0175,1.3038,0.2887,1001.4019,hard_accel_decel
940022,-0.2166,0.0049,0.9948,0.1575,0.6300,0.3237,1001.3970,hard_accel_decel
940082,-0.2149,-0.0087,0.9929,0.1925,0.3150,0.4725,1001.3926,hard_accel_decel
940142,-0.2193,-0.0101,0.9860,0.1312,-0.0175,0.5075,1001.3984,hard_accel_decel
940202,-0.2330,-0.0110,0.9913,0.2625,-0.0875,0.5512,1001.3972,hard_accel_decel
940262,-0.2520,-0.0063,0.9767,0.5163,0.3762,0.4462,1001.3855,hard_accel_decel
940322,-0.2772,-0.0148,0.9789,0.4550,0.7962,0.3762,1001.3860,hard_accel_decel
940382,-0.2999,-0.0234,0.9847,0.7000,1.1025,0.2275,1001.3865,hard_accel_decel
940442,-0.3138,0.0137,0.9942,0.4725,1.0762,0.4112,1001.3921,hard_accel_decel
940502,-0.3254,-0.0051,1.0021,0.0700,0.9712,0.8750,1001.3806,hard_accel_decel
940562,-0.3330,-0.0144,0.9892,-0.5775,0.5337,0.8662,1001.3884,hard_accel_decel
940622,-0.3402,-0.0335,0.9889,-0.5688,0.5512,0.5250,1001.3743,hard_accel_decel
940682,-0.3084,-0.0373,1.0188,-0.2013,-0.1488,0.6562,1001.3779,hard_accel_decel
940742,-0.3738,-0.0053,1.0341,0.4288,0.6037,0.5425,1001.3787,hard_accel_decel
940802,-0.4089,-0.0152,0.9221,1.0063,0.6650,0.8750,1001.3694,hard_accel_decel
940862,-0.3214,-0.1027,1.0482,-0.0262,-0.4725,1.0412,1001.3684,hard_accel_decel
940922,-0.3803,-0.0245,0.8990,1.7587,-0.7525,0.9800,1001.3677,hard_accel_decel
940982,-0.4271,0.0252,0.9672,-0.5163,1.4963,1.0150,1001.3623,hard_accel_decel
941042,-0.3789,0.0129,1.1068,-0.3587,0.6650,1.4088,1001.3501,hard_accel_decel
941102,-0.4230,-0.1311,1.0214,0.1488,1.8900,1.5050,1001.3391,hard_accel_decel
941162,-0.4501,-0.0110,0.9474,0.2100,0.5425,1.5575,1001.3354,hard_accel_decel
941222,-0.3570,-0.0054,0.9504,-0.4025,-0.9362,0.8138,1001.3323,hard_accel_decel
941282,-0.4060,-0.0788,0.9517,1.4000,0.2975,1.0762,1001.3169,hard_accel_decel
941342,-0.4524,-0.0483,0.9526,-0.3413,0.0088,1.2687,1001.3142,hard_accel_decel
941402,-0.3725,0.0027,0.9191,-0.0962,-0.9450,1.4963,1001.3005,hard_accel_decel
941462,-0.4529,0.0083,0.8689,2.2400,-0.8400,1.2337,1001.2969,hard_accel_decel
941522,-0.3092,-0.0342,1.0264,-1.7413,-0.5425,0.9625,1001.2847,hard_accel_decel
941582,-0.2943,0.0524,0.9875,-1.2513,0.5863,0.8313,1001.2793,hard_accel_decel
941642,-0.3126,-0.0627,0.9074,0.5863,-0.2100,1.1200,1001.2644,hard_accel_decel
941702,-0.3503,0.1134,0.9477,2.1437,0.4812,0.8750,1001.2593,hard_accel_decel
941762,-0.3070,0.0149,1.0447,0.0787,2.9313,0.7262,1001.2566,hard_accel_decel
941822,-0.4119,-0.0381,0.8950,-0.1400,-0.8925,1.1638,1001.2412,hard_accel_decel
941882,-0.3809,0.0262,1.0084,0.9450,-0.7088,0.5075,1001.2261,hard_accel_decel
941942,-0.3369,-0.0239,0.8522,0.4812,-2.1350,0.0613,1001.2173,hard_accel_decel
942002,-0.3289,0.0664,1.0392,3.0800,0.0088,0.0613,1001.2046,hard_accel_decel
942062,-0.2469,0.0149,1.1362,0.8925,0.2625,0.3413,1001.1978,hard_accel_decel
942122,-0.3667,0.0978,1.0300,1.2775,1.2775,0.6913,1001.1790,hard_accel_decel
942182,-0.3733,0.1083,0.9482,-3.0363,-0.4638,0.6562,1001.1824,hard_accel_decel
942242,-0.3599,-0.0718,0.7935,-1.9863,-0.1050,0.6825,1001.1797,hard_accel_decel
942302,-0.4307,-0.0569,0.8067,1.2075,-0.5337,-0.2537,1001.1687,hard_accel_decel
942362,-0.3980,-0.0857,0.8886,-3.1588,-2.5025,0.0875,1001.1489,hard_accel_decel
942422,-0.3257,-0.0224,0.9914,2.2050,1.2600,0.2800,1001.1296,hard_accel_decel
942482,-0.4494,0.0742,0.9238,2.5550,0.9800,-0.1050,1001.1174,hard_accel_decel
942542,-0.3799,-0.0888,0.9514,-1.6712,-3.0800,0.2975,1001.1169,hard_accel_decel
942602,-0.3258,-0.0188,1.0319,0.7262,-0.7613,-0.1575,1001.1050,hard_accel_decel
942662,-0.3201,0.0378,1.0100,2.4850,-1.5925,-0.1138,1001.0916,hard_accel_decel
942722,-0.2960,0.0734,1.0370,-3.0275,1.6187,0.3063,1001.0754,hard_accel_decel
942782,-0.3631,-0.0739,0.9146,0.7525,-1.2862,0.4025,1001.0793,hard_accel_decel
942842,-0.3380,0.0225,0.9776,1.1550,0.0962,0.6913,1001.0681,hard_accel_decel
942902,-0.2332,0.1188,1.1585,-1.8813,1.1900,0.3675,1001.0505,hard_accel_decel
942962,-0.3652,-0.0724,0.9750,-1.6187,1.0500,0.0875,1001.0574,hard_accel_decel
943022,-0.4092,-0.0224,0.9995,-0.7788,1.5050,-0.2013,1000.9995,hard_accel_decel
943082,-0.4219,-0.0265,0.8092,0.1575,-1.6100,-0.2800,1000.9946,hard_accel_decel
943142,-0.3129,0.0209,0.9911,0.3762,-0.8225,0.0350,1000.9822,hard_accel_decel
943202,-0.2940,-0.0673,0.9631,3.8675,-1.7237,0.5250,1000.9966,hard_accel_decel
943262,-0.4027,-0.0337,0.7303,-2.9050,-0.2275,0.6475,1000.9673,hard_accel_decel
943322,-0.2408,-0.1381,0.9775,-2.4675,-0.2975,1.1550,1000.9775,hard_accel_decel
943382,-0.3528,0.0761,1.0008,-3.0625,-0.3675,0.7175,1000.9863,hard_accel_decel
943442,-0.2089,0.1876,0.8455,-3.2550,-1.3125,0.1488,1000.9380,hard_accel_decel
943502,-0.1398,-0.0368,1.3381,6.1687,6.3787,1.6537,1000.9709,hard_accel_decel
943562,-0.3729,0.2364,1.0389,10.2200,7.9625,0.3762,1000.9390,hard_accel_decel
943622,-0.3231,0.2353,1.1882,-0.4288,4.0338,1.5050,1000.9353,hard_accel_decel
943682,-0.4418,0.0712,0.8606,-3.0100,-0.8575,0.9975,1000.9280,hard_accel_decel
943742,-0.1825,0.0814,1.2534,-3.1762,-5.1800,-0.4550,1000.9163,hard_accel_decel
943802,-0.3897,0.0986,1.0138,4.5938,-4.0600,-0.2625,1000.9177,hard_accel_decel
943862,-0.3381,-0.0807,1.1048,2.2487,-0.0700,-0.4375,1000.8667,hard_accel_decel
943922,-0.4192,0.1188,0.6307,-1.0150,-3.7013,-1.0412,1000.8430,hard_accel_decel
943982,-0.2805,0.1581,0.8359,-4.7075,0.6737,-0.5075,1000.8105,hard_accel_decel
944042,-0.4473,-0.0235,0.7925,-2.9225,4.4450,-0.2450,1000.8154,hard_accel_decel
944102,-0.2463,0.0830,1.1951,-0.9538,1.3475,0.4112,1000.8242,hard_accel_decel
944162,-0.3084,0.0078,1.0231,0.5512,-4.3313,-0.0175,1000.7893,hard_accel_decel
944222,-0.2366,-0.1125,1.0997,2.0475,-0.0875,-0.3500,1000.7856,hard_accel_decel
944282,-0.2953,0.0453,1.0182,2.7650,-1.4787,-0.2537,1000.7559,hard_accel_decel
944342,-0.3331,-0.0979,0.9848,-0.7088,3.0013,-0.8050,1000.7532,hard_accel_decel
944402,-0.3211,0.0715,1.0792,0.0875,0.4988,0.1925,1000.7207,hard_accel_decel
944462,-0.2836,0.0547,0.9750,-0.9013,0.2625,-0.7875,1000.7222,hard_accel_decel
944522,-0.2996,0.0222,0.9882,3.3163,0.1663,-0.6300,1000.6987,hard_accel_decel
944582,-0.3612,0.0300,0.8967,4.0687,0.6737,-1.2250,1000.7031,hard_accel_decel
944642,-0.2369,0.0617,1.2063,-1.3650,2.0563,-0.5600,1000.7065,hard_accel_decel
944702,-0.2664,0.0615,0.9723,1.2337,-1.3650,-0.2450,1000.6855,hard_accel_decel
944762,-0.2333,0.0611,1.0304,-2.1962,2.4762,-1.0500,1000.6489,hard_accel_decel
944822,-0.2308,0.0502,1.0961,-1.7938,-3.8412,-0.1663,1000.6235,hard_accel_decel
944882,-0.2802,0.0331,0.9153,1.3825,-2.2487,0.1488,1000.6516,hard_accel_decel
944942,-0.2628,-0.0510,1.0279,-2.1350,-1.9338,0.0613,1000.6326,hard_accel_decel
945002,-0.2120,-0.0296,0.9537,-3.1500,-1.3650,1.0325,1000.6260,hard_accel_decel
945062,-0.2103,0.0478,1.0286,2.9137,-0.9975,0.6562,1000.6047,hard_accel_decel
945122,-0.1732,-0.0297,1.1338,1.0325,1.9250,0.1312,1000.5886,hard_accel_decel
945182,-0.2098,-0.0486,1.1139,2.8612,1.2862,0.0350,1000.5608,hard_accel_decel
945242,-0.2609,0.0181,0.9658,2.5025,-3.0538,0.0962,1000.5615,hard_accel_decel
945302,-0.2682,0.0912,1.0646,3.6225,-0.1225,0.4375,1000.5444,hard_accel_decel
945362,-0.3145,-0.0518,0.7886,1.2425,-1.3737,0.5250,1000.5298,hard_accel_decel
945422,-0.1839,0.1735,1.0527,0.4375,-3.8588,-0.1925,1000.4878,hard_accel_decel
945482,-0.1584,0.0481,1.0265,-0.9013,-5.0925,0.5425,1000.4937,hard_accel_decel
945542,-0.3321,-0.0730,0.7960,-0.9625,-1.2250,0.6475,1000.4700,hard_accel_decel
945602,-0.2406,-0.1330,0.9031,-2.0475,-2.0912,0.2188,1000.4463,hard_accel_decel
945662,-0.2171,-0.0026,0.9506,0.3413,-5.1013,0.5163,1000.4246,hard_accel_decel
945722,-0.1909,-0.0852,0.8901,-0.3500,-0.6212,0.3150,1000.4258,hard_accel_decel
945782,-0.1239,0.0427,1.0321,1.7062,1.3913,0.3150,1000.3735,hard_accel_decel
945842,-0.2062,0.1398,1.0970,1.3475,2.2750,0.4900,1000.3848,hard_accel_decel
945902,-0.1272,-0.0281,0.9592,-0.9975,-3.9288,1.0063,1000.3823,hard_accel_decel
945962,-0.0244,0.1938,1.2583,1.6450,-1.7675,0.3413,1000.3772,hard_accel_decel
946022,-0.1395,0.1050,1.1153,0.5512,1.4525,0.1050,1000.3643,hard_accel_decel
946082,-0.1305,-0.0500,0.9875,-2.3012,-3.0100,0.3325,1000.3433,hard_accel_decel
946142,-0.1144,-0.0475,0.9906,1.1900,-5.0750,0.2800,1000.3628,hard_accel_decel
946202,-0.0035,0.1284,1.1158,0.6913,-5.2500,0.1488,1000.3115,hard_accel_decel
946262,-0.1017,-0.0389,0.9155,1.9775,-1.0150,0.4200,1000.2800,hard_accel_decel
946322,0.0317,0.1662,1.0953,0.1663,-0.4375,0.1663,1000.2698,hard_accel_decel
946382,0.0247,0.0252,1.0407,2.3537,-2.8788,0.2100,1000.2532,hard_accel_decel
946442,-0.0029,-0.0146,1.2229,3.5700,2.8175,0.0787,1000.2310,hard_accel_decel
946502,-0.0791,-0.0351,0.8355,0.0875,-3.6750,-0.2975,1000.2622,hard_accel_decel
946562,0.0331,-0.0588,1.1020,2.8875,0.0962,-0.4375,1000.2549,hard_accel_decel
946622,0.0742,0.0288,1.0543,-0.1488,0.2450,0.2800,1000.2869,hard_accel_decel
946682,0.0631,-0.0754,0.9755,0.5688,-0.0525,0.2362,1000.2710,hard_accel_decel
946742,0.0051,0.0207,0.9740,-0.6913,1.0675,0.4462,1000.3030,hard_accel_decel
946802,-0.0051,-0.0395,0.8940,-0.2975,-3.5175,0.3850,1000.3020,hard_accel_decel
946862,0.1386,0.1562,1.1322,-0.0525,3.9987,-0.4725,1000.2727,hard_accel_decel
946922,0.0439,0.0498,0.9936,1.1200,1.8550,-0.1225,1000.2795,hard_accel_decel
946982,0.0759,0.0500,0.9190,0.3587,-1.7587,0.3413,1000.2793,hard_accel_decel
947042,-0.0195,0.1685,0.9446,-0.9187,-0.3675,0.2537,1000.2844,hard_accel_decel
947102,-0.0422,0.0199,0.8945,-0.9275,-2.7300,0.1575,1000.2949,hard_accel_decel
947162,0.0295,-0.0419,1.0065,-1.6363,2.6163,0.1838,1000.3381,hard_accel_decel
947222,0.1462,0.0947,1.1147,-0.0700,2.7825,0.5775,1000.3127,hard_accel_decel
947282,0.0197,0.0947,0.8555,0.9625,-4.4800,-0.3063,1000.3418,hard_accel_decel
947342,0.0215,0.0998,0.9399,2.6512,-1.4787,-0.1400,1000.3313,hard_accel_decel
