timestamp,a_x,a_y,a_z,dps_x,dps_y,dps_z,pressure,target
784862,0.0024,0.0215,0.9929,0.2800,0.1312,0.2188,1001.0310,right_u_turn
784922,0.0046,0.0217,0.9923,0.1838,0.1575,0.1225,1001.0298,right_u_turn
784982,0.0027,0.0229,0.9977,0.2275,0.2362,0.1838,1001.0300,right_u_turn
785042,0.0014,0.0234,0.9986,0.2013,0.2275,0.2188,1001.0266,right_u_turn
785102,0.0002,0.0212,0.9920,0.1400,0.0613,0.2362,1001.0273,right_u_turn
785162,0.0001,0.0221,0.9889,0.3413,0.0962,0.1925,1001.0356,right_u_turn
785222,0.0005,0.0247,0.9933,0.3063,0.0175,0.2537,1001.0293,right_u_turn
785282,0.0029,0.0268,0.9987,0.1750,0.0262,0.2100,1001.0354,right_u_turn
785342,0.0020,0.0240,0.9952,0.1050,0.0262,0.2188,1001.0273,right_u_turn
785402,0.0038,0.0249,0.9941,0.1050,-0.0262,0.2887,1001.0417,right_u_turn
785462,0.0031,0.0239,0.9940,0.0700,0.2100,0.2450,1001.0442,right_u_turn
785522,0.0056,0.0268,0.9944,0.3587,0.0700,0.1750,1001.0239,right_u_turn
785582,-0.0047,0.0296,0.9970,0.7613,0.6650,0.2188,1001.0356,right_u_turn
785642,0.0051,0.0300,0.9999,0.1925,0.0437,0.2275,1001.0354,right_u_turn
785702,0.0038,0.0317,0.9933,0.3500,0.3850,0.1925,1001.0295,right_u_turn
785762,0.0053,0.0214,1.0019,0.1838,0.0613,0.2188,1001.0320,right_u_turn
785822,0.0015,0.0288,0.9972,0.3938,0.2975,0.2013,1001.0322,right_u_turn
785882,0.0007,0.0182,0.9930,0.1312,0.1225,0.2100,1001.0337,right_u_turn
785942,0.0020,0.0249,0.9897,0.1488,0.1138,0.2450,1001.0220,right_u_turn
786002,-0.0003,0.0203,0.9872,0.2800,0.0962,0.1838,1001.0281,right_u_turn
786062,0.0076,0.0286,0.9762,0.0787,-0.5163,0.2450,1001.0215,right_u_turn
786122,0.0080,0.0314,0.9820,-0.0700,-0.4900,0.2713,1001.0300,right_u_turn
786182,0.0132,0.0254,0.9928,0.2362,0.2100,0.3063,1001.0342,right_u_turn
786242,0.0015,0.0227,0.9970,-0.0525,0.1575,0.1925,1001.0237,right_u_turn
786302,-0.0005,0.0223,0.9923,0.3762,0.0175,0.2013,1001.0383,right_u_turn
786362,0.0012,0.0119,0.9808,-0.2887,-0.3850,0.2625,1001.0347,right_u_turn
786422,0.0034,0.0371,0.9680,0.3413,-0.0525,0.1663,1001.0232,right_u_turn
786482,0.0031,0.0212,0.9928,0.0525,0.1750,0.1488,1001.0393,right_u_turn
786542,0.0032,0.0210,0.9982,0.1312,0.2100,0.2100,1001.0281,right_u_turn
786602,-0.0015,0.0247,0.9892,0.1312,0.1225,0.2800,1001.0334,right_u_turn
786662,0.0058,0.0256,1.0021,0.3063,0.1575,0.2362,1001.0334,right_u_turn
786722,-0.0054,0.0234,0.9953,0.2625,0.3500,0.2713,1001.0278,right_u_turn
786782,-0.0012,0.0140,0.9777,0.3500,0.2625,0.1925,1001.0266,right_u_turn
786842,-0.0166,0.0191,0.9906,0.1400,0.3237,0.2450,1001.0317,right_u_turn
786902,-0.0393,0.0295,0.9945,0.3762,0.6125,0.2450,1001.0310,right_u_turn
786962,-0.0588,0.0227,0.9944,0.0613,0.4812,0.2450,1001.0374,right_u_turn
787022,-0.0732,0.0184,0.9948,0.3587,0.6737,0.2625,1001.0312,right_u_turn
787082,-0.0925,0.0286,0.9941,0.2275,0.6475,0.1663,1001.0366,right_u_turn
787142,-0.1054,0.0235,0.9979,0.1575,0.5688,0.2100,1001.0349,right_u_turn
787202,-0.1201,0.0276,0.9941,0.2800,0.7175,0.2450,1001.0327,right_u_turn
787262,-0.1245,0.0237,0.9922,0.2625,0.6125,0.2537,1001.0288,right_u_turn
787322,-0.1247,0.0256,0.9944,0.2362,0.4375,0.2275,1001.0269,right_u_turn
787382,-0.1286,0.0242,0.9898,0.1750,0.2362,0.2013,1001.0376,right_u_turn
787442,-0.1326,0.0286,0.9903,0.3325,0.1488,0.1750,1001.0249,right_u_turn
787502,-0.1357,0.0244,0.9838,0.0175,0.0700,0.2713,1001.0337,right_u_turn
787562,-0.1441,0.0239,0.9909,0.2013,0.2362,0.2800,1001.0215,right_u_turn
787622,-0.1491,0.0281,0.9933,-0.0088,0.3325,0.2013,1001.0164,right_u_turn
787682,-0.1487,0.0259,0.9953,0.2188,0.4550,0.1663,1001.0183,right_u_turn
787742,-0.1463,0.0201,1.0028,0.1663,0.0875,0.1663,1001.0374,right_u_turn
787802,-0.1440,0.0354,1.0072,0.0000,0.3850,0.2450,1001.0295,right_u_turn
787862,-0.1586,0.0242,0.9875,-0.2013,0.0088,0.2800,1001.0330,right_u_turn
787922,-0.1491,0.0258,0.9879,0.0787,0.1138,0.1838,1001.0303,right_u_turn
787982,-0.1400,0.0353,0.9999,0.1488,0.2188,0.2713,1001.0208,right_u_turn
788042,-0.1257,0.0342,1.0133,-0.3500,-0.1225,0.3150,1001.0176,right_u_turn
788102,-0.1681,0.0335,0.9821,0.6125,0.3237,0.1050,1001.0254,right_u_turn
788162,-0.1382,0.0149,0.9826,0.3762,-0.0175,0.0437,1001.0364,right_u_turn
788222,-0.1283,0.0124,0.9941,0.4288,0.1663,0.3762,1001.0337,right_u_turn
788282,-0.1434,0.0264,0.9884,0.1050,-0.1488,0.5075,1001.0317,right_u_turn
788342,-0.1578,0.0107,0.9550,0.3325,-0.2713,0.1925,1001.0261,right_u_turn
788402,-0.1047,0.0495,1.0404,1.0063,-0.0962,0.3063,1001.0244,right_u_turn
788462,-0.1349,0.0471,1.0011,0.4375,0.7962,0.2713,1001.0312,right_u_turn
788522,-0.1337,0.0049,1.0070,-0.4462,0.0088,0.3500,1001.0273,right_u_turn
788582,-0.1298,0.0190,1.0040,-0.7000,-0.4025,0.4638,1001.0251,right_u_turn
788642,-0.1386,0.0278,0.9741,0.6913,-0.4375,0.1312,1001.0146,right_u_turn
788702,-0.1249,0.0368,1.0058,0.4725,0.4112,0.2537,1001.0198,right_u_turn
788762,-0.0996,0.0248,1.0309,0.0350,-0.4988,0.3762,1001.0278,right_u_turn
788822,-0.1327,0.0199,0.9717,0.8662,0.3675,0.1838,1001.0217,right_u_turn
788882,-0.1197,0.0344,1.0297,0.4288,0.7088,0.4288,1001.0056,right_u_turn
788942,-0.1239,0.0293,0.9648,0.3587,0.6212,0.2275,1001.0098,right_u_turn
789002,-0.1136,0.0013,0.9981,-0.7437,-0.0613,0.5425,1001.0115,right_u_turn
789062,-0.1532,0.0531,0.9782,0.5425,-1.0150,0.0613,1001.0115,right_u_turn
789122,-0.1029,0.0071,1.0282,0.3413,0.7962,0.0787,1001.0161,right_u_turn
789182,-0.0736,0.0549,1.0613,0.2100,0.4988,0.2362,1001.0054,right_u_turn
789242,-0.1064,0.0005,1.0156,-0.3325,0.3850,0.3938,1001.0103,right_u_turn
789302,-0.0986,0.0153,0.9877,-0.4200,-0.3675,0.4988,1001.0037,right_u_turn
789362,-0.1144,0.0254,0.9609,0.0962,0.5075,0.5425,1001.0044,right_u_turn
789422,-0.1338,0.0414,0.9672,0.6562,0.4638,0.3675,1001.0066,right_u_turn
789482,-0.0832,0.0323,1.0682,0.6562,0.6650,0.5950,1000.9937,right_u_turn
789542,-0.1596,0.0039,0.9240,-0.1050,1.0675,0.3237,1001.0039,right_u_turn
789602,-0.1174,-0.0168,0.9480,-0.5950,0.1312,0.6125,1000.9980,right_u_turn
789662,-0.1322,0.0065,0.9484,0.3762,-0.3237,0.9450,1000.9983,right_u_turn
789722,-0.0732,0.0435,1.0444,0.2013,-0.0262,1.1988,1001.0037,right_u_turn
789782,-0.1463,-0.0163,0.9016,-0.0350,0.5600,1.0675,1000.9890,right_u_turn
789842,-0.0871,0.0232,0.9760,0.9275,0.3325,0.9187,1000.9937,right_u_turn
789902,-0.1193,0.0486,0.9618,1.2513,-0.3150,0.4462,1000.9956,right_u_turn
789962,-0.0937,0.0752,0.9813,0.4638,0.1750,0.3675,1000.9949,right_u_turn
790022,-0.0608,0.0378,0.9708,0.1138,-0.6125,0.3500,1000.9939,right_u_turn
790082,-0.0500,0.0930,1.0567,0.1312,0.0000,0.4725,1000.9897,right_u_turn
790142,-0.0359,-0.0034,0.9909,-0.8400,0.5337,0.5950,1000.9976,right_u_turn
790202,-0.1310,-0.0078,0.9431,-1.2775,-1.4088,0.6825,1000.9814,right_u_turn
790262,-0.0960,0.0022,1.0114,0.7613,0.2362,0.0613,1000.9814,right_u_turn
790322,-0.1027,0.0263,0.9770,-0.2188,1.1375,0.3150,1000.9792,right_u_turn
790382,-0.0717,0.0347,0.9414,-0.5600,0.6212,0.2362,1000.9822,right_u_turn
790442,-0.0620,0.0661,1.0311,1.1200,-0.0962,0.1312,1000.9714,right_u_turn
790502,-0.0992,0.0258,0.9904,-0.6212,-0.8225,0.1663,1000.9773,right_u_turn
790562,-0.0722,0.0092,1.0508,1.6275,0.9013,0.2450,1000.9753,right_u_turn
790622,-0.0866,0.0637,0.9870,-0.4900,-0.6737,0.1750,1000.9685,right_u_turn
790682,-0.0588,0.0256,1.0873,0.7962,-0.5600,0.3850,1000.9783,right_u_turn
790742,-0.0415,0.0022,1.0494,0.6825,1.0063,0.4288,1000.9785,right_u_turn
790802,-0.0202,0.0383,1.0426,-0.6037,-0.4812,0.2275,1000.9768,right_u_turn
790862,-0.0593,-0.0049,1.0045,-0.1050,-0.9100,0.1750,1000.9734,right_u_turn
790922,-0.0752,0.0390,1.0266,0.6300,-0.4288,0.4812,1000.9785,right_u_turn
790982,-0.0739,0.0251,0.9441,-0.4462,0.0437,0.4200,1000.9746,right_u_turn
791042,-0.0695,-0.0060,0.9667,0.2100,-0.8925,0.4725,1000.9709,right_u_turn
791102,-0.0368,0.0146,0.9604,0.4462,0.2100,-0.0175,1000.9622,right_u_turn
791162,-0.0139,0.0140,1.0902,0.7175,1.9863,0.1312,1000.9697,right_u_turn
791222,-0.0549,-0.0290,0.9994,-0.1488,-0.3500,0.2188,1000.9741,right_u_turn
791282,-0.0539,0.0720,0.9898,-0.0875,0.2625,-0.1050,1000.9736,right_u_turn
791342,-0.0620,-0.0140,0.9608,-0.5337,-0.2537,0.4375,1000.9636,right_u_turn
791402,-0.0369,0.0845,0.9674,-0.3850,-0.9975,0.2975,1000.9634,right_u_turn
791462,-0.0876,-0.0085,0.9718,0.1750,-1.1900,0.3587,1000.9575,right_u_turn
791522,-0.1081,0.0163,0.8899,0.4900,-0.5775,0.2188,1000.9541,right_u_turn
791582,-0.0468,-0.0180,0.9367,-1.6187,-0.7875,0.1575,1000.9636,right_u_turn
791642,-0.0459,0.0557,1.0684,0.1575,1.4000,0.0613,1000.9514,right_u_turn
791702,-0.0803,-0.0032,0.9523,1.0850,0.3938,0.0175,1000.9526,right_u_turn
791762,-0.0624,-0.0101,0.9467,0.1400,-1.3563,0.2713,1000.9583,right_u_turn
791822,-0.0212,0.0694,1.0607,0.7088,-0.7525,0.5688,1000.9495,right_u_turn
791882,-0.0457,0.0068,0.9782,-1.6275,-0.4638,0.3500,1000.9470,right_u_turn
791942,-0.0073,0.0390,1.0800,2.3275,1.9075,0.2887,1000.9563,right_u_turn
792002,-0.0434,0.0705,0.9539,0.5775,0.7962,0.4112,1000.9492,right_u_turn
792062,-0.0456,0.0317,0.9201,-0.1400,-1.3388,0.3675,1000.9568,right_u_turn
792122,-0.0214,0.0939,1.0142,1.1025,0.9975,0.1925,1000.9436,right_u_turn
792182,-0.1152,0.0122,0.8799,-0.6737,1.0938,0.0700,1000.9573,right_u_turn
792242,-0.0747,-0.0127,1.0045,0.3762,-0.6825,0.3500,1000.9514,right_u_turn
792302,-0.1158,0.0444,0.9282,-0.8487,0.2188,0.2013,1000.9600,right_u_turn
792362,-0.0008,-0.0364,1.0592,-1.0938,-0.7525,0.3762,1000.9512,right_u_turn
792422,-0.0837,0.1081,0.9548,0.3938,0.6037,0.0175,1000.9517,right_u_turn
792482,0.0087,0.0212,1.0255,0.1925,-0.2975,0.1750,1000.9558,right_u_turn
792542,-0.0212,0.0203,1.0009,-0.3938,-0.8225,0.5600,1000.9395,right_u_turn
792602,-0.0752,0.0038,0.9170,0.8662,-0.2537,0.4200,1000.9309,right_u_turn
792662,-0.0818,-0.0115,0.9582,-0.7788,0.4200,0.1663,1000.9353,right_u_turn
792722,-0.0458,0.0167,0.9343,1.4612,0.6650,0.0525,1000.9363,right_u_turn
792782,0.0202,0.0237,1.0902,-0.3938,0.7700,0.2975,1000.9482,right_u_turn
792842,-0.0602,0.0689,1.0106,0.6212,-0.1225,0.4638,1000.9426,right_u_turn
792902,-0.0344,-0.0098,0.8954,-1.2950,0.2975,0.4288,1000.9370,right_u_turn
792962,-0.0415,0.0112,1.0314,0.4988,0.0700,0.4375,1000.9436,right_u_turn
793022,-0.0625,0.0454,0.9614,-0.2450,0.5163,0.6913,1000.9399,right_u_turn
793082,-0.0073,0.0886,1.1054,1.0325,2.5638,0.9013,1000.9468,right_u_turn
793142,-0.0691,0.0329,0.9494,-0.8487,1.8200,0.4025,1000.9309,right_u_turn
793202,-0.0683,-0.1140,0.8860,-1.7500,-1.4438,0.4112,1000.9480,right_u_turn
793262,-0.0132,0.0381,0.9845,0.3413,-1.1638,-0.2013,1000.9373,right_u_turn
793322,-0.0305,-0.0259,1.0917,0.0262,-0.1225,0.2100,1000.9492,right_u_turn
793382,-0.0098,-0.0284,1.0263,2.6337,0.0175,0.3850,1000.9468,right_u_turn
793442,-0.0281,0.0813,1.0482,0.4550,2.4850,0.4375,1000.9399,right_u_turn
793502,-0.0788,0.0087,0.9489,0.2625,2.7213,0.5075,1000.9375,right_u_turn
