duration,num_samples,accel_mag_mean,accel_mag_max,accel_mag_min,accel_mag_range,dps_mag_mean,dps_mag_max,dps_mag_min,dps_mag_range,a_x_mean,a_x_std,a_x_min,a_x_max,a_x_range,a_x_abs_max,a_x_delta,a_x_max_neighbor_diff,a_x_min_neighbor_diff,a_x_avg_neighbor_diff,a_x_max_gradient,a_x_min_gradient,a_x_num_peaks,a_x_zero_crossings,a_y_mean,a_y_std,a_y_min,a_y_max,a_y_range,a_y_abs_max,a_y_delta,a_y_max_neighbor_diff,a_y_min_neighbor_diff,a_y_avg_neighbor_diff,a_y_max_gradient,a_y_min_gradient,a_y_num_peaks,a_y_zero_crossings,a_z_mean,a_z_std,a_z_min,a_z_max,a_z_range,a_z_abs_max,a_z_delta,a_z_max_neighbor_diff,a_z_min_neighbor_diff,a_z_avg_neighbor_diff,a_z_max_gradient,a_z_min_gradient,a_z_num_peaks,a_z_zero_crossings,dps_x_mean,dps_x_std,dps_x_min,dps_x_max,dps_x_range,dps_x_abs_max,dps_x_delta,dps_x_max_neighbor_diff,dps_x_min_neighbor_diff,dps_x_avg_neighbor_diff,dps_x_max_gradient,dps_x_min_gradient,dps_x_num_peaks,dps_x_zero_crossings,dps_y_mean,dps_y_std,dps_y_min,dps_y_max,dps_y_range,dps_y_abs_max,dps_y_delta,dps_y_max_neighbor_diff,dps_y_min_neighbor_diff,dps_y_avg_neighbor_diff,dps_y_max_gradient,dps_y_min_gradient,dps_y_num_peaks,dps_y_zero_crossings,dps_z_mean,dps_z_std,dps_z_min,dps_z_max,dps_z_range,dps_z_abs_max,dps_z_delta,dps_z_max_neighbor_diff,dps_z_min_neighbor_diff,dps_z_avg_neighbor_diff,dps_z_max_gradient,dps_z_min_gradient,dps_z_num_peaks,dps_z_zero_crossings
2.4,41,1.0049694875017383,1.3837568102813442,0.799122087043025,0.5846347232383192,5.853739709695229,10.302141519121156,0.9938831369934796,9.308258382127676,-4.878048780487792e-05,0.065118461752222,-0.1089,0.1471,0.256,0.1471,0.0502,0.1251,-0.1001,0.0012549999999999,0.7836666666666677,-0.6946666666666664,1,3,0.0101585365853658,0.0467854196070194,-0.131,0.1405,0.2715,0.1405,-0.0173,0.0779,-0.1115,-0.0004325,0.4536666666666663,-0.6841666666666661,1,2,1.0019365853658535,0.1328696706477772,0.7991,1.3735,0.5743999999999999,1.3735,-0.1138,0.2253,-0.2375,-0.002845,1.3498333333333346,-1.7505000000000024,1,0,0.2277121951219512,2.651581243540835,-7.6912,4.2962,11.9874,7.6912,1.6975,3.1937000000000006,-4.9,0.0424375,34.08116666666672,-37.6248333333333,1,4,-1.0344170731707316,5.120359213614922,-8.5312,8.3912,16.9224,8.5312,5.4512,3.99,-4.3575,0.13628,33.060500000000005,-40.235333333333344,1,4,-1.2664048780487809,2.2314311389723884,-7.2537,0.945,8.1987,7.2537,-7.3762,0.9187,-1.1638,-0.184405,2.7271666666666707,-11.054333333333323,0,0
2.4,41,0.9921068244692044,1.3285937038839224,0.7714012380078217,0.5571924658761007,7.077997737521158,12.252862987073676,1.5657250524916564,10.68713793458202,0.0156756097560975,0.0654883912632147,-0.1288,0.1401,0.2689,0.1401,-0.0698,0.0814999999999999,-0.0657,-0.001745,0.8305,-0.6295000000000001,1,2,0.029470731707317,0.0599399209371452,-0.1356,0.2023,0.3379,0.2023,-0.0057,0.1159,-0.1472,-0.0001425,0.6345000000000007,-0.6758333333333335,1,4,0.9877414634146344,0.1474866315562359,0.7663,1.3211,0.5548,1.3211,0.2180999999999999,0.1652000000000001,-0.2065000000000001,0.0054524999999999,1.6666666666666687,-1.7354999999999974,1,0,0.587529268292683,3.8253919083045527,-7.8925,7.1137,15.0062,7.8925,-7.3063,5.285,-5.8363,-0.1826574999999999,45.13549999999999,-45.47066666666671,1,5,0.183109756097561,6.388648683282126,-8.8462,11.5588,20.405,11.5588,2.0037,4.5675,-6.2912,0.0500924999999999,49.58333333333328,-56.90416666666661,1,4,0.2471317073170731,1.161808353266369,-2.0825,2.52,4.6025,2.52,0.595,2.4499,-2.6425,0.0148749999999999,5.9063333333333405,-6.868666666666667,1,3
2.4,41,1.0039460966890323,1.281940252117859,0.745320213062815,0.5366200390550439,8.252649227266406,15.710067558416164,2.848832381871562,12.8612351765446,0.0205048780487804,0.064064966835313,-0.1154,0.1301,0.2455,0.1301,0.1311,0.1129999999999999,-0.0660999999999999,0.0032775,0.7765000000000007,-0.5501666666666666,1,3,0.0236390243902439,0.103429702885701,-0.213,0.2069,0.4199,0.213,-0.1636,0.1618,-0.1757,-0.00409,1.030999999999999,-1.0795000000000003,1,6,0.9964243902439024,0.1455156242134977,0.7415,1.2752,0.5336999999999998,1.2752,-0.1387,0.1795999999999999,-0.2022999999999999,-0.0034675,1.5290000000000008,-1.7361666666666675,1,0,-0.4093390243902438,6.248248450361031,-14.1488,9.835,23.9838,14.1488,3.9462,7.2712,-8.8812,0.0986549999999999,67.4333333333334,-64.77916666666675,1,5,-1.3007536585365853,6.0764873659087595,-9.4675,10.64,20.1075,10.64,9.59,4.6899999999999995,-5.512499999999999,0.23975,45.66049999999996,-54.30833333333338,1,4,0.2277073170731707,1.589721116169475,-2.73,3.5612,6.2912,3.5612,1.0062999999999998,2.975,-3.5613,0.0251575,7.014666666666667,-9.455,1,6
2.4,41,1.0030393436823035,1.318568348626646,0.7633510201735503,0.5552173284530957,8.23999612998449,15.545107184577402,2.904966717537397,12.640140467040004,0.0186756097560975,0.0631427501004185,-0.1143,0.1307,0.245,0.1307,0.1245,0.0753,-0.0613999999999999,0.0031124999999999,0.8040000000000007,-0.5988333333333331,1,3,0.0229463414634146,0.1076079553229243,-0.2313,0.2105,0.4417999999999999,0.2313,-0.1383,0.1412,-0.1792,-0.0034574999999999,1.112499999999999,-1.1381666666666654,1,6,0.995139024390244,0.134997707162101,0.7535,1.312,0.5585000000000001,1.312,-0.1155999999999999,0.1601999999999999,-0.1727999999999999,-0.0028899999999999,1.5043333333333306,-1.6758333333333368,1,0,-0.4266146341463414,6.575109386639928,-13.37,11.3488,24.7188,13.37,8.8025,8.015,-7.3238,0.2200625,72.4938333333334,-72.26066666666675,1,5,-1.184670731707317,5.790478360906114,-9.2575,10.2812,19.5387,10.2812,10.0101,4.4363,-5.4337,0.2502525,42.18949999999995,-51.0708333333334,1,4,0.169880487804878,1.5928347241976353,-3.1325,3.3338,6.4663,3.3338,0.4112,2.9311999999999996,-3.7013,0.0102799999999999,7.598166666666666,-11.387361111111112,1,4
2.4,41,1.0045952054454936,1.2863874416364611,0.7558411142561642,0.530546327380297,7.699430760096559,14.301138674245488,2.8553953106356396,11.445743363609848,0.0176073170731707,0.0624925371154184,-0.1276,0.1185,0.2460999999999999,0.1276,0.0949,0.1376,-0.0607,0.0023725,0.7721666666666671,-0.5706666666666667,1,2,0.0171780487804878,0.0979822267357583,-0.2027,0.2076,0.4103,0.2076,-0.0950999999999999,0.1173,-0.1754,-0.0023774999999999,1.0018333333333325,-1.0510000000000006,1,8,0.9978707317073172,0.1289499520044549,0.7535,1.279,0.5255,1.279,-0.1576,0.1765000000000001,-0.1621999999999999,-0.00394,1.3726666666666691,-1.6298333333333384,1,0,-0.1551536585365854,6.132509162288205,-11.3313,9.9487,21.28,11.3313,13.2388,6.9388,-7.1049999999999995,0.3309700000000001,67.55000000000007,-66.70416666666674,1,5,-0.9904536585365852,5.381529842437816,-8.8112,9.5725,18.383699999999997,9.5725,7.1487,4.3662,-5.5038,0.1787174999999999,41.314666666666625,-47.206333333333376,1,4,-0.249909756097561,1.5090635261321634,-3.78,3.185,6.965,3.78,0.175,3.0101,-3.8938,0.004375,6.722999999999993,-9.82204166666668,1,3
2.4,41,1.0077685712444997,1.291366632680278,0.7591690259751118,0.5321976067051661,7.96825999507834,14.207147712683218,3.165126044883521,11.042021667799698,0.0182609756097561,0.0647129194135482,-0.1086,0.1377,0.2463,0.1377,0.1073,0.1036,-0.0763,0.0026824999999999,0.7663333333333339,-0.5966666666666667,1,4,0.0250390243902439,0.0919134861651128,-0.1944,0.2225,0.4169,0.2225,-0.1457,0.1435,-0.1969,-0.0036425,0.9189999999999988,-0.9705000000000008,1,6,1.0013341463414631,0.1398763160970364,0.7584,1.2844,0.526,1.2844,-0.1067,0.1601000000000001,-0.2579,-0.0026675,1.4861666666666702,-1.6505000000000027,1,0,-0.3427365853658538,5.8922152750368895,-12.3462,9.5112,21.8574,12.3462,9.7912,6.203800000000001,-7.2624,0.24478,61.06033333333339,-62.970833333333424,1,5,-0.9789292682926832,5.987197989721231,-9.2575,10.6488,19.9063,10.6488,10.78,4.7688,-6.6675,0.2695000000000001,43.40016666666663,-51.81466666666671,1,4,-0.5275609756097561,1.6379944894409824,-3.4913,3.0275,6.5188,3.4913,0.7787000000000001,3.325,-3.7713,0.0194675,11.010555555555545,-10.9375,1,4
17.46,292,1.01345182158588,1.501999337549787,0.7231801020492751,0.7788192355005122,2.6178321428859816,8.279461660035633,0.286815498186552,7.99264616184908,0.0071160958904109,0.2123919004153057,-0.5446,0.4202,0.9648,0.5446,0.1984,0.243,-0.3112999999999999,0.0006817869415807,0.7740000000000037,-0.5779999999999954,1,1,0.0194746575342465,0.0809024178329827,-0.2605,0.3382,0.5987,0.3382,-0.0869,0.503,-0.4533,-0.0002986254295532,1.4130000000000005,-1.0445000000000018,5,67,0.9871715753424656,0.1259460563913528,0.5566,1.4942,0.9376,1.4942,-0.0408999999999999,0.7002999999999999,-0.7886,-0.0001405498281786,1.44516666666666,-1.6816666666666675,5,0,0.6609845890410959,1.8421377627018007,-5.6962,5.6788,11.375,5.6962,0.0962,7.28,-9.9924,0.0003305841924398,20.13966666666665,-25.43333333333331,5,24,-0.0959191780821917,2.117155921478356,-8.1812,6.0025,14.183700000000002,8.1812,-2.0737,11.0512,-9.3363,-0.0071261168384879,30.172666666666725,-23.041666666666817,4,49,-0.4476256849315069,0.6239741766986953,-4.8387,0.9362,5.774900000000001,4.8387,4.6287,1.7412,-2.1088,0.0159061855670103,12.0605,-4.797833333333332,4,0
23.52,393,1.018231618362479,1.6177487103997332,0.4853590217560605,1.1323896886436726,2.722798140209945,10.697757422936828,0.1918682881562245,10.505889134780604,0.0059185750636132,0.1726271169785666,-0.426,0.4072,0.8331999999999999,0.426,-0.0516,0.35,-0.3376,-0.0001316326530612,1.1061666666666654,-0.8261666666666843,3,12,0.0099531806615776,0.0808901964009616,-0.3201,0.2842,0.6043000000000001,0.3201,-0.0912,0.3332,-0.4417,-0.0002326530612244,0.8785000000000187,-1.1599999999999828,5,89,0.9998664122137404,0.132141651120377,0.2496,1.5763,1.3267,1.5763,0.1040999999999999,0.6369,-0.542,0.0002655612244897,1.6035000000000297,-1.4373333333333234,5,0,0.1445877862595419,2.0257601103907747,-6.8775,8.3387,15.2162,8.3387,0.1838,10.5874,-10.3775,0.0004688775510203,25.33133333333279,-17.922833333333045,5,57,0.1828165394402035,2.362436168926318,-6.4575,10.675,17.1325,10.675,-1.3825,14.7612,-11.1037,-0.0035267857142857,28.860499999999764,-30.72716666666664,5,77,-0.095984223918575,0.7325910106834193,-2.345,3.7625,6.1075,3.7625,-1.2600000000000002,1.9337,-2.0825,-0.0032142857142857,7.481166666666426,-12.498,3,2
25.26,422,1.0224248351376373,1.9983134839158745,0.523393819222199,1.4749196646936755,3.0325778139074404,12.80173440671224,0.2598853208628759,12.541849085849364,0.0090466824644549,0.1712225687609575,-0.4798,0.4694,0.9492,0.4798,0.1588,0.2856,-0.3814999999999999,0.0003771971496437,0.7921666666666698,-1.5051666666666672,2,11,0.0058016587677725,0.0825787117327839,-0.3767,0.327,0.7037,0.3767,0.1568999999999999,0.5657,-0.4082,0.0003726840855106,0.7421666666666675,-0.9984999999999988,5,114,1.0049383886255925,0.1446021533409564,0.5136,1.9419,1.4283,1.9419,0.0661000000000001,0.7221,-0.7114,0.0001570071258907,1.7213333333333178,-1.89916666666665,6,0,0.1844706161137441,2.2673911250187673,-8.5925,10.045,18.6375,10.045,-1.4874999999999998,10.0975,-12.3113,-0.0035332541567695,25.214666666666645,-25.141499999999983,6,57,0.3585630331753555,2.7763431413953006,-10.9462,11.9263,22.8725,11.9263,1.9776,13.3875,-14.3762,0.0046973871733967,37.93116666666663,-43.98349999999999,7,74,-0.0534957345971564,0.6334581708258554,-3.2462,2.0738,5.32,3.2462,-1.9162,2.3975,-2.0738,-0.0045515439429928,5.643666666666698,-8.078999999999848,5,2
30.96,517,0.999642929515652,1.5722075785340817,0.4032135290388952,1.1689940494951865,2.932172043687068,13.792841601352494,0.3901973090629919,13.4026442922895,0.007690328820116,0.1547949448304004,-0.3962,0.3672,0.7634000000000001,0.3962,0.041,0.2851,-0.3695,7.945736434108567e-05,0.8493333333333023,-0.8573333333333333,2,29,0.0096208897485493,0.0864542453527696,-0.3289,0.2763,0.6052,0.3289,-0.0545999999999999,0.3775,-0.5609000000000001,-0.0001058139534883,0.8461666666666722,-0.854000000000004,7,145,0.983592843326886,0.1462331202974845,0.3767,1.5575,1.1808,1.5575,-0.1184,0.6170999999999999,-0.9129,-0.000229457364341,1.838000000000016,-2.0916666666666934,8,0,0.0859773694390715,2.0773947588457733,-9.8612,6.93,16.7912,9.8612,-1.75,13.8599,-11.3575,-0.003391472868217,24.004333333332585,-25.258499999999792,7,64,0.1430615087040619,2.7264204124945057,-11.5763,13.545,25.1213,13.545,-2.3625,11.935,-16.1787,-0.004578488372093,38.791833333332946,-40.58566666666647,8,91,0.0234733075435203,0.6045464458398584,-1.8463,2.2313,4.0776,2.2313,0.7961999999999999,1.8113,-2.2225,0.0015430232558139,5.585500000000004,-4.28749999999997,5,0
