,label,accel_mag_mean,accel_mag_max,accel_mag_min,accel_mag_range,dps_mag_mean,dps_mag_max,dps_mag_min,dps_mag_range,a_x_mean,a_x_std,a_x_min,a_x_max,a_x_range,a_x_abs_max,a_x_delta,a_x_max_neighbor_diff,a_x_min_neighbor_diff,a_x_avg_neighbor_diff,a_x_max_gradient,a_x_min_gradient,a_x_zero_crossings,a_y_mean,a_y_std,a_y_min,a_y_max,a_y_range,a_y_abs_max,a_y_delta,a_y_max_neighbor_diff,a_y_min_neighbor_diff,a_y_avg_neighbor_diff,a_y_max_gradient,a_y_min_gradient,a_y_zero_crossings,a_z_mean,a_z_std,a_z_min,a_z_max,a_z_range,a_z_abs_max,a_z_delta,a_z_max_neighbor_diff,a_z_min_neighbor_diff,a_z_avg_neighbor_diff,a_z_max_gradient,a_z_min_gradient,a_z_zero_crossings,dps_x_mean,dps_x_std,dps_x_min,dps_x_max,dps_x_range,dps_x_abs_max,dps_x_delta,dps_x_max_neighbor_diff,dps_x_min_neighbor_diff,dps_x_avg_neighbor_diff,dps_x_max_gradient,dps_x_min_gradient,dps_x_zero_crossings,dps_y_mean,dps_y_std,dps_y_min,dps_y_max,dps_y_range,dps_y_abs_max,dps_y_delta,dps_y_max_neighbor_diff,dps_y_min_neighbor_diff,dps_y_avg_neighbor_diff,dps_y_max_gradient,dps_y_min_gradient,dps_y_zero_crossings,dps_z_mean,dps_z_std,dps_z_min,dps_z_max,dps_z_range,dps_z_abs_max,dps_z_delta,dps_z_max_neighbor_diff,dps_z_min_neighbor_diff,dps_z_avg_neighbor_diff,dps_z_max_gradient,dps_z_min_gradient,dps_z_zero_crossings
0,weave,0.9929812358712384,1.020165383651102,0.9414324457973604,0.07873293785374158,0.42483285202448473,1.6756878259389485,0.11447846959144763,1.561209356347501,0.018275000000000003,0.006810894909898714,-0.0005,0.0326,0.0331,0.0326,-0.0159,0.015300000000000001,-0.016499999999999997,-0.000836842105263158,0.007249999999999998,-0.016300000000000002,0,0.017049999999999996,0.010293252772159972,-0.0016,0.0432,0.0448,0.0432,-0.0078,0.0303,-0.0354,-0.0004105263157894734,0.021500000000000002,-0.0354,0,0.992595,0.01613301534774348,0.9414,1.0192,0.07780000000000009,1.0192,-0.05169999999999997,0.037800000000000056,-0.058499999999999996,-0.0027210526315789457,0.012700000000000045,-0.058499999999999996,0,0.22532999999999997,0.26308731610386854,-0.6475,0.7,1.3475,0.7,-0.8312999999999999,0.45499999999999996,-0.5337,-0.04375263157894736,0.24934999999999996,-0.5337,0,0.14918499999999998,0.34804680005182603,-0.14,1.5312,1.6711999999999998,1.5312,1.6449999999999998,1.5224,-0.455,0.08657894736842105,1.5224,-0.175,0,0.16714,0.05436465957335073,0.0088,0.28,0.27120000000000005,0.28,0.04369999999999999,0.2012,-0.1575,0.002299999999999998,0.2012,-0.09185,0
1,weave,0.9925573947782131,1.0062140378666957,0.9492351921415473,0.05697884572514844,0.3786874322920783,0.6297919815304097,0.18249813697679215,0.44729384455361754,0.01764,0.006502096827785229,-0.0008,0.0257,0.0265,0.0257,-0.012399999999999998,0.0265,-0.0249,-0.0006526315789473683,0.0092,-0.0174,0,0.015609999999999995,0.004143212585218841,0.0046,0.0253,0.0207,0.0253,-0.0002999999999999999,0.0207,-0.0126,-1.5789473684210522e-05,0.00465,-0.0054,0,0.9922499999999997,0.011604649703323314,0.9491,1.0058,0.05669999999999997,1.0058,-0.007900000000000018,0.046699999999999964,-0.04859999999999998,-0.0004157894736842115,0.024899999999999978,-0.01589999999999997,0,0.27474000000000004,0.15545183176791452,-0.0088,0.5337,0.5425,0.5337,0.20999999999999996,0.43749999999999994,-0.2713,0.011052631578947368,0.23184999999999997,-0.17934999999999998,0,0.08793999999999999,0.14594879563521043,-0.2537,0.3587,0.6124,0.3587,0.13130000000000003,0.4375,-0.6124,0.006910526315789463,0.2406,-0.1925,0,0.179825,0.05559160174172467,0.0962,0.3237,0.22749999999999998,0.3237,0.1137,0.2187,-0.07879999999999998,0.005984210526315791,0.2187,-0.06564999999999999,0
2,weave,1.001427773144677,1.0129446677879301,0.9904328144806188,0.022511853307311314,2.60997546823977,6.7955524337613635,0.4663905981042071,6.329161835657157,-0.087465,0.028772927242553255,-0.121,-0.008,0.11299999999999999,0.121,-0.0859,0.018600000000000005,-0.040100000000000004,-0.004521052631578947,0.018600000000000005,-0.034100000000000005,0,0.04107999999999999,0.019533765637992074,-0.001,0.0788,0.0798,0.0788,0.0798,0.0378,-0.0186,0.0042,0.0378,-0.011699999999999999,0,0.9961800000000002,0.0053803345620881335,0.9889,1.0055,0.01660000000000006,1.0055,0.015100000000000113,0.012899999999999912,-0.013699999999999934,0.0007947368421052691,0.011300000000000088,-0.007800000000000029,0,0.3198099999999999,0.24265121362499759,-0.0613,0.7262,0.7875,0.7262,0.7875,0.4988,-0.3675,0.041447368421052636,0.4988,-0.31495,0,0.41695000000000004,0.3121758554674626,0.0875,1.1463,1.0588000000000002,1.1463,-0.25370000000000004,0.4025,-0.4901000000000001,-0.013352631578947371,0.4025,-0.3631500000000001,0,-2.332755,2.2626104724352545,-6.755,0.2275,6.9825,6.755,-6.9825,0.0,-0.6563000000000003,-0.3675,-0.030649999999999997,-0.6124999999999998,0
3,weave,0.9995361846870097,1.039153646002361,0.9665658229008515,0.07258782310150946,14.074131388917095,19.060535008755654,7.49396507197625,11.566569936779404,-0.062685,0.023309751178423162,-0.0928,-0.022,0.0708,0.0928,0.03470000000000001,0.048999999999999995,-0.0349,0.001826315789473685,0.0241,-0.030699999999999998,0,0.094335,0.023183916271506212,0.0329,0.1383,0.10540000000000001,0.1383,0.06180000000000001,0.0461,-0.028999999999999998,0.003252631578947369,0.03175,-0.0266,0,0.9925650000000001,0.017421018007597953,0.9592,1.0345,0.07529999999999992,1.0345,0.0008000000000000229,0.07529999999999992,-0.05630000000000002,4.2105263157895944e-05,0.022749999999999992,-0.027849999999999986,0,0.020569999999999988,0.7101634897757885,-1.1287,1.0325,2.1612,1.1287,-2.0388,1.0937,-1.085,-0.10730526315789475,0.7174999999999999,-0.84875,0,-0.13082,0.38327311905412004,-0.7875,0.5337,1.3212,0.7875,-0.5162,1.0849,-1.2073999999999998,-0.027168421052631578,0.6606,-0.7087,0,-14.04986,3.819673343073917,-19.0312,-7.42,11.611199999999998,19.0312,-11.611199999999998,0.06130000000000102,-1.2599999999999998,-0.6111157894736842,-0.06119999999999948,-0.9756499999999999,0
4,weave,0.9918004681448525,1.037328607529938,0.8906610634803791,0.14666754404955884,10.65338355181339,18.949569972165598,1.0435738785538857,17.905996093611712,-0.05739000000000001,0.020592637928203983,-0.0842,-0.0059,0.0783,0.0842,0.06709999999999999,0.057499999999999996,-0.0606,0.0035315789473684208,0.057499999999999996,-0.01915,0,0.016825,0.05171062066416999,-0.0629,0.1169,0.17980000000000002,0.1169,-0.121,0.032200000000000006,-0.09340000000000001,-0.006368421052631579,0.021500000000000005,-0.05305,1,0.9884850000000001,0.035772692834501255,0.8854,1.035,0.14959999999999996,1.035,0.0845999999999999,0.09620000000000006,-0.11959999999999993,0.0044526315789473634,0.08449999999999991,-0.07089999999999996,0,-0.50225,1.0439269335693848,-2.5988,1.1113,3.7101,2.5988,0.12240000000000006,1.1463000000000003,-1.6538000000000004,0.006442105263157886,0.88375,-1.5138,0,-0.08618,0.6369570080509855,-1.155,1.155,2.31,1.155,-0.026300000000000004,1.7063,-2.31,-0.001384210526315789,0.88815,-0.96685,0,-10.392819999999999,6.603785679808372,-18.9263,0.98,19.9063,18.9263,19.9063,1.7236999999999991,0.29739999999999966,1.0477,1.6187499999999995,0.45500000000000185,0
5,weave,0.9969959373694843,1.0725830270892787,0.92773111406269,0.14485191302658862,14.768301260925938,23.781104870884366,2.4729549631968633,21.308149907687504,-0.017955,0.023971814041099448,-0.0622,0.0209,0.0831,0.0622,0.029,0.0679,-0.068,0.0015263157894736838,0.03315,-0.019999999999999997,0,-0.13709,0.050518593762984676,-0.2094,-0.0149,0.1945,0.2094,-0.1457,0.0703,-0.09040000000000001,-0.007668421052631579,0.0408,-0.08850000000000001,0,0.9856849999999999,0.04177677867957397,0.9035,1.0699,0.1664000000000001,1.0699,-0.013399999999999967,0.12759999999999994,-0.11390000000000011,-0.0007052631578947352,0.04585,-0.06595000000000006,0,0.028004999999999985,0.7413136295402272,-1.2775,1.1638,2.4413,1.2775,0.08750000000000008,2.1088,-2.1875,0.004605263157894762,1.0806,-1.3738,0,-0.24106,0.7625749270520379,-1.5225,1.155,2.6775,1.5225,-1.3388,1.7851,-2.2487,-0.07046315789473684,0.6649499999999999,-1.0194,0,14.710939999999999,6.92986512000585,2.135,23.7738,21.638800000000003,23.7738,21.638800000000003,1.8200000000000003,0.2187999999999981,1.138884210526316,1.6100000000000003,0.35440000000000005,0
6,weave,0.9974985915450478,1.053159370655743,0.9247445701381545,0.12841480051758847,24.317512388286378,25.5435256010207,20.685833242584163,4.8576923584365375,0.009319999999999998,0.022267290147800108,-0.0236,0.049,0.0726,0.049,-0.0337,0.0637,-0.0572,-0.0017736842105263158,0.0288,-0.03295,0,-0.149485,0.04011289692854407,-0.2389,-0.0737,0.1652,0.2389,0.05990000000000001,0.0803,-0.0945,0.0031526315789473687,0.0454,-0.0445,0,0.9852150000000002,0.03661139131041337,0.9068,1.0358,0.129,1.0358,-0.0796,0.10540000000000005,-0.12050000000000005,-0.004189473684210527,0.05545,-0.09510000000000007,0,0.87806,0.7181882610540146,-0.3938,2.2575,2.6513,2.2575,0.4724999999999999,1.3649,-1.3913,0.024868421052631585,0.9581,-0.6213000000000001,0,-0.20693,0.7936444531400696,-2.1437,1.0063,3.15,2.1437,-0.47259999999999996,2.5199,-3.15,-0.024873684210526315,1.5006,-1.33,0,24.277745,1.3176711503633978,20.6325,25.5325,4.899999999999999,25.5325,-3.745000000000001,0.46380000000000265,-1.3299999999999983,-0.19710526315789478,0.26250000000000107,-1.3299999999999983,0
7,weave,0.9990558432164474,1.1223182703671895,0.8977971318733425,0.22452113849384692,13.782767283261345,20.204816721514696,5.61278092303628,14.592035798478417,0.022275000000000003,0.027385241415193346,-0.0303,0.0744,0.10469999999999999,0.0744,-0.0466,0.0574,-0.049699999999999994,-0.0024526315789473695,0.031849999999999996,-0.0404,0,-0.04873000000000001,0.04019704231067649,-0.1296,0.0259,0.1555,0.1296,0.10769999999999999,0.0493,-0.06269999999999999,0.005668421052631579,0.033549999999999996,-0.013449999999999997,0,0.9965600000000002,0.06075647160677835,0.8948,1.117,0.22219999999999995,1.117,-0.10680000000000012,0.16070000000000007,-0.15659999999999996,-0.005621052631578954,0.0806,-0.10520000000000007,0,0.3382,0.586970938938117,-0.8575,1.5838,2.4413,1.5838,-0.7525,1.3825,-1.715,-0.03960526315789473,0.6869000000000001,-1.3038,0,0.26774499999999996,0.8175253033103206,-1.75,1.435,3.185,1.75,-1.1112,1.47,-1.7587,-0.05848421052631578,1.33875,-1.7587,0,13.734865,4.27866574459535,5.53,20.1775,14.647499999999997,20.1775,-14.647499999999997,0.09619999999999962,-1.33,-0.7709210526315788,-0.10940000000000083,-1.295,0
8,weave,0.992828158350207,1.0623960702111055,0.9173865379435214,0.14500953226758406,7.745562917769424,16.36238826180335,1.1938485582350886,15.16853970356826,0.024270000000000003,0.04269351115493831,-0.0654,0.089,0.15439999999999998,0.089,0.0634,0.0606,-0.0806,0.003336842105263157,0.034199999999999994,-0.0282,1,0.11492,0.06491312088598032,0.0371,0.2577,0.2206,0.2577,0.09,0.10929999999999998,-0.08349999999999999,0.004736842105263159,0.0331,-0.0464,0,0.9829600000000001,0.04181854788689368,0.9143,1.0492,0.1348999999999999,1.0492,-0.07589999999999997,0.11089999999999989,-0.1348999999999999,-0.003994736842105262,0.05345,-0.05624999999999997,0,1.091555,0.701971480508552,-0.6125,2.5375,3.1500000000000004,2.5375,-1.2162000000000002,2.4938000000000002,-1.9601,-0.06401052631578948,0.8706499999999999,-1.6625,0,-0.017064999999999976,0.9268875139127554,-2.17,1.8637,4.0337,2.17,-0.03489999999999993,2.6074,-1.9162,-0.0018368421052631426,1.1856499999999999,-1.7936999999999999,0,-6.37132,6.826876984513799,-16.3363,4.4538,20.790100000000002,16.3363,-20.790100000000002,0.22750000000000092,-2.0038,-1.0942157894736844,-0.3150000000000004,-1.5881,1
9,weave,0.9910260789275052,1.0595052854988503,0.9190738980082069,0.14043138749064332,20.267795351006665,21.4107332896377,17.41689601565101,3.993837273986692,0.032055,0.02003056808716959,-0.0017,0.0712,0.07289999999999999,0.0712,-0.004700000000000001,0.057499999999999996,-0.0588,-0.0002473684210526321,0.03145,-0.0205,0,0.168335,0.030864138191690847,0.0993,0.2283,0.129,0.2283,-0.04780000000000001,0.06509999999999999,-0.0912,-0.002515789473684211,0.033949999999999994,-0.06409999999999999,0,0.975475,0.03922166258318832,0.9062,1.0416,0.13540000000000008,1.0416,0.10060000000000002,0.10060000000000002,-0.0643999999999999,0.005294736842105264,0.10060000000000002,-0.049800000000000066,0,-0.05292499999999998,0.7364140660732428,-1.0237,1.61,2.6337,1.61,-0.2975,2.1612,-2.2312000000000003,-0.015657894736842152,0.70435,-1.31685,0,-0.444925,1.018930352908847,-2.6512,1.05,3.7012,2.6512,-0.5337000000000001,2.7125,-2.3625,-0.028089473684210494,1.1288,-1.2906,0,-20.226495,1.089976812150752,-21.35,-17.4037,3.946300000000001,21.35,-2.7475999999999985,0.5950000000000024,-0.8136999999999972,-0.14461052631578938,0.48125000000000107,-0.6562999999999981,0
