,label,accel_mag_mean,accel_mag_max,accel_mag_min,accel_mag_range,dps_mag_mean,dps_mag_max,dps_mag_min,dps_mag_range,a_x_mean,a_x_std,a_x_min,a_x_max,a_x_range,a_x_abs_max,a_x_delta,a_x_max_neighbor_diff,a_x_min_neighbor_diff,a_x_avg_neighbor_diff,a_x_max_gradient,a_x_min_gradient,a_x_zero_crossings,a_y_mean,a_y_std,a_y_min,a_y_max,a_y_range,a_y_abs_max,a_y_delta,a_y_max_neighbor_diff,a_y_min_neighbor_diff,a_y_avg_neighbor_diff,a_y_max_gradient,a_y_min_gradient,a_y_zero_crossings,a_z_mean,a_z_std,a_z_min,a_z_max,a_z_range,a_z_abs_max,a_z_delta,a_z_max_neighbor_diff,a_z_min_neighbor_diff,a_z_avg_neighbor_diff,a_z_max_gradient,a_z_min_gradient,a_z_zero_crossings,dps_x_mean,dps_x_std,dps_x_min,dps_x_max,dps_x_range,dps_x_abs_max,dps_x_delta,dps_x_max_neighbor_diff,dps_x_min_neighbor_diff,dps_x_avg_neighbor_diff,dps_x_max_gradient,dps_x_min_gradient,dps_x_zero_crossings,dps_y_mean,dps_y_std,dps_y_min,dps_y_max,dps_y_range,dps_y_abs_max,dps_y_delta,dps_y_max_neighbor_diff,dps_y_min_neighbor_diff,dps_y_avg_neighbor_diff,dps_y_max_gradient,dps_y_min_gradient,dps_y_zero_crossings,dps_z_mean,dps_z_std,dps_z_min,dps_z_max,dps_z_range,dps_z_abs_max,dps_z_delta,dps_z_max_neighbor_diff,dps_z_min_neighbor_diff,dps_z_avg_neighbor_diff,dps_z_max_gradient,dps_z_min_gradient,dps_z_zero_crossings
0,bumps,1.003473232712933,1.2762380224707304,0.8216820370435269,0.45455598542720344,4.8271661626494495,11.471129995776353,0.662066560098001,10.809063435678352,0.013505,0.04019529266756966,-0.0625,0.0966,0.15910000000000002,0.0966,0.0164,0.0722,-0.055600000000000004,0.0008631578947368416,0.03565,-0.03805,1,0.041915,0.024727893370166325,0.007,0.0972,0.09019999999999999,0.0972,-0.006899999999999996,0.06049999999999999,-0.048499999999999995,-0.00036315789473684193,0.029400000000000003,-0.0348,0,1.00152,0.12677067401206668,0.819,1.2739,0.4549000000000001,1.2739,-0.09950000000000003,0.1735000000000001,-0.1257999999999999,-0.0052368421052631595,0.15304999999999996,-0.1199,0,0.046795,1.004931999519318,-1.5225,1.9162,3.4387,1.9162,1.4087,1.9074,-1.5924999999999998,0.07414210526315791,0.9450000000000001,-1.0455999999999999,0,0.19950999999999994,5.957987463097003,-8.1987,11.3488,19.5475,11.3488,-1.6976,4.6637,-6.0287,-0.0893473684210526,4.3925,-5.6,2,0.19032,0.2202264279757254,-0.14,0.6562,0.7962,0.6562,-0.2275,0.5337000000000001,-0.40249999999999997,-0.011973684210526307,0.25370000000000004,-0.2887,0
1,bumps,0.9999834304819469,1.2189288166254828,0.8374802326025375,0.38144858402294535,4.466858120300454,9.070910235472512,0.618007030704344,8.452903204768168,0.0012050000000000012,0.06049718110005318,-0.1315,0.0912,0.2227,0.1315,-0.0521,0.12390000000000001,-0.1014,-0.002742105263157895,0.0565,-0.0744,2,0.042269999999999995,0.0286197226806234,0.0007,0.123,0.12229999999999999,0.123,-0.014600000000000002,0.0708,-0.0807,-0.0007684210526315793,0.041749999999999995,-0.04725,0,0.99706,0.11127719963179669,0.8373,1.2164,0.3790999999999999,1.2164,-0.0695,0.12070000000000003,-0.13059999999999994,-0.0036578947368421056,0.11209999999999998,-0.11359999999999998,0,0.26029500000000005,1.2728093119986692,-1.9863,2.695,4.6813,2.695,0.09630000000000005,1.155,-2.0475,0.0050684210526315936,1.1243500000000002,-1.68,0,0.14962000000000003,5.21367668537079,-9.0475,7.6825,16.73,9.0475,2.6950000000000003,4.8213,-3.2548999999999997,0.14184210526315782,4.75565,-3.2462,2,0.27649500000000005,0.2734695874075253,-0.2275,0.7262,0.9537,0.7262,-0.28,0.8662,-0.455,-0.014736842105263156,0.41565,-0.34565,0
2,bumps,1.0064619213435335,1.247081095999775,0.850688227260728,0.3963928687390469,4.46033952400951,10.695646120735296,0.5937313702340479,10.101914750501248,0.0215,0.04761082362568189,-0.0431,0.1291,0.1722,0.1291,0.0021999999999999997,0.15439999999999998,-0.1074,0.00011578947368421037,0.07615,-0.0842,0,0.036724999999999994,0.023787587984183328,0.0052,0.0878,0.0826,0.0878,-0.030600000000000002,0.05589999999999999,-0.0635,-0.0016105263157894741,0.0254,-0.0401,0,1.0043399999999998,0.1190015320555956,0.8494,1.2446,0.3951999999999999,1.2446,-0.06999999999999995,0.1997,-0.14100000000000001,-0.003684210526315787,0.11015000000000003,-0.1269,0,-0.08051000000000001,0.8424432180771655,-1.505,1.5925,3.0975,1.5925,-0.19250000000000006,1.6275,-1.26,-0.010131578947368415,1.0369,-1.04565,0,0.12555999999999995,5.4595614301786854,-8.015,10.6313,18.6463,10.6313,-3.1588000000000003,4.0425,-5.3111999999999995,-0.16625263157894732,3.5568999999999997,-4.5281,2,0.29225,0.23857274627072952,-0.0787,0.7,0.7787,0.7,0.1225,0.38500000000000006,-0.5775,0.006447368421052635,0.2712,-0.34125,0
3,bumps,0.9955040143493694,1.193137284640791,0.8269317565555213,0.36620552808526974,3.163533662141046,8.93472264538749,0.69533256791265,8.23939007747484,-0.002705,0.03992183777807514,-0.0905,0.0392,0.12969999999999998,0.0905,-0.0448,0.0702,-0.0616,-0.002357894736842104,0.0363,-0.04435,0,0.03211,0.052916248623849485,-0.1266,0.1272,0.2538,0.1272,-0.0078,0.10269999999999999,-0.1389,-0.00041052631578947284,0.061,-0.1269,1,0.9929899999999998,0.07502642271402227,0.8269,1.1843,0.35739999999999994,1.1843,-0.16620000000000001,0.121,-0.12459999999999993,-0.008747368421052632,0.07789999999999997,-0.12105000000000005,0,0.12381000000000005,2.4344602693518396,-4.9788,5.8275,10.8063,5.8275,4.515,3.3074999999999997,-5.118799999999999,0.2376315789473685,3.3074999999999997,-2.9313,2,1.358435,2.9055676474612815,-3.3075,8.4875,11.795000000000002,8.4875,4.2262,3.272500000000001,-3.5088000000000004,0.22243157894736845,2.9531500000000004,-3.5088000000000004,1,0.657125,0.48106872347984364,-0.2713,1.5925,1.8638,1.5925,0.9538,1.4874999999999998,-1.0237,0.0502,1.2075,-0.65625,0
4,bumps,1.0064628323455653,1.1713190001020217,0.8607641140289249,0.3105548860730968,5.903112341907222,12.167308492020739,0.4291493096813742,11.738159182339365,0.004779999999999998,0.04695676174614483,-0.1067,0.0644,0.1711,0.1067,-0.006200000000000001,0.0475,-0.0528,-0.0003263157894736838,0.029750000000000002,-0.0419,1,0.036705,0.07626298319147475,-0.1283,0.1721,0.3004,0.1721,0.0242,0.1475,-0.0856,0.0012736842105263147,0.0978,-0.06395,3,1.0020900000000001,0.09392473974859927,0.8606,1.168,0.3073999999999999,1.168,-0.07619999999999993,0.1363000000000001,-0.09889999999999999,-0.0040105263157894705,0.07679999999999998,-0.07724999999999993,0,-0.16801000000000016,4.281664843554002,-6.58,9.17,15.75,9.17,-1.1988,6.203799999999999,-4.1563,-0.06309473684210533,5.28065,-3.7975,3,0.28524000000000016,5.088121518989106,-6.3088,9.5112,15.82,9.5112,-2.0037,3.6051,-6.772500000000001,-0.10545789473684217,3.23315,-6.11625,2,0.4331199999999999,1.2701649103872092,-1.6013,2.9137,4.515,2.9137,-1.5137,2.5112,-2.1875,-0.07966842105263158,1.8287,-1.8812,0
5,bumps,0.9979330151181607,1.1708688483344325,0.8397116469360182,0.3311572013984143,7.2616749509541965,12.2299393244611,1.1479098701553183,11.082029454305781,0.0016050000000000016,0.049942550943427415,-0.1045,0.0878,0.1923,0.1045,-0.0432,0.11009999999999999,-0.0575,-0.0022736842105263158,0.04715,-0.0511,1,0.02952,0.10571913435334708,-0.1435,0.2139,0.3574,0.2139,0.018999999999999996,0.09240000000000001,-0.2021,0.0010000000000000005,0.09040000000000001,-0.1431,4,0.9911249999999999,0.08924996166886986,0.8395,1.1625,0.32300000000000006,1.1625,-0.1139,0.10400000000000009,-0.09829999999999994,-0.005994736842105264,0.08125000000000004,-0.09385000000000004,0,0.113295,6.577312601381317,-11.1562,9.2137,20.3699,11.1562,3.2638000000000003,6.16,-7.6823999999999995,0.17177894736842098,5.5606,-6.60625,3,0.1286449999999999,4.420388619671471,-7.7087,8.0588,15.7675,8.0588,0.6999,3.9987,-3.9287,0.03683684210526317,3.8981000000000003,-3.3381,2,0.33382000000000006,0.9435912186958928,-1.4262,1.6712,3.0974,1.6712,1.3650000000000002,2.275,-1.6974999999999998,0.0718421052631579,1.365,-1.6974999999999998,0
6,bumps,1.0035200012126042,1.2309659702851252,0.8605779511467859,0.3703880191383393,4.392789513577698,10.29277031172852,0.4856052923929063,9.807165019335613,-0.0005999999999999996,0.07734251911567075,-0.1322,0.1476,0.27980000000000005,0.1476,-0.003599999999999999,0.1689,-0.0959,-0.00018947368421052573,0.09490000000000001,-0.07525,2,0.044815,0.025401684051093523,0.0159,0.0937,0.07780000000000001,0.0937,-0.0227,0.0741,-0.047799999999999995,-0.001194736842105264,0.0371,-0.028999999999999998,0,0.9994100000000001,0.11722166541260733,0.855,1.2268,0.3717999999999999,1.2268,-0.07110000000000005,0.11539999999999995,-0.15469999999999995,-0.0037421052631578973,0.08684999999999998,-0.12160000000000004,0,0.132135,1.192618985909847,-1.5838,2.8788,4.4626,2.8788,1.155,1.6538,-1.6886999999999999,0.06078947368421054,1.6538,-1.5444,0,0.05599499999999992,5.228434254049778,-9.835,6.9387,16.7737,9.835,1.8988,5.0925,-3.6487999999999996,0.09993684210526317,4.66815,-3.2287500000000002,2,0.39331000000000005,0.2931416900085224,-0.1925,0.9625,1.155,0.9625,-0.09620000000000001,0.5775,-0.4025,-0.005063157894736846,0.35009999999999997,-0.33685,0
7,bumps,0.9975728182561957,1.198700967714634,0.8631957657449439,0.33550520196969014,4.462029642573958,9.155318997173174,0.9323932271311284,8.222925770042046,0.00506,0.06778741848796986,-0.1862,0.0863,0.2725,0.1862,-0.0396,0.09620000000000001,-0.2165,-0.002084210526315789,0.07295,-0.11115,1,0.044765000000000006,0.030699207515915834,-0.0054,0.1132,0.1186,0.1132,-0.0032000000000000015,0.05669999999999999,-0.057,-0.00016842105263157976,0.040499999999999994,-0.05025,0,0.9940800000000001,0.11096441629734517,0.8625,1.1958,0.33329999999999993,1.1958,-0.12829999999999997,0.10319999999999996,-0.17099999999999993,-0.006752631578947367,0.10199999999999998,-0.11649999999999999,0,0.20693999999999999,1.1558641007352122,-1.3825,2.3625,3.745,2.3625,1.3651,1.4087,-1.8988,0.07184736842105266,1.2338,-0.94505,0,0.316755,5.154038210698685,-9.1175,8.225,17.3425,9.1175,-0.2450000000000001,6.0024999999999995,-3.6225,-0.01289473684210528,4.4712499999999995,-3.2812,2,0.07569000000000001,0.2437895380078999,-0.56,0.525,1.085,0.56,0.4813,0.42880000000000007,-0.7613000000000001,0.025331578947368427,0.35005,-0.36750000000000005,0
8,bumps,1.0038268351486646,1.2259790618114161,0.8316409682068339,0.3943380936045823,4.3259272894287,10.526702234793193,0.3289853796143531,10.19771685517884,0.01454,0.043198469758472746,-0.0503,0.1032,0.1535,0.1032,-0.0113,0.1535,-0.0903,-0.0005947368421052641,0.0627,-0.0732,3,0.04099,0.020653963554880108,-0.0045,0.0893,0.09380000000000001,0.0893,0.0162,0.054000000000000006,-0.0614,0.0008526315789473685,0.03475,-0.01945,0,1.0018449999999999,0.11957383746147465,0.8306,1.2249,0.3943000000000001,1.2249,-0.08679999999999999,0.15410000000000001,-0.1378999999999999,-0.004568421052631578,0.12464999999999998,-0.11184999999999995,0,0.013559999999999989,0.5603619595263498,-0.945,1.26,2.205,1.26,-1.0063,0.6825,-1.1813,-0.052963157894736844,0.4944,-0.67375,0,0.20126,5.378941817906293,-8.505,10.4475,18.9525,10.4475,-3.4299,3.9287,-5.2326,-0.1805210526315789,3.5831,-4.6463,2,0.37451,0.20563465277295226,0.0262,0.7788,0.7526,0.7788,0.11380000000000001,0.35000000000000003,-0.5338,0.005989473684210527,0.2975,-0.3763,0
9,bumps,0.9951804530879927,1.3837568102813442,0.799122087043025,0.5846347232383192,5.809895246610169,10.206476497792957,1.9803870530782615,8.226089444714695,0.005915000000000001,0.08520979233941552,-0.1089,0.1471,0.256,0.1471,-0.0226,0.12510000000000002,-0.10010000000000001,-0.001189473684210526,0.12510000000000002,-0.078,2,-0.0076,0.05708764268533446,-0.131,0.1405,0.2715,0.1405,-0.009999999999999998,0.07790000000000001,-0.1115,-0.0005263157894736858,0.054900000000000004,-0.0805,1,0.990395,0.15017031550174867,0.7991,1.3735,0.5743999999999999,1.3735,-0.2248,0.22530000000000006,-0.23750000000000004,-0.01183157894736842,0.1689,-0.21899999999999997,0,-0.16098500000000004,3.466468604437754,-7.6912,4.2962,11.987400000000001,7.6912,5.46,3.1937000000000006,-4.9,0.28736842105263155,2.87,-4.6944,2,-1.0486849999999999,5.363791888332553,-8.3912,8.3912,16.7824,8.3912,-3.2724,2.7037,-2.8,-0.17223157894736846,2.3056,-2.7869,1,-0.02801,0.48001035175241136,-0.9625,0.945,1.9075,0.9625,0.9275,0.9187,-0.7175,0.0488157894736842,0.86625,-0.63,0
