,y_test,y_pred
0,ctr_clockwise_circle,ctr_clockwise_circle
1,clockwise_circle,clockwise_circle
2,weave,weave
3,smooth_constant_speed,smooth_constant_speed
4,left_turn,left_turn
5,right_turn,right_turn
6,weave,weave
7,weave,weave
8,left_turn,left_turn
9,weave,weave
10,ctr_clockwise_circle,ctr_clockwise_circle
11,right_turn,right_turn
12,smooth_constant_speed,smooth_constant_speed
13,weave,weave
14,smooth_constant_speed,smooth_constant_speed
15,ctr_clockwise_circle,weave
16,weave,weave
17,smooth_constant_speed,smooth_constant_speed
18,weave,weave
19,weave,ctr_clockwise_circle
20,ctr_clockwise_circle,ctr_clockwise_circle
21,clockwise_circle,clockwise_circle
22,clockwise_circle,clockwise_circle
23,ctr_clockwise_circle,ctr_clockwise_circle
24,clockwise_circle,clockwise_circle
25,ctr_clockwise_circle,ctr_clockwise_circle
26,weave,weave
27,smooth_constant_speed,smooth_constant_speed
28,weave,weave
29,ctr_clockwise_circle,ctr_clockwise_circle
30,weave,weave
31,left_turn,left_turn
32,weave,weave
33,clockwise_circle,clockwise_circle
34,weave,weave
35,hard_accel_decel,hard_accel_decel
36,clockwise_circle,clockwise_circle
37,right_u_turn,right_u_turn
38,smooth_constant_speed,smooth_constant_speed
39,smooth_constant_speed,smooth_constant_speed
40,right_turn,right_turn
41,ctr_clockwise_circle,ctr_clockwise_circle
42,ctr_clockwise_circle,ctr_clockwise_circle
43,weave,weave
44,right_turn,right_turn
45,weave,weave
46,smooth_accel_decel,smooth_accel_decel
47,hard_accel_decel,hard_accel_decel
48,weave,weave
49,clockwise_circle,clockwise_circle
50,weave,weave
51,weave,weave
52,ctr_clockwise_circle,ctr_clockwise_circle
53,smooth_constant_speed,smooth_constant_speed
54,bumps,bumps
55,weave,weave
56,smooth_constant_speed,smooth_constant_speed
57,smooth_constant_speed,smooth_constant_speed
58,clockwise_circle,weave
59,right_turn,right_turn
60,weave,weave
61,smooth_constant_speed,smooth_constant_speed
62,clockwise_circle,clockwise_circle
63,smooth_constant_speed,smooth_constant_speed
64,ctr_clockwise_circle,ctr_clockwise_circle
65,smooth_constant_speed,smooth_constant_speed
66,ctr_clockwise_circle,ctr_clockwise_circle
67,right_turn,right_turn
68,smooth_constant_speed,smooth_constant_speed
69,right_u_turn,right_u_turn
70,ctr_clockwise_circle,ctr_clockwise_circle
71,smooth_constant_speed,smooth_constant_speed
72,weave,weave
73,weave,weave
74,weave,weave
75,clockwise_circle,clockwise_circle
76,smooth_constant_speed,smooth_constant_speed
77,left_u_turn,left_turn
78,clockwise_circle,weave
79,ctr_clockwise_circle,ctr_clockwise_circle
80,weave,weave
81,weave,weave
82,weave,weave
83,left_u_turn,left_u_turn
84,weave,weave
85,right_turn,right_turn
86,weave,weave
87,ctr_clockwise_circle,weave
88,right_turn,right_turn
89,weave,ctr_clockwise_circle
90,hard_accel_decel,hard_accel_decel
91,weave,weave
92,clockwise_circle,clockwise_circle
93,smooth_constant_speed,smooth_constant_speed
94,clockwise_circle,clockwise_circle
95,smooth_constant_speed,smooth_constant_speed
96,hard_accel_decel,hard_accel_decel
97,right_turn,right_turn
98,hard_accel_decel,hard_accel_decel
99,clockwise_circle,clockwise_circle
100,weave,weave
101,weave,weave
102,clockwise_circle,clockwise_circle
103,weave,weave
104,smooth_constant_speed,smooth_constant_speed
105,left_u_turn,left_u_turn
106,clockwise_circle,clockwise_circle
107,weave,clockwise_circle
108,ctr_clockwise_circle,ctr_clockwise_circle
109,ctr_clockwise_circle,ctr_clockwise_circle
110,left_u_turn,left_u_turn
111,smooth_constant_speed,smooth_constant_speed
112,weave,weave
113,clockwise_circle,clockwise_circle
114,weave,weave
115,weave,weave
116,right_turn,right_turn
117,clockwise_circle,clockwise_circle
118,left_u_turn,left_u_turn
119,clockwise_circle,clockwise_circle
120,left_u_turn,left_u_turn
121,weave,weave
122,clockwise_circle,clockwise_circle
